"# Tm","Pos","Player","Age","Tm","Pts Won","Pts Max","Share","1st Tm","2nd Tm","3rd Tm","G","MP","PTS","TRB","AST","STL","BLK","FG%","3P%","FT%","WS","WS/48","avg_PTS","avg_AST","avg_TRB","avg_STL","avg_BLK","avg_WS","norm_PTS","norm_AST","norm_TRB","norm_STL","norm_BLK","norm_WS","MVP_index","Year"
"1st","F","Larry Bird",29,"BOS",156,156,1,78,0,NA,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.23642172523962,1.39939024390244,1.46187845303867,1.31707317073171,0.73972602739726,1.75772558714462,2.17379331231156,1986
"1st","G","Magic Johnson",26,"LAL",148,156,0.949,72,4,NA,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.900958466453674,2.59298780487805,0.880110497237569,1.05365853658537,0.246575342465753,1.34610630407911,1.92098068220882,1986
"1st","G","Isiah Thomas",24,"DET",130,156,0.833,56,18,NA,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.00159744408946,2.22256097560976,0.537016574585635,1.44878048780488,0.36986301369863,0.978986402966626,1.81988465341576,1986
"1st","F","Dominique Wilkins",26,"ATL",113,156,0.724,41,31,NA,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.45207667731629,0.535060975609756,1.17845303867403,1.18536585365854,0.73972602739726,1.20148331273177,1.96277153043933,1986
"1st","C","Kareem Abdul-Jabbar",38,"LAL",101,156,0.647,39,23,NA,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.12140575079872,0.720274390243902,0.909944751381215,0.526829268292683,1.97260273972603,1.20148331273177,1.73484508375689,1986
"2nd","C","Hakeem Olajuwon",23,"HOU",100,156,0.641,31,38,NA,68,36.3,23.5,11.5,2,2,3.4,0.526,NA,0.645,9.5,0.186,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.12619808306709,0.411585365853659,1.71546961325967,1.31707317073171,4.19178082191781,1.05686032138443,2.14213665870462,1986
"2nd","F","Charles Barkley",22,"PHI",71,156,0.455,19,33,NA,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.958466453674121,0.802591463414634,1.90939226519337,1.44878048780488,1.97260273972603,1.20148331273177,1.96712991475415,1986
"2nd","G","Sidney Moncrief",28,"MIL",66,156,0.423,12,42,NA,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.968051118210863,1.00838414634146,0.686187845303867,0.921951219512195,0.246575342465753,1.30160692212608,1.51017758699673,1986
"2nd","F","Alex English",32,"DEN",48,156,0.308,7,34,NA,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.42811501597444,0.823170731707317,0.74585635359116,0.592682926829268,0.493150684931507,1.0902348578492,1.80686737395763,1986
"2nd","G","Alvin Robertson",23,"SAS",40,156,0.256,7,26,NA,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.814696485623003,1.13185975609756,0.939779005524862,2.43658536585366,0.616438356164384,0.956736711990111,1.61847975790433,1986
"ORV","C","Moses Malone",30,"PHI",32,156,0.205,8,16,NA,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.1405750798722,0.246951219512195,1.76022099447514,0.592682926829268,1.23287671232877,0.990111248454883,1.74532576857863,1986
"ORV","G","Dennis Johnson",31,"BOS",29,156,0.186,7,15,NA,78,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.747603833865815,1.19359756097561,0.507182320441989,0.921951219512195,0.493150684931507,0.745364647713226,1.27659292504841,1986
"ORV","G","Maurice Cheeks",29,"PHI",28,156,0.179,2,24,NA,82,39.9,15.4,2.9,9.2,2.5,0.3,0.537,0.235,0.842,10.6,0.155,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.738019169329074,1.89329268292683,0.432596685082873,1.64634146341463,0.36986301369863,1.17923362175525,1.5503931684403,1986
"ORV","F","Kevin McHale",28,"BOS",26,156,0.167,1,24,NA,68,35.3,21.3,8.1,2.7,0.4,2,0.574,NA,0.776,11,0.22,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.02076677316294,0.555640243902439,1.20828729281768,0.263414634146341,2.46575342465753,1.22373300370828,1.71407205914701,1986
"ORV","F","James Worthy",24,"LAL",24,156,0.154,5,14,NA,75,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.958466453674121,0.555640243902439,0.775690607734807,0.724390243902439,1.23287671232877,1.05686032138443,1.45386161967939,1986
"ORV","F","Ralph Sampson",25,"HOU",16,156,0.103,3,10,NA,79,36.3,18.9,11.1,3.6,1.3,1.6,0.488,0.133,0.641,5,0.084,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.905750798722045,0.740853658536585,1.65580110497238,0.85609756097561,1.97260273972603,0.556242274412855,1.69007070108697,1986
"ORV","G","Rolando Blackman",26,"DAL",16,156,0.103,0,16,NA,82,34,21.5,3.5,3.3,1,0.3,0.514,0.138,0.836,7,0.121,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.03035143769968,0.679115853658537,0.522099447513812,0.658536585365854,0.36986301369863,0.778739184177997,1.34423581298598,1986
"ORV","F","Buck Williams",25,"NJN",6,156,0.038,1,4,NA,82,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.761980830670926,0.329268292682927,1.79005524861878,0.592682926829268,1.47945205479452,0.756489493201483,1.46010247200477,1986
"ORV","F","Terry Cummings",24,"MIL",5,156,0.032,0,5,NA,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.94888178913738,0.49390243902439,1.26795580110497,0.98780487804878,0.73972602739726,0.823238566131026,1.4958088668065,1986
"ORV","F","Adrian Dantley",30,"UTA",4,156,0.026,1,2,NA,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.42811501597444,0.720274390243902,0.775690607734807,0.526829268292683,0.123287671232877,1.42398022249691,1.79509198960132,1986
"ORV","G","Jeff Malone",24,"WSB",4,156,0.026,0,4,NA,80,37.4,22.4,3.6,2.4,0.9,0.2,0.483,0.176,0.868,6.1,0.098,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.07348242811502,0.49390243902439,0.537016574585635,0.592682926829268,0.246575342465753,0.678615574783684,1.30223385904157,1986
"ORV","G","Walter Davis",31,"PHO",2,156,0.013,0,2,NA,70,32,21.8,2.9,5.2,1.4,0,0.485,0.237,0.843,4.2,0.091,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,1.04472843450479,1.07012195121951,0.432596685082873,0.921951219512195,0,0.467243510506799,1.37374405520667,1986
"ORV","G","Clyde Drexler",23,"POR",1,156,0.006,0,1,NA,75,34.3,18.5,5.6,8,2.6,0.6,0.475,0.2,0.769,6.7,0.124,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.886581469648562,1.64634146341463,0.835359116022099,1.71219512195122,0.73972602739726,0.745364647713226,1.68668713266987,1986
"ORV","F","Marques Johnson",29,"LAC",1,156,0.006,0,1,NA,75,34.7,20.3,5.5,3.8,1.4,0.7,0.51,0.067,0.76,5.9,0.108,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.972843450479233,0.782012195121951,0.820441988950276,0.921951219512195,0.863013698630137,0.656365883807169,1.45583968078675,1986
"ORV","C","Robert Parish",32,"BOS",1,156,0.006,0,1,NA,81,31.7,16.1,9.5,1.8,0.8,1.4,0.549,NA,0.731,9.2,0.171,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.771565495207668,0.370426829268293,1.4171270718232,0.526829268292683,1.72602739726027,1.02348578491965,1.44294940573225,1986
"ORV","G","Paul Pressey",27,"MIL",1,156,0.006,0,1,NA,80,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.685303514376997,1.60518292682927,0.74585635359116,1.38292682926829,1.10958904109589,1.0902348578492,1.5487894473205,1986
"ORV","G","Reggie Theus",28,"SAC",1,156,0.006,0,1,NA,82,35.6,18.3,3.7,9.6,1.4,0.2,0.48,0.171,0.827,6.4,0.105,20.8666666666667,4.85925925925926,6.7037037037037,1.51851851851852,0.811111111111111,8.98888888888889,0.876996805111821,1.97560975609756,0.551933701657459,0.921951219512195,0.246575342465753,0.711990111248455,1.55713448141328,1986
"1st","G","Magic Johnson",27,"LAL",156,156,1,78,0,NA,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.10896572369406,2.63004172461752,0.876570915619389,1.23130841121495,0.557553956834532,1.61447756305274,2.18488361027733,1987
"1st","G","Michael Jordan",23,"CHI",154,156,0.987,76,2,NA,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.72144888489747,0.991655076495132,0.723518850987433,2.10046728971963,1.6726618705036,1.71601703242712,2.44066806067501,1987
"1st","F","Larry Bird",30,"BOS",151,156,0.968,73,5,NA,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.30384672953151,1.63838664812239,1.28007181328546,1.30373831775701,1.00359712230216,1.54339993449067,2.23493553315668,1987
"1st","C","Hakeem Olajuwon",24,"HOU",130,156,0.833,56,18,NA,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.0857656039515,0.625173852573018,1.58617594254937,1.37616822429907,3.79136690647482,1.10678021618081,2.10422047744631,1987
"1st","F","Kevin McHale",29,"BOS",125,156,0.801,48,29,NA,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.21104625056129,0.560500695410292,1.37746858168761,0.36214953271028,2.45323741007194,1.50278414674091,1.96028563601287,1987
"2nd","F","Dominique Wilkins",27,"ATL",93,156,0.596,20,53,NA,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.3456069450681,0.711404728789986,0.876570915619389,1.08644859813084,0.669064748201439,1.23878152636751,1.83484803074518,1987
"2nd","F","Charles Barkley",23,"PHI",89,156,0.571,17,55,NA,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.06720550815746,1.05632823365786,2.03141831238779,1.30373831775701,1.6726618705036,1.21847363249263,2.10611210673734,1987
"2nd","C","Moses Malone",31,"WSB",80,156,0.513,16,48,NA,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.11824577159108,0.344923504867872,1.57226211849192,0.579439252336449,1.44964028776978,0.954471012119227,1.71997162894132,1987
"2nd","G","Isiah Thomas",25,"DET",63,156,0.404,1,61,NA,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.955844933393205,2.1557719054242,0.542639138240574,1.37616822429907,0.223021582733813,0.771699967245333,1.71495268342085,1987
"2nd","G","Fat Lever",26,"DEN",42,156,0.269,1,40,NA,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.876964526268523,1.72461752433936,1.23833034111311,1.8107476635514,0.446043165467626,0.984932852931543,1.81572759821957,1987
"ORV","G","Rolando Blackman",27,"DAL",25,156,0.16,0,25,NA,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.974405029187247,0.711404728789986,0.486983842010772,0.579439252336449,0.334532374100719,0.812315754995087,1.29236569194297,1987
"ORV","C","Robert Parish",33,"BOS",10,156,0.064,1,8,NA,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.812004190989373,0.474269819193324,1.47486535008977,0.579439252336449,2.00719424460432,0.93416311824435,1.535674962543,1987
"ORV","C","Kareem Abdul-Jabbar",39,"LAL",7,156,0.045,1,5,NA,78,31.3,17.5,6.7,2.6,0.6,1.2,0.564,0.333,0.714,7.5,0.148,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.812004190989373,0.560500695410292,0.932226211849192,0.434579439252336,1.33812949640288,0.761546020307894,1.31428787621807,1987
"ORV","G","Sleepy Floyd",26,"GSW",7,156,0.045,0,7,NA,82,37.4,18.8,3.3,10.3,1.8,0.2,0.488,0.384,0.86,10,0.157,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.872324502320012,2.22044506258693,0.459156193895871,1.30373831775701,0.223021582733813,1.01539469374386,1.67274511008737,1987
"ORV","G","Clyde Drexler",24,"POR",4,156,0.026,0,4,NA,82,38,21.7,6.3,6.9,2.5,0.9,0.502,0.234,0.76,10.3,0.158,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.00688519682682,1.4874826147427,0.876570915619389,1.8107476635514,1.00359712230216,1.04585653455617,1.83483449882076,1987
"ORV","G","Dale Ellis",26,"SEA",4,156,0.026,0,4,NA,82,37.5,24.9,5.5,2.9,1.3,0.4,0.516,0.358,0.787,9.3,0.145,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.15536596317916,0.625173852573018,0.765260323159785,0.941588785046729,0.446043165467626,0.944317065181789,1.55231206930524,1987
"ORV","G","Doc Rivers",25,"ATL",4,156,0.026,0,4,NA,82,31.6,12.8,3.6,10,2.1,0.4,0.451,0.19,0.828,10.3,0.191,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.59392306540937,2.1557719054242,0.500897666068223,1.52102803738318,0.446043165467626,1.04585653455617,1.49289144566911,1987
"ORV","F","Kiki Vandeweghe",28,"POR",4,156,0.026,0,4,NA,79,38.3,26.9,3.2,2.8,0.7,0.2,0.523,0.481,0.886,10.8,0.171,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.24816644214938,0.603616133518776,0.44524236983842,0.507009345794392,0.223021582733813,1.09662626924337,1.49824481279813,1987
"ORV","G","Jeff Malone",25,"WSB",3,156,0.019,0,3,NA,80,34.5,22,2.7,3.7,0.9,0.2,0.457,0.154,0.885,5.6,0.097,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.02080526867235,0.797635605006954,0.375673249551167,0.651869158878505,0.223021582733813,0.568621028496561,1.28275365701313,1987
"ORV","F","Karl Malone",23,"UTA",3,156,0.019,0,3,NA,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.00688519682682,0.409596662030598,1.44703770197487,0.941588785046729,0.780575539568345,0.700622338683262,1.54697653172682,1987
"ORV","F","Buck Williams",26,"NJN",3,156,0.019,0,3,NA,82,36.3,18,12.5,1.6,1,1.1,0.557,0,0.731,7.9,0.127,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.835204310731926,0.344923504867872,1.73922800718133,0.724299065420561,1.22661870503597,0.802161808057648,1.50461737485214,1987
"ORV","G","Maurice Cheeks",30,"PHI",2,156,0.013,0,2,NA,68,38.6,15.6,3.2,7.9,2.6,0.2,0.527,0.235,0.777,7.9,0.145,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.723843735967669,1.70305980528512,0.44524236983842,1.88317757009346,0.223021582733813,0.802161808057648,1.44709471904639,1987
"ORV","F","Alex English",33,"DEN",2,156,0.013,0,2,NA,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.32704684927406,1.09944367176634,0.584380610412926,0.651869158878505,0.334532374100719,0.822469701932525,1.70460415855187,1987
"ORV","G","Dennis Johnson",32,"BOS",2,156,0.013,0,2,NA,79,37.1,13.4,3.3,7.5,1.1,0.5,0.444,0.113,0.833,5.2,0.085,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.621763209100434,1.61682892906815,0.459156193895871,0.796728971962617,0.557553956834532,0.528005240746806,1.23103592701309,1987
"ORV","F","Mark Aguirre",27,"DAL",1,156,0.006,0,1,NA,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.19248615476725,0.689847009735744,0.737432675044883,0.796728971962617,0.446043165467626,0.903701277432034,1.57064125036679,1987
"ORV","G","Walter Davis",32,"PHO",1,156,0.006,0,1,NA,79,33.5,23.6,3.1,4.6,1.2,0.1,0.514,0.259,0.862,5.8,0.105,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.09504565184853,0.991655076495132,0.431328545780969,0.869158878504673,0.111510791366906,0.588928922371438,1.41818873239072,1987
"ORV","C","James Donaldson",29,"DAL",1,156,0.006,0,1,NA,82,36.9,10.8,11.9,0.8,0.6,1.7,0.586,NA,0.812,10.4,0.166,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.501122586439156,0.172461752433936,1.65574506283662,0.434579439252336,1.89568345323741,1.05601048149361,1.24937763444198,1987
"ORV","C","Bill Laimbeer",29,"DET",1,156,0.006,0,1,NA,82,34.8,15.4,11.6,1.8,0.9,0.8,0.501,0.286,0.894,10.5,0.176,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.714563688070648,0.388038942976356,1.61400359066427,0.651869158878505,0.892086330935252,1.06616442843105,1.38648179711271,1987
"ORV","F","Larry Nance",27,"PHO",1,156,0.006,0,1,NA,69,37.2,22.5,8.7,3.4,1.2,2.1,0.551,0.2,0.773,10.2,0.19,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,1.04400538841491,0.732962447844228,1.2105026929982,0.869158878504673,2.34172661870504,1.03570258761874,1.79751453380632,1987
"ORV","F","Kevin Willis",24,"ATL",1,156,0.006,0,1,NA,81,32.4,16.1,10.5,0.8,0.8,0.8,0.536,0.25,0.709,8.6,0.156,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.747043855710223,0.172461752433936,1.46095152603232,0.579439252336449,0.892086330935252,0.873239436619718,1.28412687800487,1987
"ORV","F","James Worthy",25,"LAL",1,156,0.006,0,1,NA,82,34.4,19.4,5.7,2.8,1.3,1,0.539,0,0.751,9.3,0.158,21.5516129032258,4.63870967741935,7.18709677419355,1.38064516129032,0.896774193548387,9.84838709677419,0.900164646011076,0.603616133518776,0.793087971274686,0.941588785046729,1.11510791366906,0.944317065181789,1.41662497265607,1987
"1st","G","Michael Jordan",24,"CHI",160,160,1,80,0,NA,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.66158019667684,1.32797427652733,0.730203888098625,2.2974358974359,1.81376518218624,2.18556701030928,2.58276385800657,1988
"1st","F","Larry Bird",31,"BOS",159,160,0.994,79,1,NA,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.41946422516107,1.37299035369775,1.23470839260313,1.14871794871795,0.906882591093118,1.54639175257732,2.22501488357178,1988
"1st","C","Hakeem Olajuwon",25,"HOU",157,160,0.981,77,3,NA,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.0824008138352,0.472668810289389,1.60644855381697,1.50769230769231,3.06072874493927,1.10309278350515,2.00800601488368,1988
"1st","G","Magic Johnson",28,"LAL",155,160,0.969,75,5,NA,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.93048491013903,2.67845659163987,0.823138928402086,1.14871794871795,0.226720647773279,1.12371134020619,1.92588736880176,1988
"1st","F","Charles Barkley",24,"PHI",113,160,0.706,40,33,NA,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.34350627331299,0.720257234726688,1.57989568515884,0.933333333333333,1.47368421052632,1.72164948453608,2.14879242568815,1988
"2nd","F","Karl Malone",24,"UTA",92,160,0.575,20,52,NA,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.31502204136996,0.540192926045016,1.59317211948791,1.00512820512821,0.680161943319838,1.04123711340206,1.91007347633431,1988
"2nd","F","Dominique Wilkins",28,"ATL",87,160,0.544,20,47,NA,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.45744320108511,0.652733118971061,0.849691797060218,0.933333333333333,0.680161943319838,1.01030927835052,1.8544567092938,1988
"2nd","G","Clyde Drexler",25,"POR",60,160,0.375,0,60,NA,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.28179043743642,1.30546623794212,0.87624466571835,1.79487179487179,0.680161943319838,1.36082474226804,2.02248716102362,1988
"2nd","G","John Stockton",25,"UTA",52,160,0.325,4,44,NA,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.697863682604273,3.10610932475884,0.385016595542911,2.15384615384615,0.226720647773279,1.45360824742268,1.8871703434342,1988
"2nd","C","Patrick Ewing",25,"NYK",41,160,0.256,3,35,NA,82,31,20.2,8.2,1.5,1.3,3,0.555,0,0.716,8.1,0.154,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.958969142082062,0.337620578778135,1.0886676149834,0.933333333333333,3.40080971659919,0.835051546391753,1.68241939905805,1988
"ORV","G","Fat Lever",27,"DEN",29,160,0.181,1,27,NA,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.897253306205493,1.7556270096463,1.07539118065434,1.93846153846154,0.340080971659919,1.07216494845361,1.81423618581974,1988
"ORV","F","Kevin McHale",30,"BOS",20,160,0.125,1,18,NA,64,37.3,22.6,8.4,2.7,0.4,1.4,0.604,NA,0.797,10.2,0.205,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,1.07290606985419,0.607717041800643,1.11522048364154,0.287179487179487,1.58704453441296,1.05154639175258,1.63421359816603,1988
"ORV","C","Moses Malone",32,"WSB",19,160,0.119,0,19,NA,79,34.1,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,9.2,0.163,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.963716514072567,0.315112540192926,1.48696064485538,0.502564102564103,1.02024291497976,0.948453608247423,1.51604025051163,1988
"ORV","C","Brad Daugherty",22,"CLE",15,160,0.094,0,15,NA,79,37.4,18.7,8.4,4.2,0.6,0.7,0.51,0,0.716,6.6,0.107,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.887758562224483,0.945337620578778,1.11522048364154,0.430769230769231,0.793522267206478,0.680412371134021,1.44983738130234,1988
"ORV","G","Isiah Thomas",26,"DET",14,160,0.088,0,14,NA,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124,21.0642857142857,4.44285714285714,7.53214285714286,1.39285714285714,0.882142857142857,9.7,0.925737538148525,1.89067524115756,0.451398767188241,1.22051282051282,0.226720647773279,0.783505154639175,1.58835765262976,1988
