,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Giannis Antetokounmpo,25,MIL,500,500,1,100,0,0,63,30.4,29.5,13.6,5.6,1,1,0.553,0.304,0.633,11.1,0.279
1st,F,LeBron James,35,LAL,500,500,1,100,0,0,67,34.6,25.3,7.8,10.2,1.2,0.5,0.493,0.348,0.693,9.8,0.204
1st,G,James Harden,30,HOU,474,500,0.948,89,9,2,68,36.5,34.3,6.6,7.5,1.8,0.9,0.444,0.355,0.865,13.1,0.254
1st,C,Anthony Davis,26,LAL,455,500,0.91,79,20,0,62,34.4,26.1,9.3,3.2,1.5,2.3,0.503,0.33,0.846,11.1,0.25
1st,G,Luka Dončić,20,DAL,416,500,0.832,59,40,1,61,33.6,28.8,9.4,8.8,1,0.2,0.463,0.316,0.758,8.8,0.207
2nd,F,Kawhi Leonard,28,LAC,372,500,0.744,39,59,0,57,32.4,27.1,7.1,4.9,1.8,0.6,0.47,0.378,0.886,8.7,0.226
2nd,C,Nikola Jokić,24,DEN,311,500,0.622,21,64,14,73,32,19.9,9.7,7,1.2,0.6,0.528,0.314,0.817,9.8,0.202
2nd,G,Damian Lillard,29,POR,284,500,0.568,6,82,8,66,37.5,30,4.3,8,1.1,0.3,0.463,0.401,0.888,11.6,0.225
2nd,G,Chris Paul,34,OKC,199,500,0.398,2,52,33,70,31.5,17.6,5,6.7,1.6,0.2,0.489,0.365,0.907,8.9,0.193
2nd,F,Pascal Siakam,25,TOR,168,500,0.336,1,36,55,60,35.2,22.9,7.3,3.5,1,0.9,0.453,0.359,0.792,5.4,0.123
3rd,F,Jayson Tatum,21,BOS,153,500,0.306,0,32,57,66,34.3,23.4,7,3,1.4,0.9,0.45,0.403,0.812,6.9,0.146
3rd,F,Jimmy Butler,30,MIA,147,500,0.294,0,32,51,58,33.8,19.9,6.7,6,1.8,0.6,0.455,0.244,0.834,9,0.221
3rd,C,Rudy Gobert,27,UTA,110,500,0.22,1,19,48,68,34.3,15.1,13.5,1.5,0.8,2,0.693,,0.63,10.7,0.221
3rd,G,Ben Simmons,23,PHI,61,500,0.122,0,9,29,57,35.4,16.4,7.8,8,2.1,0.6,0.58,0.286,0.621,6.9,0.165
3rd,G,Russell Westbrook,31,HOU,56,500,0.112,0,9,29,57,35.9,27.2,7.9,7,1.6,0.4,0.472,0.258,0.763,4.2,0.098
ORV,F,Khris Middleton,28,MIL,82,500,0.164,0,10,52,62,29.9,20.9,6.2,4.3,0.9,0.1,0.497,0.415,0.916,7.9,0.205
ORV,C,Joel Embiid,25,PHI,79,500,0.158,3,14,22,51,29.5,23,11.6,3,0.9,1.3,0.477,0.331,0.807,6,0.192
ORV,G,Bradley Beal,26,WAS,32,500,0.064,0,3,23,57,36,30.5,4.2,6.1,1.2,0.4,0.455,0.353,0.842,5.1,0.118
ORV,G,Kyle Lowry,33,TOR,26,500,0.052,0,3,17,58,36.2,19.4,5,7.5,1.4,0.4,0.416,0.352,0.857,7.5,0.171
ORV,C,Bam Adebayo,22,MIA,26,500,0.052,0,0,26,72,33.6,15.9,10.2,5.1,1.1,1.3,0.557,0.143,0.691,8.5,0.168
ORV,G,Trae Young,21,ATL,13,500,0.026,0,1,10,60,35.3,29.6,4.3,9.3,1.1,0.1,0.437,0.361,0.86,5.9,0.133
ORV,G,Donovan Mitchell,23,UTA,10,500,0.02,0,1,7,69,34.3,24,4.4,4.3,1,0.2,0.449,0.366,0.863,5.4,0.11
ORV,F,Paul George,29,LAC,7,500,0.014,0,2,1,48,29.6,21.5,5.7,3.9,1.4,0.4,0.439,0.412,0.876,4.8,0.161
ORV,F,Brandon Ingram,22,NOP,5,500,0.01,0,1,2,62,33.9,23.8,6.1,4.2,1,0.6,0.463,0.391,0.851,5.1,0.115
ORV,G,Kemba Walker,29,BOS,4,500,0.008,0,1,1,56,31.1,20.4,3.9,4.8,0.9,0.5,0.425,0.381,0.864,5.9,0.162
ORV,C,Andre Drummond,26,TOT,3,500,0.006,0,1,0,57,33,17.7,15.2,2.7,1.9,1.6,0.533,0.143,0.575,4.2,0.108
ORV,G,Devin Booker,23,PHO,3,500,0.006,0,0,3,70,35.9,26.6,4.2,6.5,0.7,0.3,0.489,0.354,0.919,7.5,0.143
ORV,C,Karl-Anthony Towns*,24,MIN,2,500,0.004,0,0,2,35,33.9,26.5,10.8,4.4,0.9,1.2,0.508,0.412,0.796,5.1,0.204
ORV,G,Zach LaVine,24,CHI,1,500,0.002,0,0,1,60,34.8,25.5,4.8,4.2,1.5,0.5,0.45,0.38,0.802,4,0.091
ORV,C,Brook Lopez,31,MIL,1,500,0.002,0,0,1,68,26.7,12,4.6,1.5,0.7,2.4,0.435,0.314,0.836,5.5,0.145
