,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,C,Shaquille O'Neal,32,MIA,616,620,0.994,122,,,73,34.1,22.9,10.4,2.7,0.5,2.3,0.601,,0.461,11,0.211
1st,G,Steve Nash,30,PHO,606,620,0.977,118,,,75,34.3,15.5,3.3,11.5,1,0.1,0.502,0.431,0.887,10.9,0.203
1st,F,Tim Duncan,28,SAS,553,620,0.892,95,,,66,33.4,20.3,11.1,2.7,0.7,2.6,0.496,0.333,0.67,11.2,0.245
1st,F,Dirk Nowitzki,26,DAL,510,620,0.823,75,,,78,38.7,26.1,9.7,3.1,1.2,1.5,0.459,0.399,0.869,15.6,0.248
1st,G,Allen Iverson,29,PHI,498,620,0.803,69,,,75,42.3,30.7,4,7.9,2.4,0.1,0.424,0.308,0.835,9,0.136
2nd,F,LeBron James,20,CLE,421,620,0.679,45,,,80,42.4,27.2,7.4,7.2,2.2,0.7,0.472,0.351,0.75,14.3,0.203
2nd,G,Dwyane Wade,23,MIA,417,620,0.673,35,,,77,38.6,24.1,5.2,6.8,1.6,1.1,0.478,0.289,0.762,11,0.177
2nd,F,Kevin Garnett,28,MIN,408,620,0.658,34,,,82,38.1,22.2,13.5,5.7,1.5,1.4,0.502,0.24,0.811,16.1,0.248
2nd,C,Amar'e Stoudemire,22,PHO,367,620,0.592,9,,,80,36.1,26,8.9,1.6,1,1.6,0.559,0.188,0.733,14.6,0.243
2nd,G,Ray Allen,29,SEA,177,620,0.285,1,,,78,39.3,23.9,4.4,3.7,1.1,0.1,0.428,0.376,0.883,10.7,0.168
3rd,F,Tracy McGrady,25,HOU,264,620,0.426,15,,,78,40.8,25.7,6.2,5.7,1.7,0.7,0.431,0.326,0.774,12,0.18
3rd,F,Shawn Marion,26,PHO,134,620,0.216,0,,,81,38.8,19.4,11.3,1.9,2,1.5,0.476,0.334,0.833,12.5,0.191
3rd,G,Kobe Bryant,26,LAL,108,620,0.174,1,,,66,40.7,27.6,5.9,6,1.3,0.8,0.433,0.339,0.816,8.1,0.145
3rd,C,Ben Wallace,30,DET,105,620,0.169,0,,,74,36.1,9.7,12.2,1.7,1.4,2.4,0.453,0.111,0.428,8.5,0.153
3rd,G,Gilbert Arenas,23,WAS,104,620,0.168,1,,,80,40.9,25.5,4.7,5.1,1.7,0.3,0.431,0.365,0.814,11.5,0.169
ORV,C,Yao Ming,24,HOU,82,620,0.132,0,,,80,30.6,18.3,8.4,0.8,0.4,2,0.552,,0.783,10.7,0.21
ORV,F,Vince Carter,28,TOT,63,620,0.102,0,,,77,36.7,24.5,5.2,4.2,1.4,0.6,0.452,0.406,0.798,9.4,0.159
ORV,G,Jason Kidd,31,NJN,16,620,0.026,0,,,66,36.9,14.4,7.4,8.3,1.9,0.1,0.398,0.36,0.74,7.2,0.143
ORV,F,Paul Pierce,27,BOS,15,620,0.024,0,,,82,36.1,21.6,6.6,4.2,1.6,0.5,0.455,0.37,0.822,11.2,0.182
ORV,C,Marcus Camby,30,DEN,14,620,0.023,0,,,66,30.5,10.3,10,2.3,0.9,3,0.465,0,0.723,5.8,0.138
ORV,F,Rashard Lewis,25,SEA,13,620,0.021,0,,,71,38,20.5,5.5,1.3,1.1,0.9,0.462,0.4,0.777,8.4,0.15
ORV,G,Manu Ginóbili,27,SAS,12,620,0.019,0,,,74,29.6,16,4.4,3.9,1.6,0.4,0.471,0.376,0.803,11,0.24
ORV,C,Zydrunas Ilgauskas,29,CLE,11,620,0.018,0,,,78,33.5,16.9,8.6,1.3,0.7,2.1,0.468,0.286,0.799,8.1,0.149
ORV,C,Jermaine O'Neal,26,IND,8,620,0.013,0,,,44,34.8,24.3,8.8,1.9,0.6,2,0.452,0.167,0.754,3.8,0.118
ORV,G,Tony Parker,22,SAS,7,620,0.011,0,,,80,34.2,16.6,3.7,6.1,1.2,0.1,0.482,0.276,0.65,8.1,0.141
ORV,G,Mike Bibby,26,SAC,6,620,0.01,0,,,80,38.6,19.6,4.2,6.8,1.6,0.4,0.443,0.36,0.775,8.5,0.133
ORV,F,Elton Brand,25,LAC,6,620,0.01,0,,,81,37,20,9.5,2.6,0.8,2.1,0.503,0,0.752,10.6,0.169
ORV,F,Grant Hill,32,ORL,6,620,0.01,0,,,67,34.9,19.7,4.7,3.3,1.4,0.4,0.509,0.231,0.821,6.6,0.136
ORV,F,Carmelo Anthony,20,DEN,5,620,0.008,0,,,75,34.8,20.8,5.7,2.6,0.9,0.4,0.431,0.266,0.796,4.9,0.09
ORV,F,Antawn Jamison,28,WAS,5,620,0.008,0,,,68,38.3,19.6,7.6,2.3,0.8,0.2,0.437,0.341,0.76,5.4,0.1
ORV,G,Richard Hamilton,26,DET,3,620,0.005,0,,,76,38.5,18.7,3.9,4.9,1,0.2,0.44,0.305,0.858,7.4,0.121
ORV,F,Tayshaun Prince,24,DET,3,620,0.005,0,,,82,37.1,14.7,5.3,3,0.7,0.9,0.487,0.341,0.807,9.4,0.149
ORV,G,Chauncey Billups,28,DET,2,620,0.003,0,0,2,80,35.8,16.5,3.4,5.8,1,0.1,0.442,0.426,0.898,12.1,0.202
ORV,F,Chris Bosh,20,TOR,2,620,0.003,0,0,2,81,37.2,16.8,8.9,1.9,0.9,1.4,0.471,0.3,0.76,6.8,0.108
ORV,G,Stephon Marbury,27,NYK,2,620,0.003,0,0,2,82,40,21.7,3,8.1,1.5,0.1,0.462,0.354,0.834,11.7,0.171
ORV,G,Reggie Miller,39,IND,2,620,0.003,0,0,2,66,31.9,14.8,2.4,2.2,0.8,0.1,0.437,0.322,0.933,6.6,0.151
ORV,G,Michael Redd,25,MIL,2,620,0.003,0,0,2,75,38,23,4.2,2.3,0.8,0.1,0.441,0.355,0.854,6.2,0.105
ORV,G,Larry Hughes,26,WAS,1,620,0.002,0,0,1,61,38.7,22,6.3,4.7,2.9,0.3,0.43,0.282,0.777,7.7,0.157
ORV,G,Corey Maggette,25,LAC,1,620,0.002,0,0,1,66,36.9,22.2,6,3.4,1.1,0.1,0.431,0.304,0.857,8.1,0.16
ORV,F,Kenyon Martin,27,DEN,1,620,0.002,0,0,1,70,32.5,15.5,7.3,2.4,1.4,1.1,0.49,0,0.646,5.3,0.111
ORV,C,Brad Miller,28,SAC,1,620,0.002,0,0,1,56,37.3,15.6,9.3,3.9,1.2,1.2,0.524,0.263,0.812,8.6,0.198
ORV,F,Peja Stojaković,27,SAC,1,620,0.002,0,0,1,66,38.4,20.1,4.3,2.1,1.2,0.2,0.444,0.402,0.92,7.3,0.137
