,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,C,Dwight Howard,24,ORL,610,610,1,122,0,0,82,34.7,18.3,13.2,1.8,0.9,2.8,0.612,0,0.592,13.2,0.223
1st,F,LeBron James,25,CLE,610,610,1,122,0,0,76,39,29.7,7.3,8.6,1.6,1,0.503,0.333,0.767,18.5,0.299
1st,G,Kobe Bryant,31,LAL,604,610,0.99,119,,,73,38.8,27,5.4,5,1.5,0.3,0.456,0.329,0.811,9.4,0.16
1st,F,Kevin Durant,21,OKC,579,610,0.949,107,,,82,39.5,30.1,7.6,2.8,1.4,1,0.476,0.365,0.9,16.1,0.238
1st,G,Dwyane Wade,28,MIA,520,610,0.852,81,,,77,36.3,26.6,4.8,6.5,1.8,1.1,0.476,0.3,0.761,13,0.224
2nd,G,Steve Nash,35,PHO,366,610,0.6,24,,,81,32.8,16.5,3.3,11,0.5,0.1,0.507,0.426,0.938,9.9,0.178
2nd,F,Dirk Nowitzki,31,DAL,356,610,0.584,10,,,81,37.5,25,7.7,2.7,0.9,1,0.481,0.421,0.915,12.3,0.194
2nd,G,Deron Williams,25,UTA,343,610,0.562,14,,,76,36.9,18.7,4,10.5,1.3,0.2,0.469,0.371,0.801,10.3,0.177
2nd,F,Carmelo Anthony,25,DEN,321,610,0.526,9,,,69,38.2,28.2,6.6,3.2,1.3,0.4,0.458,0.316,0.83,7.9,0.145
2nd,C,Amar'e Stoudemire,27,PHO,239,610,0.392,2,,,82,34.6,23.1,8.9,1,0.6,1,0.557,0.167,0.771,10.7,0.181
3rd,C,Andrew Bogut,25,MIL,149,610,0.244,0,,,69,32.3,15.9,10.2,1.8,0.6,2.5,0.52,0,0.629,7.5,0.161
3rd,F,Tim Duncan,33,SAS,125,610,0.205,0,,,78,31.3,17.9,10.1,3.2,0.6,1.5,0.518,0.182,0.725,10.9,0.215
3rd,G,Joe Johnson,28,ATL,118,610,0.193,0,,,76,38,21.3,4.6,4.9,1.1,0.1,0.458,0.369,0.818,8.4,0.14
3rd,F,Pau Gasol,29,LAL,94,610,0.154,0,,,65,37,18.3,11.3,3.4,0.6,1.7,0.536,0,0.79,11,0.22
3rd,G,Brandon Roy,25,POR,87,610,0.143,0,,,65,37.2,21.5,4.4,4.7,0.9,0.2,0.473,0.33,0.78,9.1,0.18
ORV,C,Chris Bosh,25,TOR,80,610,0.131,0,,,70,36.1,24,10.8,2.4,0.6,1,0.518,0.364,0.797,9.6,0.182
