,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Kobe Bryant,29,LAL,635,635,1,127,0,0,82,38.9,28.3,6.3,5.4,1.8,0.5,0.459,0.361,0.84,13.8,0.208
1st,G,Chris Paul,22,NOH,629,635,0.991,124,,,80,37.6,21.1,4,11.6,2.7,0.1,0.488,0.369,0.851,17.8,0.284
1st,F,Kevin Garnett,31,BOS,612,635,0.964,118,,,71,32.8,18.8,9.2,3.4,1.4,1.3,0.539,0,0.801,12.9,0.265
1st,F,LeBron James,23,CLE,610,635,0.961,117,,,75,40.4,30,7.9,7.2,1.8,1.1,0.484,0.315,0.712,15.2,0.242
1st,C,Dwight Howard,22,ORL,546,635,0.86,86,,,82,37.7,20.7,14.2,1.3,0.9,2.1,0.599,0,0.59,12.9,0.2
2nd,C,Amar'e Stoudemire,25,PHO,412,635,0.649,30,,,79,33.9,25.2,9.1,1.5,0.8,2.1,0.59,0.161,0.805,14.6,0.262
2nd,F,Tim Duncan,31,SAS,397,635,0.625,25,,,78,34,19.3,11.3,2.8,0.7,1.9,0.497,0,0.73,11.1,0.201
2nd,G,Steve Nash,33,PHO,311,635,0.49,2,,,81,34.3,16.9,3.5,11.1,0.7,0.1,0.504,0.47,0.906,10.5,0.181
2nd,G,Deron Williams,23,UTA,228,635,0.359,0,,,82,37.3,18.8,3,10.5,1.1,0.3,0.507,0.395,0.803,11.3,0.177
2nd,F,Dirk Nowitzki,29,DAL,189,635,0.298,1,,,77,36,23.6,8.6,3.5,0.7,0.9,0.479,0.359,0.879,12.9,0.223
3rd,F,Carlos Boozer,26,UTA,174,635,0.274,0,,,81,34.9,21.1,10.4,2.9,1.2,0.5,0.547,0,0.738,10.2,0.173
3rd,F,Paul Pierce,30,BOS,151,635,0.238,2,,,80,35.9,19.6,5.1,4.5,1.3,0.5,0.464,0.392,0.843,12.4,0.207
3rd,G,Tracy McGrady,28,HOU,137,635,0.216,1,,,66,37,21.6,5.1,5.9,1,0.5,0.419,0.292,0.684,5.8,0.115
3rd,G,Manu Ginóbili,30,SAS,123,635,0.194,0,,,74,31.1,19.5,4.8,4.5,1.5,0.4,0.46,0.401,0.86,11.1,0.232
3rd,C,Yao Ming,27,HOU,71,635,0.112,2,,,55,37.2,22,10.8,2.3,0.5,2,0.507,0,0.85,8.3,0.196
ORV,G,Allen Iverson,32,DEN,116,635,0.183,0,,,82,41.8,26.4,3,7.1,2,0.1,0.458,0.345,0.809,11.6,0.163
ORV,F,Carmelo Anthony,23,DEN,89,635,0.14,0,,,77,36.4,25.7,7.4,3.4,1.3,0.5,0.492,0.354,0.786,8.2,0.14
ORV,C,Marcus Camby,33,DEN,59,635,0.093,0,,,79,34.9,9.1,13.1,3.3,1.1,3.6,0.45,0.3,0.708,8.5,0.148
ORV,G,Chauncey Billups,31,DET,38,635,0.06,0,,,78,32.3,17,2.7,6.8,1.3,0.2,0.448,0.401,0.918,13.5,0.257
ORV,G,Baron Davis,28,GSW,32,635,0.05,0,,,82,39,21.8,4.7,7.6,2.3,0.5,0.426,0.33,0.75,8.7,0.131
ORV,F,David West,27,NOH,24,635,0.038,0,,,76,37.8,20.6,8.9,2.3,0.8,1.3,0.482,0.24,0.85,8.4,0.14
ORV,F,Rasheed Wallace,33,DET,22,635,0.035,0,,,77,30.5,12.7,6.6,1.8,1.2,1.7,0.432,0.356,0.767,7.6,0.155
ORV,C,Tyson Chandler,25,NOH,18,635,0.028,0,,,79,35.2,11.8,11.7,1,0.6,1.1,0.623,0,0.593,10,0.172
ORV,F,Antawn Jamison,31,WAS,15,635,0.024,0,,,79,38.7,21.4,10.2,1.5,1.3,0.4,0.436,0.339,0.76,9.2,0.144
ORV,C,Al Jefferson,23,MIN,14,635,0.022,0,,,82,35.6,21,11.1,1.4,0.9,1.5,0.5,0,0.721,7.7,0.127
ORV,F,Chris Bosh,23,TOR,11,635,0.017,0,,,67,36.2,22.3,8.7,2.6,0.9,1,0.494,0.4,0.844,10.1,0.2
ORV,G,Joe Johnson,26,ATL,8,635,0.013,0,,,82,40.8,21.7,4.5,5.8,1,0.2,0.432,0.381,0.834,7,0.1
ORV,G,Andre Miller,31,PHI,7,635,0.011,0,,,82,36.8,17,4,6.9,1.3,0.1,0.492,0.088,0.772,8.3,0.131
ORV,F,Caron Butler,27,WAS,5,635,0.008,0,,,58,39.9,20.3,6.7,4.9,2.2,0.3,0.466,0.357,0.901,7.2,0.15
ORV,F,Pau Gasol,27,TOT,5,635,0.008,0,,,66,35.6,18.9,8.4,3.2,0.5,1.5,0.534,0.25,0.807,8.4,0.172
ORV,C,Shaquille O'Neal,35,TOT,5,635,0.008,0,,,61,28.7,13.6,9.1,1.5,0.5,1.4,0.593,,0.503,2.8,0.078
ORV,G,Ray Allen,32,BOS,4,635,0.006,0,,,73,35.9,17.4,3.7,3.1,0.9,0.2,0.445,0.398,0.907,9.7,0.177
ORV,G,Kevin Martin,24,SAC,4,635,0.006,0,,,61,36.3,23.7,4.5,2.1,1,0.1,0.456,0.402,0.869,8.4,0.183
ORV,F,Hedo Türkoğlu,28,ORL,3,635,0.005,0,,,82,36.9,19.5,5.7,5,0.9,0.3,0.456,0.4,0.829,9,0.143
ORV,G,Richard Hamilton,29,DET,2,635,0.003,0,0,2,72,33.7,17.3,3.3,4.2,1,0.1,0.484,0.44,0.833,7.7,0.152
ORV,F,Josh Howard,27,DAL,2,635,0.003,0,0,2,76,36.3,19.9,7,2.2,0.8,0.4,0.455,0.319,0.813,8,0.14
ORV,G,Jason Kidd,34,TOT,2,635,0.003,0,0,2,80,36.3,10.8,7.5,10.1,1.7,0.3,0.385,0.381,0.818,5.9,0.097
ORV,F,Andre Iguodala,24,PHI,1,635,0.002,0,0,1,82,39.5,19.9,5.4,4.8,2.1,0.6,0.456,0.329,0.721,9.6,0.143
ORV,G,Tony Parker,25,SAS,1,635,0.002,0,0,1,69,33.5,18.8,3.2,6,0.8,0.1,0.494,0.258,0.715,7,0.146
ORV,F,Tayshaun Prince,27,DET,1,635,0.002,0,0,1,82,32.9,13.2,4.9,3.3,0.5,0.4,0.448,0.363,0.768,7.5,0.133
ORV,G,Michael Redd,28,MIL,1,635,0.002,0,0,1,72,37.5,22.7,4.3,3.4,0.9,0.2,0.442,0.362,0.82,5.8,0.104
ORV,G,Brandon Roy,23,POR,1,635,0.002,0,0,1,74,37.7,19.1,4.7,5.8,1.1,0.2,0.454,0.34,0.753,8,0.138
