,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,LeBron James,26,MIA,595,595,1,119,0,0,79,38.8,26.7,7.5,7,1.6,0.6,0.51,0.33,0.759,15.6,0.244
1st,C,Dwight Howard,25,ORL,593,595,0.997,118,1,0,78,37.6,22.9,14.1,1.4,1.4,2.4,0.593,0,0.596,14.4,0.235
1st,G,Derrick Rose,22,CHI,593,595,0.997,118,1,0,81,37.4,25,4.1,7.7,1,0.6,0.445,0.332,0.858,13.1,0.208
1st,G,Kobe Bryant,32,LAL,551,595,0.926,98,,,82,33.9,25.3,5.1,4.7,1.2,0.1,0.451,0.323,0.828,10.3,0.178
1st,F,Kevin Durant,22,OKC,492,595,0.827,69,,,78,38.9,27.7,6.8,2.7,1.1,1,0.462,0.35,0.88,12,0.189
2nd,F,Dirk Nowitzki,32,DAL,437,595,0.734,47,,,73,34.3,23,7,2.6,0.5,0.6,0.517,0.393,0.892,11.1,0.213
2nd,C,Amar'e Stoudemire,28,NYK,437,595,0.734,2,,,78,36.8,25.3,8.2,2.6,0.9,1.9,0.502,0.435,0.792,8,0.134
2nd,G,Dwyane Wade,29,MIA,392,595,0.659,24,,,76,37.1,25.5,6.4,4.6,1.5,1.1,0.5,0.306,0.758,12.8,0.218
2nd,F,Pau Gasol,30,LAL,259,595,0.435,2,,,82,37,18.8,10.2,3.3,0.6,1.6,0.529,0.333,0.823,14.7,0.232
2nd,G,Russell Westbrook,22,OKC,184,595,0.309,0,,,82,34.7,21.9,4.6,8.2,1.9,0.4,0.442,0.33,0.842,9.4,0.159
3rd,G,Chris Paul,25,NOH,157,595,0.264,0,,,80,36,15.9,4.1,9.8,2.4,0.1,0.463,0.388,0.878,13.9,0.232
3rd,F,LaMarcus Aldridge,25,POR,135,595,0.227,0,,,81,39.6,21.8,8.8,2.1,1,1.2,0.5,0.174,0.791,11.1,0.166
3rd,G,Manu Ginóbili,33,SAS,106,595,0.178,0,,,80,30.3,17.4,3.7,4.9,1.5,0.4,0.433,0.349,0.871,9.9,0.195
3rd,F,Zach Randolph,29,MEM,67,595,0.113,0,,,75,36.3,20.1,12.2,2.2,0.8,0.3,0.503,0.186,0.758,10.5,0.185
3rd,C,Al Horford,24,ATL,62,595,0.104,0,,,77,35.1,15.3,9.3,3.5,0.8,1,0.557,0.5,0.798,10.1,0.179
ORV,G,Rajon Rondo,24,BOS,68,595,0.114,0,,,68,37.2,10.6,4.4,11.2,2.3,0.2,0.475,0.233,0.568,6.6,0.126
ORV,F,Paul Pierce,33,BOS,55,595,0.092,0,,,80,34.7,18.9,5.4,3.3,1,0.6,0.497,0.374,0.86,11.6,0.201
ORV,F,Carmelo Anthony,26,TOT,53,595,0.089,0,,,77,35.7,25.6,7.3,2.9,0.9,0.6,0.455,0.378,0.838,7.9,0.138
ORV,F,Kevin Love,22,MIN,48,595,0.081,0,,,73,35.8,20.2,15.2,2.5,0.6,0.4,0.47,0.417,0.85,11.4,0.21
ORV,F,Tim Duncan,34,SAS,43,595,0.072,0,,,76,28.4,13.4,8.9,2.7,0.7,1.9,0.5,0,0.716,7.7,0.171
ORV,F,Blake Griffin,21,LAC,36,595,0.061,0,,,82,38,22.5,12.1,3.8,0.8,0.5,0.506,0.292,0.642,9.8,0.152
ORV,G,Tony Parker,28,SAS,27,595,0.045,0,,,78,32.4,17.5,3.1,6.6,1.2,0,0.519,0.357,0.769,8.2,0.156
ORV,F,Kevin Garnett,34,BOS,22,595,0.037,0,,,71,31.3,14.9,8.9,2.4,1.3,0.8,0.528,0.2,0.862,9,0.194
ORV,G,Deron Williams,26,TOT,19,595,0.032,0,,,65,37.9,20.1,4,10.3,1.2,0.2,0.439,0.331,0.845,7.3,0.142
ORV,G,Steve Nash,36,PHO,17,595,0.029,0,,,75,33.3,14.7,3.5,11.4,0.6,0.1,0.492,0.395,0.912,7.9,0.153
ORV,C,Andrew Bogut,26,MIL,13,595,0.022,0,,,65,35.3,12.8,11.1,2,0.7,2.6,0.495,0,0.442,5.4,0.112
ORV,G,Monta Ellis,25,GSW,11,595,0.018,0,,,80,40.3,24.1,3.5,5.6,2.1,0.3,0.451,0.361,0.789,6,0.089
ORV,F,Nenê,28,DEN,11,595,0.018,0,,,75,30.5,14.5,7.6,2,1.1,1,0.615,0.2,0.711,9.6,0.201
ORV,C,Andrew Bynum,23,LAL,9,595,0.015,0,,,54,27.8,11.3,9.4,1.4,0.4,2,0.574,,0.66,6.6,0.21
ORV,C,Tyson Chandler,28,DAL,7,595,0.012,0,,,74,27.8,10.1,9.4,0.4,0.5,1.1,0.654,,0.732,9.4,0.218
ORV,G,Kevin Martin,27,HOU,7,595,0.012,0,,,80,32.5,23.5,3.2,2.5,1,0.2,0.436,0.383,0.888,9.5,0.175
ORV,C,Joakim Noah,25,CHI,5,595,0.008,0,,,48,32.8,11.7,10.4,2.2,1,1.5,0.525,0,0.739,6.7,0.205
ORV,C,Marc Gasol,26,MEM,3,595,0.005,0,,,81,31.9,11.7,7,2.5,0.9,1.7,0.527,0.429,0.748,7.9,0.146
ORV,C,Al Jefferson,26,UTA,3,595,0.005,0,,,82,35.9,18.6,9.7,1.8,0.6,1.9,0.496,,0.761,7.8,0.128
ORV,C,Kendrick Perkins,26,TOT,3,595,0.005,0,,,29,25.6,6,8,0.9,0.3,0.9,0.515,,0.556,1,0.063
ORV,C,Andrea Bargnani,25,TOR,2,595,0.003,0,0,2,66,35.7,21.4,5.2,1.8,0.5,0.7,0.448,0.345,0.82,2.5,0.052
ORV,F,Chris Bosh,26,MIA,2,595,0.003,0,0,2,77,36.3,18.7,8.3,1.9,0.8,0.6,0.496,0.24,0.815,10.3,0.177
ORV,G,Ray Allen,35,BOS,1,595,0.002,0,0,1,80,36.1,16.5,3.4,2.7,1,0.2,0.491,0.444,0.881,10,0.166
ORV,F,Luol Deng,25,CHI,1,595,0.002,0,0,1,82,39.1,17.4,5.8,2.8,1,0.6,0.46,0.345,0.753,9.9,0.149
ORV,G,Eric Gordon,22,LAC,1,595,0.002,0,0,1,56,37.7,22.3,2.9,4.4,1.3,0.3,0.45,0.364,0.825,5.3,0.12
ORV,F,Andre Iguodala,27,PHI,1,595,0.002,0,0,1,67,36.9,14.1,5.8,6.3,1.5,0.6,0.445,0.337,0.693,6.7,0.13
ORV,G,Jason Kidd,37,DAL,1,595,0.002,0,0,1,80,33.2,7.9,4.4,8.2,1.7,0.4,0.361,0.34,0.87,6.4,0.116
ORV,C,Emeka Okafor,28,NOH,1,595,0.002,0,0,1,72,31.8,10.3,9.5,0.6,0.6,1.8,0.573,0,0.562,6.5,0.136
ORV,F,Luis Scola,30,HOU,1,595,0.002,0,0,1,74,32.6,18.3,8.2,2.5,0.6,0.6,0.504,0,0.738,5.5,0.11
ORV,F,Gerald Wallace,28,TOT,1,595,0.002,0,0,1,71,37.9,15.7,8,2.4,1.5,0.9,0.454,0.333,0.746,6.2,0.111
