,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Allen Iverson,25,PHI,612,620,0.987,120,,,71,42,31.1,3.8,4.6,2.5,0.3,0.42,0.32,0.814,11.8,0.19
1st,F,Tim Duncan,24,SAS,608,620,0.981,115,,,82,38.7,22.2,12.2,3,0.9,2.3,0.499,0.259,0.618,13.2,0.2
1st,F,Chris Webber,27,SAC,596,620,0.961,109,,,70,40.5,27.1,11.1,4.2,1.3,1.7,0.481,0.071,0.703,11,0.186
1st,C,Shaquille O'Neal,28,LAL,581,620,0.937,115,,,74,39.5,28.7,12.7,3.7,0.6,2.8,0.572,0,0.513,14.9,0.245
1st,G,Jason Kidd,27,PHO,423,620,0.682,54,,,77,39.8,16.9,6.4,9.8,2.2,0.3,0.411,0.297,0.814,9.6,0.15
2nd,F,Kevin Garnett,24,MIN,424,620,0.684,25,,,81,39.5,22,11.4,5,1.4,1.8,0.477,0.288,0.764,11.8,0.176
2nd,G,Kobe Bryant,22,LAL,411,620,0.663,36,,,68,40.9,28.5,5.9,5,1.7,0.6,0.464,0.305,0.853,11.3,0.196
2nd,F,Tracy McGrady,21,ORL,318,620,0.513,21,,,77,40.1,26.8,7.5,4.6,1.5,1.5,0.457,0.355,0.733,12.2,0.189
2nd,F,Vince Carter,24,TOR,287,620,0.463,11,,,75,39.7,27.6,5.5,3.9,1.5,1.1,0.46,0.408,0.765,12.9,0.208
2nd,C,Dikembe Mutombo,34,TOT,238,620,0.384,0,,,75,34.5,10,13.5,1,0.4,2.7,0.484,,0.725,8.1,0.151
3rd,F,Karl Malone,37,UTA,197,620,0.318,0,,,81,35.7,23.2,8.3,4.5,1.1,0.8,0.498,0.4,0.793,13.1,0.217
3rd,C,David Robinson,35,SAS,165,620,0.266,0,,,80,29.6,14.4,8.6,1.5,1,2.5,0.486,0,0.747,12.1,0.246
3rd,G,Gary Payton,32,SEA,117,620,0.189,1,,,79,41.1,23.1,4.6,8.1,1.6,0.3,0.456,0.375,0.766,10.8,0.16
3rd,G,Ray Allen,25,MIL,105,620,0.169,3,,,82,38.2,22,5.2,4.6,1.5,0.2,0.48,0.433,0.888,13.7,0.211
3rd,F,Dirk Nowitzki,22,DAL,56,620,0.09,0,,,82,38.1,21.8,9.2,2.1,1,1.2,0.474,0.387,0.838,14.6,0.224
ORV,G,Jerry Stackhouse,26,DET,54,620,0.087,3,,,80,40.2,29.8,3.9,5.1,1.2,0.7,0.402,0.351,0.822,9.2,0.137
ORV,F,Rasheed Wallace,26,POR,51,620,0.082,0,,,77,38.2,19.2,7.8,2.8,1.2,1.8,0.501,0.321,0.766,11,0.18
ORV,G,Michael Finley,27,DAL,44,620,0.071,0,,,82,42,21.5,5.2,4.4,1.4,0.4,0.458,0.346,0.775,8.5,0.119
ORV,G,Stephon Marbury,23,NJN,38,620,0.061,0,,,67,38.2,23.9,3.1,7.6,1.2,0.1,0.441,0.328,0.79,7.8,0.147
ORV,F,Paul Pierce,23,BOS,38,620,0.061,0,,,82,38,25.3,6.4,3.1,1.7,0.8,0.454,0.383,0.745,10.4,0.16
ORV,F,Antonio McDyess,26,DEN,34,620,0.055,0,,,70,36.5,20.8,12.1,2.1,0.6,1.5,0.495,,0.7,7.8,0.146
ORV,G,John Stockton,38,UTA,32,620,0.052,1,,,82,29.2,11.5,2.8,8.7,1.6,0.3,0.504,0.462,0.817,10.8,0.216
ORV,G,Steve Francis,23,HOU,29,620,0.047,1,,,80,39.9,19.9,6.9,6.5,1.8,0.4,0.451,0.396,0.817,12.2,0.184
ORV,F,Glenn Robinson,28,MIL,20,620,0.032,0,,,76,37,22,6.9,3.3,1.1,0.8,0.468,0.299,0.82,6.7,0.114
ORV,C,Antonio Davis,32,TOR,17,620,0.027,0,,,78,35,13.7,10.1,1.4,0.3,1.9,0.433,0,0.754,7.2,0.127
ORV,C,Vlade Divac,32,SAC,17,620,0.027,0,,,81,29.9,12,8.3,2.9,1.1,1.1,0.482,0.286,0.691,7.4,0.147
ORV,C,Marcus Camby,26,NYK,11,620,0.018,0,,,63,33.8,12,11.5,0.8,1,2.2,0.524,0.125,0.667,10.3,0.233
ORV,F,Anthony Mason,34,MIA,6,620,0.01,0,,,80,40.7,16.1,9.6,3.1,1,0.3,0.482,,0.781,11.6,0.171
ORV,C,Theo Ratliff,27,PHI,5,620,0.008,0,,,50,36,12.4,8.3,1.2,0.6,3.7,0.499,,0.76,5.2,0.138
ORV,F,Shawn Marion,22,PHO,4,620,0.006,0,,,79,36.2,17.3,10.7,2,1.7,1.4,0.48,0.256,0.81,11.7,0.196
ORV,F,Jalen Rose,28,IND,4,620,0.006,0,,,72,40.9,20.5,5,6,0.9,0.6,0.457,0.339,0.828,7.3,0.119
ORV,G,Latrell Sprewell,30,NYK,4,620,0.006,0,,,77,39.2,17.7,4.5,3.5,1.4,0.4,0.43,0.304,0.783,5.1,0.082
ORV,F,Shareef Abdur-Rahim,24,VAN,3,620,0.005,0,,,81,40,20.5,9.1,3.1,1.1,1,0.472,0.188,0.834,8.5,0.126
ORV,F,Brian Grant,28,MIA,3,620,0.005,0,,,82,33.8,15.2,8.8,1.2,0.7,0.9,0.479,0,0.797,8.7,0.151
ORV,G,Allan Houston,29,NYK,3,620,0.005,0,,,78,36.6,18.7,3.6,2.2,0.7,0.1,0.449,0.381,0.909,7.5,0.126
ORV,G,Terrell Brandon,30,MIN,2,620,0.003,0,0,2,78,36.2,16,3.8,7.5,2.1,0.3,0.451,0.363,0.871,8.5,0.145
ORV,G,Sam Cassell,31,MIL,2,620,0.003,0,0,2,76,35.6,18.2,3.8,7.6,1.2,0.1,0.474,0.306,0.858,8.5,0.15
ORV,C,Jermaine O'Neal,22,IND,2,620,0.003,0,0,2,81,32.6,12.9,9.8,1.2,0.6,2.8,0.465,0,0.601,6.4,0.116
ORV,C,Elden Campbell,32,CHH,1,620,0.002,0,0,1,78,30,13.1,7.8,1.3,0.8,1.8,0.44,0,0.709,6.4,0.131
ORV,F,Antawn Jamison,24,GSW,1,620,0.002,0,0,1,82,41.4,24.9,8.7,2,1.4,0.3,0.442,0.302,0.715,6.7,0.094
