,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Magic Johnson,30,LAL,458,460,0.996,91,,,79,37.2,22.3,6.6,11.5,1.7,0.4,0.48,0.384,0.89,16.5,0.27
1st,F,Charles Barkley,26,PHI,456,460,0.991,91,,,79,39.1,25.2,11.5,3.9,1.9,0.6,0.6,0.217,0.749,17.3,0.269
1st,F,Karl Malone,26,UTA,456,460,0.991,90,,,82,38.1,31,11.1,2.8,1.5,0.6,0.562,0.372,0.762,15.9,0.245
1st,G,Michael Jordan,26,CHI,453,460,0.985,90,,,82,39,33.6,6.9,6.3,2.8,0.7,0.526,0.376,0.848,19,0.285
1st,C,Patrick Ewing,27,NYK,344,460,0.748,44,,,82,38.6,28.6,10.9,2.2,1,4,0.551,0.25,0.775,13.5,0.205
2nd,C,Hakeem Olajuwon,27,HOU,326,460,0.709,42,,,82,38.1,24.3,14,2.9,2.1,4.6,0.501,0.167,0.713,11.2,0.173
2nd,G,John Stockton,27,UTA,241,460,0.524,2,,,78,37.4,17.2,2.6,14.5,2.7,0.2,0.514,0.416,0.819,14.4,0.238
2nd,F,Tom Chambers,30,PHO,234,460,0.509,1,,,81,37.6,27.2,7,2.3,1.1,0.6,0.501,0.279,0.861,11.2,0.176
2nd,F,Larry Bird,33,BOS,209,460,0.454,1,,,75,39.3,24.3,9.5,7.5,1.4,0.8,0.473,0.333,0.93,9.5,0.154
2nd,G,Kevin Johnson,23,PHO,177,460,0.385,0,,,74,37.6,22.5,3.6,11.4,1.3,0.2,0.499,0.195,0.838,11.6,0.2
3rd,C,David Robinson,24,SAS,160,460,0.348,7,,,82,36.6,24.3,12,2,1.7,3.9,0.531,0,0.732,15.1,0.241
3rd,G,Clyde Drexler,27,POR,113,460,0.246,0,,,73,36.8,23.3,6.9,5.9,2,0.7,0.494,0.283,0.774,11.6,0.208
3rd,G,Joe Dumars,26,DET,94,460,0.204,0,,,75,34.4,17.8,2.8,4.9,0.8,0,0.48,0.4,0.9,8.7,0.162
3rd,F,James Worthy,28,LAL,85,460,0.185,0,,,80,37,21.1,6,3.6,1.2,0.6,0.548,0.306,0.782,10.6,0.172
3rd,F,Chris Mullin,26,GSW,60,460,0.13,0,,,78,36.3,25.1,5.9,4.1,1.6,0.6,0.536,0.372,0.889,10.2,0.174
ORV,F,Terry Cummings,28,SAS,54,460,0.117,0,,,81,34.8,22.4,8.4,2.7,1.4,0.6,0.475,0.322,0.78,8.7,0.149
ORV,G,Isiah Thomas,28,DET,36,460,0.078,0,,,81,37,18.4,3.8,9.4,1.7,0.2,0.438,0.309,0.775,6.7,0.107
ORV,F,Dominique Wilkins,30,ATL,36,460,0.078,0,,,80,36.1,26.7,6.5,2.5,1.6,0.6,0.484,0.322,0.807,11.1,0.184
ORV,F,Kevin McHale,32,BOS,33,460,0.072,0,,,82,33.2,20.9,8.3,2.1,0.4,1.9,0.549,0.333,0.893,11.1,0.195
ORV,G,Reggie Miller,24,IND,25,460,0.054,0,,,82,38.9,24.6,3.6,3.8,1.3,0.2,0.514,0.414,0.868,12.1,0.182
ORV,G,Fat Lever,29,DEN,18,460,0.039,0,,,79,35.8,18.3,9.3,6.5,2.1,0.2,0.443,0.414,0.804,8.8,0.149
ORV,F,Buck Williams,29,POR,16,460,0.035,0,,,82,34.2,13.6,9.8,1.4,0.8,0.5,0.548,0,0.706,8.7,0.149
ORV,G,Terry Porter,26,POR,12,460,0.026,0,,,80,34.8,17.6,3.4,9.1,1.9,0.1,0.462,0.374,0.892,11.7,0.202
