,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
ORV,G,Mark Price,25,CLE,9,460,0.02,0,,,73,37.1,19.6,3.4,9.1,1.6,0.1,0.459,0.406,0.888,10.1,0.179
ORV,F,Dennis Rodman,28,DET,7,460,0.015,0,,,82,29,8.8,9.7,0.9,0.6,0.7,0.581,0.111,0.654,9.3,0.189
ORV,F,Rodney McCray,28,SAC,5,460,0.011,1,0,0,82,39.5,16.6,8.2,4.6,0.7,0.9,0.515,0.262,0.784,7.9,0.118
ORV,G,Rolando Blackman,30,DAL,4,460,0.009,0,,,80,36.7,19.4,3.5,3.6,1,0.3,0.498,0.302,0.844,6.8,0.111
ORV,G,Mitch Richmond,24,GSW,4,460,0.009,0,,,78,35.9,22.1,4.6,2.9,1.3,0.3,0.497,0.358,0.866,5.2,0.09
ORV,G,Derek Harper,28,DAL,2,460,0.004,0,0,2,82,36.7,18,3,7.4,2.3,0.3,0.488,0.371,0.794,9.9,0.158
ORV,F,Bernard King,33,WSB,2,460,0.004,0,0,2,82,32.8,22.4,4.9,4.6,0.6,0.1,0.487,0.13,0.803,5.5,0.099
ORV,C,Robert Parish,36,BOS,2,460,0.004,0,0,2,79,30.3,15.7,10.1,1.3,0.5,0.9,0.58,,0.747,7.8,0.157
ORV,F,Tony Campbell,27,MIN,1,460,0.002,0,0,1,82,38.6,23.2,5.5,2.6,1.4,0.4,0.457,0.167,0.787,5.3,0.081
ORV,G,Eddie Johnson,30,PHO,1,460,0.002,0,0,1,64,28.3,16.9,3.8,1.7,0.5,0.2,0.453,0.38,0.917,3.9,0.104
ORV,F,Rick Mahorn,31,PHI,1,460,0.002,0,0,1,75,30.3,10.8,7.6,1.3,0.6,1.4,0.497,0.222,0.715,5.3,0.113
ORV,G,Jeff Malone,28,WSB,1,460,0.002,0,0,1,75,34.2,24.3,2.7,3.2,0.6,0.1,0.491,0.167,0.877,5.2,0.098
ORV,F,Charles Oakley,26,NYK,1,460,0.002,0,0,1,61,36,14.6,11.9,2.4,1,0.3,0.524,0,0.761,6,0.131
ORV,G,Ricky Pierce,30,MIL,1,460,0.002,0,0,1,59,29,23,2.8,2.3,0.8,0.1,0.51,0.346,0.839,5.8,0.163
ORV,F,Scottie Pippen,24,CHI,1,460,0.002,0,0,1,82,38.4,16.5,6.7,5.4,2.6,1.2,0.489,0.25,0.675,5.7,0.087
ORV,F,Charles Smith,24,LAC,1,460,0.002,0,0,1,78,35,21.1,6.7,1.5,1.1,1.5,0.52,0.083,0.794,9.4,0.165
ORV,F,Hot Rod Williams,27,CLE,1,460,0.002,0,0,1,82,33.9,16.8,8.1,2,1,2,0.493,,0.739,8.7,0.15
