,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,33,CHI,575,575,1,115,0,0,82,37.9,29.6,5.9,4.3,1.7,0.5,0.486,0.374,0.833,18.3,0.283
1st,F,Karl Malone,33,UTA,575,575,1,115,0,0,82,36.6,27.4,9.9,4.5,1.4,0.6,0.55,0,0.755,16.7,0.268
1st,C,Hakeem Olajuwon,34,HOU,514,575,0.894,89,,,78,36.6,23.2,9.2,3,1.5,2.2,0.51,0.313,0.787,9.1,0.154
1st,F,Grant Hill,24,DET,483,575,0.84,76,,,80,39.3,21.4,9,7.3,1.8,0.6,0.496,0.303,0.711,14.6,0.223
1st,G,Tim Hardaway,30,MIA,435,575,0.757,62,,,81,38.7,20.3,3.4,8.6,1.9,0.1,0.415,0.344,0.799,12.9,0.198
2nd,G,Gary Payton,28,SEA,386,575,0.671,42,,,82,39.2,21.8,4.6,7.1,2.4,0.2,0.476,0.313,0.715,12.9,0.193
2nd,F,Scottie Pippen,31,CHI,337,575,0.586,19,,,82,37.7,20.2,6.5,5.7,1.9,0.5,0.474,0.368,0.701,13.1,0.203
2nd,C,Patrick Ewing,34,NYK,327,575,0.569,20,,,78,37,22.4,10.7,2,0.9,2.4,0.488,0.222,0.754,9.8,0.163
2nd,F,Glen Rice,29,CHH,316,575,0.55,20,,,79,42.6,26.8,4,2,0.9,0.3,0.477,0.47,0.867,10.8,0.154
2nd,G,Mitch Richmond,31,SAC,198,575,0.344,1,,,81,38.6,25.9,3.9,4.2,1.5,0.3,0.454,0.428,0.861,10.8,0.166
3rd,G,John Stockton,34,UTA,142,575,0.247,6,,,82,35.3,14.4,2.8,10.5,2,0.2,0.548,0.422,0.846,13.6,0.226
3rd,F,Anthony Mason,30,CHH,110,575,0.191,0,,,73,43.1,16.2,11.4,5.7,1,0.5,0.525,0.333,0.745,11.4,0.173
3rd,C,Shaquille O'Neal,24,LAL,72,575,0.125,3,,,51,38.1,26.2,12.5,3.1,0.9,2.9,0.557,0,0.484,8,0.197
3rd,G,Anfernee Hardaway,25,ORL,62,575,0.108,2,,,59,37.6,20.5,4.5,5.6,1.6,0.6,0.447,0.318,0.82,8.1,0.175
3rd,F,Vin Baker,25,MIL,61,575,0.106,0,,,78,40.5,21,10.3,2.7,1,1.4,0.505,0.278,0.687,8.3,0.127
ORV,C,Alonzo Mourning,26,MIA,67,575,0.117,0,,,66,35.2,19.8,9.9,1.6,0.8,2.9,0.534,0.111,0.642,8.4,0.174
ORV,F,Tom Gugliotta,27,MIN,60,575,0.104,0,,,81,38.7,20.6,8.7,4.1,1.6,1.1,0.442,0.258,0.82,6.7,0.103
ORV,G,Mookie Blaylock,29,ATL,57,575,0.099,1,,,78,39.2,17.4,5.3,5.9,2.7,0.3,0.432,0.366,0.753,12.5,0.197
ORV,G,Kevin Johnson,30,PHO,57,575,0.099,1,,,70,38,20.1,3.6,9.3,1.5,0.2,0.496,0.441,0.852,11.7,0.211
ORV,C,Dikembe Mutombo,30,ATL,55,575,0.096,3,,,80,37.2,13.3,11.6,1.4,0.6,3.3,0.527,,0.705,11.3,0.183
ORV,F,Charles Barkley,33,HOU,47,575,0.082,0,,,53,37.9,19.2,13.5,4.7,1.3,0.5,0.484,0.283,0.694,9.4,0.224
ORV,G,Latrell Sprewell,26,GSW,44,575,0.077,0,,,80,41.9,24.2,4.6,6.3,1.7,0.6,0.449,0.354,0.843,8.1,0.115
ORV,G,Terrell Brandon,26,CLE,30,575,0.052,0,,,78,36.8,19.5,3.9,6.3,1.8,0.4,0.438,0.373,0.902,10.8,0.181
ORV,F,Chris Webber,23,WSB,29,575,0.05,0,,,72,39,20.1,10.3,4.6,1.7,1.9,0.518,0.397,0.565,9.3,0.159
ORV,G,Eddie Jones,25,LAL,25,575,0.043,0,,,80,37.5,17.2,4.1,3.4,2.4,0.6,0.438,0.391,0.819,9.6,0.154
ORV,F,Christian Laettner,27,ATL,20,575,0.035,0,,,82,38.3,18.1,8.8,2.7,1.2,0.8,0.486,0.352,0.816,11.6,0.177
ORV,G,Mark Jackson,31,TOT,11,575,0.019,0,,,82,37.2,9.9,4.8,11.4,1.2,0.1,0.426,0.371,0.789,6.1,0.097
ORV,F,Shawn Kemp,27,SEA,11,575,0.019,0,,,81,34,18.7,10,1.9,1.5,1,0.51,0.364,0.742,10,0.174
ORV,G,Steve Smith,27,ATL,11,575,0.019,0,,,72,39.1,20.1,3.3,4.2,0.9,0.3,0.429,0.335,0.847,9.1,0.154
ORV,G,Reggie Miller,31,IND,9,575,0.016,0,,,81,36.6,21.6,3.5,3.4,0.9,0.3,0.444,0.427,0.88,12.3,0.2
ORV,F,Dennis Rodman,35,CHI,9,575,0.016,0,,,55,35.4,5.7,16.1,3.1,0.6,0.3,0.448,0.263,0.568,6,0.148
ORV,G,Damon Stoudamire,23,TOR,8,575,0.014,0,,,81,40.9,20.2,4.1,8.8,1.5,0.2,0.401,0.355,0.823,7.6,0.11
ORV,G,Rod Strickland,30,WSB,7,575,0.012,0,,,82,36.5,17.2,4.1,8.9,1.7,0.2,0.466,0.169,0.738,8.8,0.141
ORV,G,Kenny Anderson,26,POR,6,575,0.01,0,,,82,37.6,17.5,4.4,7.1,2,0.2,0.427,0.361,0.768,12.4,0.193
ORV,F,Kevin Garnett,20,MIN,6,575,0.01,0,,,77,38.9,17,8,3.1,1.4,2.1,0.499,0.286,0.754,7.3,0.116
ORV,G,Allen Iverson,21,PHI,3,575,0.005,0,,,76,40.1,23.5,4.1,7.5,2.1,0.3,0.416,0.341,0.702,4.1,0.065
ORV,F,Loy Vaught,28,LAC,3,575,0.005,0,,,82,34.6,14.9,10,1.3,1,0.3,0.5,0.167,0.702,6.3,0.106
ORV,G,Nick Van Exel,25,LAL,2,575,0.003,0,0,2,79,37.2,15.3,2.9,8.5,0.9,0.1,0.402,0.378,0.825,7.2,0.118
ORV,G,Kendall Gill,28,NJN,1,575,0.002,0,0,1,82,39,21.8,6.1,4,1.9,0.6,0.443,0.336,0.797,8.8,0.132
ORV,G,Jason Kidd,23,TOT,1,575,0.002,0,0,1,55,35.7,10.9,4.5,9,2.3,0.4,0.403,0.37,0.679,4.4,0.107
ORV,F,Clifford Robinson,30,POR,1,575,0.002,0,0,1,81,38,15.1,4,3.2,1.2,0.8,0.426,0.346,0.696,6.6,0.103
ORV,F,Glenn Robinson,24,MIL,1,575,0.002,0,0,1,80,38.9,21.1,6.3,3.1,1.3,0.9,0.465,0.35,0.791,4.7,0.072
ORV,F,Antoine Walker,20,BOS,1,575,0.002,0,0,1,82,36.2,17.5,9,3.2,1.3,0.6,0.425,0.327,0.631,1.7,0.027
