,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,32,CHI,565,565,1,113,0,0,82,37.7,30.4,6.6,4.3,2.2,0.5,0.495,0.427,0.834,20.4,0.317
1st,F,Scottie Pippen,30,CHI,517,565,0.915,91,,,77,36.7,19.4,6.4,5.9,1.7,0.7,0.463,0.374,0.679,12.3,0.209
1st,G,Anfernee Hardaway,24,ORL,516,565,0.913,90,,,82,36.8,21.7,4.3,7.1,2,0.5,0.513,0.314,0.767,14.4,0.229
1st,F,Karl Malone,32,UTA,509,565,0.901,89,,,82,38,25.7,9.8,4.2,1.7,0.7,0.519,0.4,0.723,15.1,0.233
1st,C,David Robinson,30,SAS,442,565,0.782,65,,,82,36.8,25,12.2,3,1.4,3.3,0.516,0.333,0.761,18.3,0.29
2nd,C,Hakeem Olajuwon,33,HOU,378,565,0.669,40,,,72,38.8,26.9,10.9,3.6,1.6,2.9,0.514,0.214,0.724,9.7,0.166
2nd,F,Shawn Kemp,26,SEA,306,565,0.542,18,,,79,33.3,19.6,11.4,2.2,1.2,1.6,0.561,0.417,0.742,11.2,0.205
2nd,G,Gary Payton,27,SEA,294,565,0.52,14,,,81,39,19.3,4.2,7.5,2.9,0.2,0.484,0.328,0.748,11.5,0.174
2nd,F,Grant Hill,23,DET,266,565,0.471,14,,,80,40.8,20.2,9.8,6.9,1.3,0.6,0.462,0.192,0.751,11.7,0.172
2nd,G,John Stockton,33,UTA,258,565,0.457,7,,,82,35.5,14.7,2.8,11.2,1.7,0.2,0.538,0.422,0.83,13,0.214
3rd,F,Charles Barkley,32,PHO,236,565,0.418,10,,,71,37.1,23.2,11.6,3.7,1.6,0.8,0.5,0.28,0.777,10.5,0.191
3rd,C,Shaquille O'Neal,23,ORL,185,565,0.327,8,,,54,36,26.6,11,2.9,0.6,2.1,0.573,0.5,0.487,6.9,0.171
3rd,G,Mitch Richmond,30,SAC,167,565,0.296,1,,,81,36.4,23.1,3.3,3.1,1.5,0.2,0.447,0.437,0.866,9.3,0.151
3rd,G,Reggie Miller,30,IND,90,565,0.159,0,,,76,34.5,21.1,2.8,3.3,1,0.2,0.473,0.41,0.863,10.3,0.188
3rd,F,Juwan Howard,22,WSB,68,565,0.12,3,,,81,40.7,22.1,8.1,4.4,0.8,0.5,0.489,0.308,0.749,5.6,0.082
ORV,F,Dennis Rodman,34,CHI,57,565,0.101,1,,,64,32.6,5.5,14.9,2.5,0.6,0.4,0.48,0.111,0.528,6.2,0.143
ORV,G,Jason Kidd,22,DAL,43,565,0.076,1,,,81,37.5,16.6,6.8,9.7,2.2,0.3,0.381,0.336,0.692,4.3,0.068
ORV,G,Rod Strickland,29,POR,33,565,0.058,0,,,67,37.7,18.7,4.4,9.6,1.4,0.2,0.46,0.342,0.652,7.1,0.136
