,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Giannis Antetokounmpo,26,MIL,500,500,1,100,0,0,61,33,28.1,11,5.9,1.2,1.2,0.569,0.303,0.685,10.2,0.244
1st,C,Nikola Jokić,25,DEN,498,500,0.996,99,1,0,72,34.6,26.4,10.8,8.3,1.3,0.7,0.566,0.388,0.868,15.6,0.301
1st,G,Stephen Curry,32,GSW,496,500,0.992,98,2,0,63,34.2,32,5.5,5.8,1.2,0.1,0.482,0.421,0.916,9,0.201
1st,G,Luka Dončić,21,DAL,402,500,0.804,55,41,4,66,34.3,27.7,8,8.6,1,0.5,0.479,0.35,0.73,7.7,0.163
1st,F,Kawhi Leonard,29,LAC,323,500,0.646,28,58,9,52,34.1,24.8,6.5,5.2,1.6,0.4,0.512,0.398,0.885,8.8,0.238
2nd,G,Damian Lillard,30,POR,372,500,0.744,38,60,2,67,35.8,28.8,4.2,7.5,0.9,0.3,0.451,0.391,0.928,10.4,0.209
2nd,C,Joel Embiid,26,PHI,352,500,0.704,28,70,2,51,31.1,28.5,10.6,2.8,1,1.4,0.513,0.377,0.859,8.8,0.266
2nd,G,Chris Paul,35,PHO,311,500,0.622,23,62,10,70,31.4,16.4,4.5,8.9,1.4,0.3,0.499,0.395,0.934,9.2,0.201
2nd,F,Julius Randle,26,NYK,253,500,0.506,16,46,35,71,37.6,24.1,10.2,6,0.9,0.3,0.456,0.411,0.811,7.8,0.14
2nd,F,LeBron James,36,LAL,174,500,0.348,2,44,32,45,33.4,25,7.7,7.8,1.1,0.6,0.513,0.365,0.698,5.6,0.179
3rd,C,Rudy Gobert,28,UTA,148,500,0.296,0,26,70,71,30.8,14.3,13.5,1.3,0.6,2.7,0.675,0,0.623,11.3,0.248
3rd,F,Jimmy Butler,31,MIA,131,500,0.262,7,26,18,52,33.6,21.5,6.9,7.1,2.1,0.3,0.497,0.245,0.863,9.3,0.255
3rd,F,Paul George,30,LAC,89,500,0.178,0,13,50,54,33.7,23.3,6.6,5.2,1.1,0.4,0.467,0.411,0.868,5.3,0.139
3rd,G,Bradley Beal,27,WAS,71,500,0.142,0,7,50,60,35.8,31.3,4.7,4.4,1.2,0.4,0.485,0.349,0.889,5.9,0.132
3rd,G,Kyrie Irving,28,BRK,61,500,0.122,0,7,40,54,34.9,26.9,4.8,6,1.4,0.7,0.506,0.402,0.922,7.4,0.189
ORV,F,Jayson Tatum,22,BOS,69,500,0.138,2,9,32,64,35.8,26.4,7.4,4.3,1.2,0.5,0.459,0.386,0.868,6.5,0.137
ORV,G,Russell Westbrook,32,WAS,44,500,0.088,1,6,21,65,36.4,22.2,11.5,11.7,1.4,0.4,0.439,0.315,0.656,3.7,0.075
ORV,G,James Harden,31,TOT,41,500,0.082,2,3,22,44,36.6,24.6,7.9,10.8,1.2,0.8,0.466,0.362,0.861,7,0.208
ORV,F,Zion Williamson,20,NOP,37,500,0.074,0,3,28,61,33.2,27,7.2,3.7,0.9,0.6,0.611,0.294,0.698,8.7,0.205
ORV,C,Bam Adebayo,23,MIA,32,500,0.064,0,5,17,64,33.5,18.7,9,5.4,1.2,1,0.57,0.25,0.799,8.8,0.197
ORV,G,Donovan Mitchell,24,UTA,26,500,0.052,0,2,20,53,33.4,26.4,4.4,5.2,1,0.3,0.438,0.386,0.845,6.2,0.167
ORV,F,Kevin Durant,32,BRK,23,500,0.046,1,4,6,35,33.1,26.9,7.1,5.6,0.7,1.3,0.537,0.45,0.882,5,0.206
ORV,G,Devin Booker,24,PHO,21,500,0.042,0,3,12,67,33.9,25.6,4.2,4.3,0.8,0.2,0.484,0.34,0.867,4.9,0.104
ORV,C,Domantas Sabonis,24,IND,6,500,0.012,0,1,3,62,36,20.3,12,6.7,1.2,0.5,0.535,0.321,0.732,6.9,0.149
ORV,C,Clint Capela,26,ATL,6,500,0.012,0,0,6,63,30.1,15.2,14.3,0.8,0.7,2,0.594,,0.573,8.2,0.207
ORV,C,Anthony Davis,27,LAL,5,500,0.01,0,1,2,36,32.3,21.8,7.9,3.1,1.3,1.6,0.491,0.26,0.738,3.7,0.152
ORV,G,Ben Simmons*,24,PHI,2,500,0.004,0,0,2,58,32.4,14.3,7.2,6.9,1.6,0.6,0.557,0.3,0.613,6,0.153
ORV,C,Nikola Vučević,30,TOT,2,500,0.004,0,0,2,70,33.5,23.4,11.7,3.8,0.9,0.7,0.477,0.4,0.84,6.3,0.129
ORV,G,Trae Young,22,ATL,2,500,0.004,0,0,2,63,33.7,25.3,3.9,9.4,0.8,0.2,0.438,0.343,0.886,7.2,0.163
ORV,C,Draymond Green,30,GSW,1,500,0.002,0,0,1,63,31.5,7,7.1,8.9,1.7,0.8,0.447,0.27,0.795,4.6,0.112
ORV,G,Zach LaVine,25,CHI,1,500,0.002,0,0,1,58,35.1,27.4,5,4.9,0.8,0.5,0.507,0.419,0.849,5.9,0.138
ORV,F,Khris Middleton,29,MIL,1,500,0.002,0,0,1,68,33.4,20.4,6,5.4,1.1,0.1,0.476,0.414,0.898,6.4,0.135
