,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Tim Duncan,26,SAS,603,610,0.989,120,,,81,39.3,23.3,12.9,3.9,0.7,2.9,0.513,0.273,0.71,16.5,0.248
1st,G,Kobe Bryant,24,LAL,599,610,0.982,118,,,82,41.5,30,6.9,5.9,2.2,0.8,0.451,0.383,0.843,14.9,0.21
1st,F,Kevin Garnett,26,MIN,596,610,0.977,115,,,82,40.5,23,13.4,6,1.4,1.6,0.502,0.282,0.751,15.6,0.225
1st,C,Shaquille O'Neal,30,LAL,593,610,0.972,112,,,67,37.8,27.5,11.1,3.1,0.6,2.4,0.574,,0.622,13.2,0.25
1st,G,Tracy McGrady,23,ORL,578,610,0.948,107,,,75,39.4,32.1,6.5,5.5,1.7,0.8,0.457,0.386,0.793,16.1,0.262
2nd,F,Dirk Nowitzki,24,DAL,360,610,0.59,5,,,80,39,25.1,9.9,3,1.4,1,0.463,0.379,0.881,16.1,0.249
2nd,G,Jason Kidd,29,NJN,355,610,0.582,16,,,80,37.4,18.7,6.3,8.9,2.2,0.3,0.414,0.341,0.841,11.3,0.182
2nd,G,Allen Iverson,27,PHI,350,610,0.574,8,,,82,42.5,27.6,4.2,5.5,2.7,0.2,0.414,0.277,0.774,9.2,0.127
2nd,F,Chris Webber,29,SAC,310,610,0.508,1,,,67,39.1,23,10.5,5.4,1.6,1.3,0.461,0.238,0.607,6.9,0.127
2nd,C,Ben Wallace,28,DET,307,610,0.503,5,,,73,39.4,6.9,15.4,1.6,1.4,3.2,0.481,0.167,0.45,10.6,0.176
3rd,C,Jermaine O'Neal,24,IND,165,610,0.27,2,,,77,37.2,20.8,10.3,2,0.9,2.3,0.484,0.333,0.731,10.5,0.177
3rd,G,Stephon Marbury,25,PHO,141,610,0.231,1,,,81,40,22.3,3.2,8.1,1.3,0.2,0.439,0.301,0.803,9.6,0.142
3rd,F,Paul Pierce,25,BOS,91,610,0.149,0,,,79,39.2,25.9,7.3,4.4,1.8,0.8,0.416,0.302,0.802,10.1,0.157
3rd,G,Steve Nash,28,DAL,85,610,0.139,0,,,82,33.1,17.7,2.9,7.3,1,0.1,0.465,0.413,0.909,11.6,0.206
3rd,F,Jamal Mashburn,30,NOH,63,610,0.103,0,,,82,40.5,21.6,6.1,5.6,1,0.2,0.422,0.389,0.848,9,0.13
ORV,C,Yao Ming,22,HOU,55,610,0.09,0,,,82,29,13.5,8.2,1.7,0.4,1.8,0.498,0.5,0.811,8.7,0.176
ORV,F,Karl Malone,39,UTA,33,610,0.054,0,,,81,36.2,20.6,7.8,4.7,1.7,0.4,0.462,0.214,0.763,11.1,0.182
ORV,F,Shawn Marion,24,PHO,28,610,0.046,0,,,81,41.6,21.2,9.5,2.4,2.3,1.2,0.452,0.387,0.851,13,0.186
ORV,C,Zydrunas Ilgauskas,27,CLE,25,610,0.041,0,,,81,30,17.2,7.5,1.6,0.7,1.9,0.441,0,0.781,5,0.099
ORV,C,Vlade Divac,34,SAC,23,610,0.038,0,,,80,29.8,9.9,7.2,3.4,1,1.3,0.466,0.24,0.713,7,0.141
ORV,G,Steve Francis,25,HOU,18,610,0.03,0,,,81,41,21,6.2,6.2,1.7,0.5,0.435,0.354,0.8,11.1,0.16
ORV,G,Ray Allen,27,TOT,15,610,0.025,0,,,76,37.9,22.5,5,4.4,1.4,0.2,0.439,0.377,0.916,9.1,0.152
ORV,G,Gary Payton,34,TOT,14,610,0.023,0,,,80,40.1,20.4,4.2,8.3,1.7,0.3,0.454,0.297,0.71,9.1,0.136
ORV,F,Rasheed Wallace,28,POR,14,610,0.023,0,,,74,36.3,18.1,7.4,2.1,0.9,1,0.471,0.358,0.735,8.5,0.151
