,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Larry Bird,29,BOS,156,156,1,78,0,,82,38,25.8,9.8,6.8,2,0.6,0.496,0.423,0.896,15.8,0.244
1st,G,Magic Johnson,26,LAL,148,156,0.949,72,4,,72,35.8,18.8,5.9,12.6,1.6,0.2,0.526,0.233,0.871,12.1,0.226
1st,G,Isiah Thomas,24,DET,130,156,0.833,56,18,,77,36.2,20.9,3.6,10.8,2.2,0.3,0.488,0.31,0.79,8.8,0.151
1st,F,Dominique Wilkins,26,ATL,113,156,0.724,41,31,,78,39.1,30.3,7.9,2.6,1.8,0.6,0.468,0.186,0.818,10.8,0.17
1st,C,Kareem Abdul-Jabbar,38,LAL,101,156,0.647,39,23,,79,33.3,23.4,6.1,3.5,0.8,1.6,0.564,0,0.765,10.8,0.197
2nd,C,Hakeem Olajuwon,23,HOU,100,156,0.641,31,38,,68,36.3,23.5,11.5,2,2,3.4,0.526,,0.645,9.5,0.186
2nd,F,Charles Barkley,22,PHI,71,156,0.455,19,33,,80,36.9,20,12.8,3.9,2.2,1.6,0.572,0.227,0.685,10.8,0.176
2nd,G,Sidney Moncrief,28,MIL,66,156,0.423,12,42,,73,35.2,20.2,4.6,4.9,1.4,0.2,0.489,0.32,0.859,11.7,0.219
2nd,F,Alex English,32,DEN,48,156,0.308,7,34,,81,37.3,29.8,5,4,0.9,0.4,0.504,0.2,0.862,9.8,0.156
2nd,G,Alvin Robertson,23,SAS,40,156,0.256,7,26,,82,35.1,17,6.3,5.5,3.7,0.5,0.514,0.276,0.795,8.6,0.143
ORV,C,Moses Malone,30,PHI,32,156,0.205,8,16,,74,36.6,23.8,11.8,1.2,0.9,1,0.458,0,0.787,8.9,0.157
ORV,G,Dennis Johnson,31,BOS,29,156,0.186,7,15,,78,35,15.6,3.4,5.8,1.4,0.4,0.455,0.143,0.818,6.7,0.118
ORV,G,Maurice Cheeks,29,PHI,28,156,0.179,2,24,,82,39.9,15.4,2.9,9.2,2.5,0.3,0.537,0.235,0.842,10.6,0.155
ORV,F,Kevin McHale,28,BOS,26,156,0.167,1,24,,68,35.3,21.3,8.1,2.7,0.4,2,0.574,,0.776,11,0.22
ORV,F,James Worthy,24,LAL,24,156,0.154,5,14,,75,32.7,20,5.2,2.7,1.1,1,0.579,0,0.771,9.5,0.185
ORV,F,Ralph Sampson,25,HOU,16,156,0.103,3,10,,79,36.3,18.9,11.1,3.6,1.3,1.6,0.488,0.133,0.641,5,0.084
ORV,G,Rolando Blackman,26,DAL,16,156,0.103,0,16,,82,34,21.5,3.5,3.3,1,0.3,0.514,0.138,0.836,7,0.121
ORV,F,Buck Williams,25,NJN,6,156,0.038,1,4,,82,37.4,15.9,12,1.6,0.9,1.2,0.523,0,0.676,6.8,0.106
ORV,F,Terry Cummings,24,MIL,5,156,0.032,0,5,,82,32.5,19.8,8.5,2.4,1.5,0.6,0.474,0,0.656,7.4,0.133
ORV,F,Adrian Dantley,30,UTA,4,156,0.026,1,2,,76,36.1,29.8,5.2,3.5,0.8,0.1,0.563,0.091,0.791,12.8,0.223
ORV,G,Jeff Malone,24,WSB,4,156,0.026,0,4,,80,37.4,22.4,3.6,2.4,0.9,0.2,0.483,0.176,0.868,6.1,0.098
ORV,G,Walter Davis,31,PHO,2,156,0.013,0,2,,70,32,21.8,2.9,5.2,1.4,0,0.485,0.237,0.843,4.2,0.091
ORV,G,Clyde Drexler,23,POR,1,156,0.006,0,1,,75,34.3,18.5,5.6,8,2.6,0.6,0.475,0.2,0.769,6.7,0.124
ORV,F,Marques Johnson,29,LAC,1,156,0.006,0,1,,75,34.7,20.3,5.5,3.8,1.4,0.7,0.51,0.067,0.76,5.9,0.108
ORV,C,Robert Parish,32,BOS,1,156,0.006,0,1,,81,31.7,16.1,9.5,1.8,0.8,1.4,0.549,,0.731,9.2,0.171
ORV,G,Paul Pressey,27,MIL,1,156,0.006,0,1,,80,33.8,14.3,5,7.8,2.1,0.9,0.488,0.182,0.806,9.8,0.174
ORV,G,Reggie Theus,28,SAC,1,156,0.006,0,1,,82,35.6,18.3,3.7,9.6,1.4,0.2,0.48,0.171,0.827,6.4,0.105
