,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Kevin Garnett,27,MIN,615,615,1,123,0,0,82,39.4,24.2,13.9,5,1.5,2.2,0.499,0.256,0.791,18.3,0.272
1st,F,Tim Duncan,27,SAS,597,615,0.971,114,,,69,36.6,22.3,12.4,3.1,0.9,2.7,0.501,0.167,0.599,13.1,0.249
1st,G,Kobe Bryant,25,LAL,582,615,0.946,111,,,65,37.6,24,5.5,5.1,1.7,0.4,0.438,0.327,0.852,10.7,0.21
1st,C,Shaquille O'Neal,31,LAL,556,615,0.904,95,,,67,36.8,21.5,11.5,2.9,0.5,2.5,0.584,,0.49,9.9,0.192
1st,G,Jason Kidd,30,NJN,421,615,0.685,55,,,67,36.6,15.5,6.4,9.2,1.8,0.2,0.384,0.321,0.827,7.2,0.141
2nd,C,Jermaine O'Neal,25,IND,423,615,0.688,31,,,78,35.7,20.1,10,2.1,0.8,2.6,0.434,0.111,0.757,9,0.155
2nd,F,Peja Stojaković,26,SAC,378,615,0.615,14,,,81,40.3,24.2,6.3,2.1,1.3,0.2,0.48,0.433,0.927,13.5,0.198
2nd,G,Sam Cassell,34,MIN,322,615,0.524,34,,,81,35,19.8,3.3,7.3,1.3,0.2,0.488,0.398,0.873,12.1,0.205
2nd,G,Tracy McGrady,24,ORL,274,615,0.446,16,,,67,39.9,28,6,5.5,1.4,0.6,0.417,0.339,0.796,8.4,0.151
2nd,C,Ben Wallace,29,DET,195,615,0.317,2,,,81,37.7,9.5,12.4,1.7,1.8,3,0.421,0.125,0.49,10.2,0.16
3rd,C,Yao Ming,23,HOU,189,615,0.307,0,,,82,32.8,17.5,9,1.5,0.3,1.9,0.522,0,0.809,11.4,0.202
3rd,G,Baron Davis,24,NOH,176,615,0.286,10,,,67,40.1,22.9,4.3,7.5,2.4,0.4,0.395,0.321,0.673,7.5,0.133
3rd,F,Dirk Nowitzki,25,DAL,145,615,0.236,0,,,77,37.9,21.8,8.7,2.7,1.2,1.4,0.462,0.341,0.877,11.5,0.19
3rd,G,Michael Redd,24,MIL,95,615,0.154,4,,,82,36.8,21.7,5,2.3,1,0.1,0.44,0.35,0.868,9.7,0.154
3rd,F,Metta World Peace,24,IND,90,615,0.146,0,,,73,37.2,18.3,5.3,3.7,2.1,0.7,0.421,0.31,0.733,8,0.141
ORV,G,Steve Nash,29,DAL,75,615,0.122,3,,,78,33.5,14.5,3,8.8,0.9,0.1,0.47,0.405,0.916,8.8,0.162
ORV,F,Paul Pierce,26,BOS,68,615,0.111,0,,,80,38.7,23,6.5,5.1,1.6,0.7,0.402,0.299,0.819,7.1,0.109
ORV,F,LeBron James,19,CLE,48,615,0.078,1,,,79,39.5,20.9,5.5,5.9,1.6,0.7,0.417,0.29,0.754,5.1,0.078
ORV,F,Andrei Kirilenko,22,UTA,48,615,0.078,0,,,78,37.1,16.5,8.1,3.1,1.9,2.8,0.443,0.338,0.79,11.6,0.192
ORV,G,Stephon Marbury,26,TOT,44,615,0.072,0,,,81,40.2,20.2,3.2,8.9,1.6,0.1,0.431,0.318,0.817,9.1,0.134
ORV,F,Lamar Odom,24,MIA,20,615,0.033,0,,,80,37.5,17.1,9.7,4.1,1.1,0.9,0.43,0.298,0.742,8.4,0.134
ORV,G,Mike Bibby,25,SAC,18,615,0.029,1,,,82,36.3,18.4,3.4,5.4,1.4,0.2,0.45,0.392,0.815,9.3,0.151
ORV,F,Zach Randolph,22,POR,18,615,0.029,0,,,81,37.9,20.1,10.5,2,0.8,0.5,0.485,0.2,0.761,7.1,0.111
ORV,F,Vince Carter,27,TOR,16,615,0.026,0,,,73,38.2,22.5,4.8,4.8,1.2,0.9,0.417,0.383,0.806,6,0.103
ORV,F,Carmelo Anthony,19,DEN,14,615,0.023,0,,,82,36.5,21,6.1,2.8,1.2,0.5,0.426,0.322,0.777,6.1,0.098
ORV,G,Chauncey Billups,27,DET,12,615,0.02,0,,,78,35.4,16.9,3.5,5.7,1.1,0.1,0.394,0.388,0.878,11.3,0.198
ORV,C,Brad Miller,27,SAC,12,615,0.02,0,,,72,36.4,14.1,10.3,4.3,0.9,1.2,0.51,0.316,0.778,10,0.184
ORV,C,Jamaal Magloire,25,NOH,9,615,0.015,0,,,82,33.9,13.6,10.3,1,0.5,1.2,0.473,0,0.751,7.6,0.131
ORV,C,Pau Gasol,23,MEM,8,615,0.013,0,,,78,31.5,17.7,7.7,2.5,0.6,1.7,0.482,0.267,0.714,8.1,0.159
ORV,G,Allen Iverson,28,PHI,8,615,0.013,0,,,48,42.5,26.4,3.7,6.8,2.4,0.1,0.387,0.286,0.745,2.8,0.066
ORV,G,Ray Allen,28,SEA,6,615,0.01,0,,,56,38.4,23,5.1,4.8,1.3,0.2,0.44,0.392,0.904,6.9,0.153
ORV,F,Elton Brand,24,LAC,5,615,0.008,0,,,69,38.7,20,10.3,3.3,0.9,2.2,0.493,0,0.773,9.7,0.174
ORV,C,Erick Dampier,28,GSW,4,615,0.007,0,,,74,32.5,12.3,12,0.8,0.4,1.9,0.535,0,0.654,8.9,0.178
ORV,G,Michael Finley,30,DAL,4,615,0.007,0,,,72,38.6,18.6,4.5,2.9,1.2,0.5,0.443,0.405,0.85,7.6,0.131
ORV,G,Manu Ginóbili,26,SAS,4,615,0.007,0,,,77,29.4,12.8,4.5,3.8,1.8,0.2,0.418,0.359,0.802,9.1,0.194
ORV,C,Zydrunas Ilgauskas,28,CLE,4,615,0.007,0,,,81,31.3,15.3,8.1,1.3,0.5,2.5,0.483,0.286,0.746,7.8,0.147
ORV,F,Amar'e Stoudemire,21,PHO,4,615,0.007,0,,,55,36.8,20.6,9,1.4,1.2,1.6,0.475,0.2,0.713,4.4,0.105
ORV,G,Jason Williams,28,MEM,4,615,0.007,0,,,72,29.4,10.9,2,6.8,1.3,0.1,0.407,0.33,0.837,5.4,0.122
ORV,G,Richard Hamilton,25,DET,3,615,0.005,0,,,78,35.5,17.6,3.6,4,1.3,0.2,0.455,0.265,0.868,8.1,0.141
ORV,F,Shawn Marion,25,PHO,2,615,0.003,0,0,2,79,40.7,19,9.3,2.7,2.1,1.3,0.44,0.34,0.851,9.1,0.135
ORV,G,Tony Parker,21,SAS,2,615,0.003,0,0,2,75,34.4,14.7,3.2,5.5,0.8,0.1,0.447,0.312,0.702,7.5,0.14
ORV,F,Rasheed Wallace,29,TOT,2,615,0.003,0,0,2,68,35.1,16,6.8,2.3,0.9,1.8,0.436,0.331,0.736,6.2,0.125
