,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Karl Malone,25,UTA,425,425,1,85,0,0,80,39.1,29.1,10.7,2.7,1.8,0.9,0.519,0.313,0.766,15.2,0.233
1st,G,Magic Johnson,29,LAL,423,425,0.995,84,,,77,37.5,22.5,7.9,12.8,1.8,0.3,0.509,0.314,0.911,16.1,0.267
1st,G,Michael Jordan,25,CHI,423,425,0.995,84,,,81,40.2,32.5,8,8,2.9,0.8,0.538,0.276,0.85,19.8,0.292
1st,F,Charles Barkley,25,PHI,412,425,0.969,80,,,79,39.1,25.8,12.5,4.1,1.6,0.8,0.579,0.216,0.753,16.1,0.25
1st,C,Hakeem Olajuwon,26,HOU,379,425,0.892,66,,,82,36.9,24.8,13.5,1.8,2.6,3.4,0.508,0,0.696,12.4,0.197
2nd,C,Patrick Ewing,26,NYK,267,425,0.628,17,,,80,36.2,22.7,9.3,2.4,1.5,3.5,0.567,0,0.746,10.9,0.181
2nd,G,John Stockton,26,UTA,224,425,0.527,1,,,82,38.7,17.1,3,13.6,3.2,0.2,0.538,0.242,0.863,15.6,0.236
2nd,F,Tom Chambers,29,PHO,174,425,0.409,1,,,81,37.1,25.7,8.4,2.9,1.1,0.7,0.471,0.326,0.851,9.2,0.146
2nd,G,Chris Mullin,25,GSW,137,425,0.322,0,,,82,37.7,26.5,5.9,5.1,2.1,0.5,0.509,0.23,0.892,10.6,0.165
2nd,G,Kevin Johnson,22,PHO,131,425,0.308,0,,,81,39.2,20.4,4.2,12.2,1.7,0.3,0.505,0.091,0.882,12.2,0.184
3rd,F,Dominique Wilkins,29,ATL,116,425,0.273,2,,,80,37.5,26.2,6.9,2.6,1.5,0.7,0.464,0.276,0.844,10.4,0.166
3rd,G,Dale Ellis,28,SEA,83,425,0.195,1,,,82,38.9,27.5,4.2,2,1.3,0.3,0.501,0.478,0.816,10.8,0.163
3rd,G,Mark Price,24,CLE,75,425,0.176,0,,,75,36.4,18.9,3,8.4,1.5,0.1,0.526,0.441,0.901,11.3,0.199
3rd,F,Terry Cummings,27,MIL,70,425,0.165,1,,,80,35.3,22.9,8.1,2.5,1.3,0.9,0.467,0.467,0.787,7.7,0.131
3rd,C,Robert Parish,35,BOS,70,425,0.165,1,,,80,35.5,18.6,12.5,2.2,1,1.5,0.57,,0.719,10.5,0.177
ORV,G,Clyde Drexler,26,POR,65,425,0.153,0,,,78,39.3,27.2,7.9,5.8,2.7,0.7,0.496,0.26,0.799,12.6,0.197
ORV,F,Alex English,35,DEN,58,425,0.136,0,,,82,36.5,26.5,4,4.7,0.8,0.1,0.491,0.25,0.858,6.8,0.11
ORV,G,Isiah Thomas,27,DET,57,425,0.134,0,,,80,36.6,18.2,3.4,8.3,1.7,0.3,0.464,0.273,0.818,7,0.115
ORV,F,Larry Nance,29,CLE,45,425,0.106,0,,,73,34.6,17.2,8,2.2,0.8,2.8,0.539,0,0.799,10.3,0.197
