,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,LeBron James,27,MIA,596,600,0.993,118,2,0,62,37.5,27.1,7.9,6.2,1.9,0.8,0.531,0.362,0.771,14.5,0.298
1st,F,Kevin Durant,23,OKC,591,600,0.985,117,,,66,38.6,28,8,3.5,1.3,1.2,0.496,0.387,0.86,12.2,0.23
1st,G,Kobe Bryant,33,LAL,568,600,0.947,104,,,58,38.5,27.9,5.4,4.6,1.2,0.3,0.43,0.303,0.845,6.2,0.132
1st,G,Chris Paul,26,LAC,484,600,0.807,74,,,60,36.4,19.8,3.6,9.1,2.5,0.1,0.478,0.371,0.861,12.7,0.278
1st,C,Dwight Howard,26,ORL,476,600,0.793,75,,,54,38.3,20.6,14.5,1.9,1.5,2.1,0.573,0,0.491,7.7,0.179
2nd,C,Andrew Bynum,24,LAL,400,600,0.667,33,,,60,35.2,18.7,11.8,1.4,0.5,1.9,0.558,0.2,0.692,8,0.183
2nd,G,Tony Parker,29,SAS,367,600,0.612,41,,,60,32.1,18.3,2.9,7.7,1,0.1,0.48,0.23,0.799,7.1,0.177
2nd,F,Kevin Love,23,MIN,365,600,0.608,16,,,55,39,26,13.3,2,0.9,0.5,0.448,0.372,0.824,10,0.223
2nd,G,Russell Westbrook,23,OKC,239,600,0.398,5,,,66,35.3,23.6,4.6,5.5,1.7,0.3,0.457,0.316,0.823,7.9,0.163
2nd,F,Blake Griffin,22,LAC,170,600,0.283,0,,,66,36.2,20.7,10.9,3.2,0.8,0.7,0.549,0.125,0.521,9.2,0.185
3rd,G,Dwyane Wade,30,MIA,235,600,0.392,1,,,49,33.2,22.1,4.8,4.6,1.7,1.3,0.497,0.268,0.791,7.7,0.227
3rd,F,Carmelo Anthony,27,NYK,154,600,0.257,1,,,55,34.1,22.6,6.3,3.6,1.1,0.4,0.43,0.335,0.804,6.2,0.16
3rd,G,Rajon Rondo,25,BOS,142,600,0.237,4,,,53,36.9,11.9,4.8,11.7,1.8,0.1,0.448,0.238,0.597,4.9,0.121
