,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,C,Shaquille O'Neal,29,LAL,626,630,0.994,125,0,1,67,36.1,27.2,10.7,3,0.6,2,0.579,0,0.555,13.2,0.262
1st,F,Tim Duncan,25,SAS,626,630,0.994,124,,,82,40.6,25.5,12.7,3.7,0.7,2.5,0.508,0.1,0.799,17.8,0.257
1st,G,Jason Kidd,28,NJN,601,630,0.954,115,,,82,37.3,14.7,7.3,9.9,2.1,0.2,0.391,0.321,0.814,8.9,0.14
1st,F,Tracy McGrady,22,ORL,513,630,0.814,80,,,76,38.3,25.6,7.9,5.3,1.6,1,0.451,0.364,0.748,11.5,0.189
1st,G,Kobe Bryant,23,LAL,507,630,0.805,72,,,80,38.3,25.2,5.5,5.5,1.5,0.4,0.469,0.25,0.829,12.7,0.199
2nd,F,Kevin Garnett,25,MIN,391,630,0.621,31,,,81,39.2,21.2,12.1,5.2,1.2,1.6,0.47,0.319,0.801,12.8,0.194
2nd,F,Dirk Nowitzki,23,DAL,358,630,0.568,22,,,76,38,23.4,9.9,2.4,1.1,1,0.477,0.397,0.853,13.4,0.222
2nd,F,Chris Webber,28,SAC,339,630,0.538,21,,,54,38.4,24.5,10.1,4.8,1.7,1.4,0.495,0.263,0.749,8.6,0.2
2nd,G,Gary Payton,33,SEA,284,630,0.451,11,,,82,40.3,22.1,4.8,9,1.6,0.3,0.467,0.314,0.797,12.6,0.183
2nd,G,Allen Iverson,26,PHI,272,630,0.432,12,,,60,43.7,31.4,4.5,5.5,2.8,0.2,0.398,0.291,0.812,6.9,0.126
3rd,F,Paul Pierce,24,BOS,230,630,0.365,9,,,82,40.3,26.1,6.9,3.2,1.9,1,0.442,0.404,0.809,12.9,0.187
3rd,C,Ben Wallace,27,DET,195,630,0.31,3,,,80,36.5,7.6,13,1.4,1.7,3.5,0.531,0,0.423,11.6,0.19
3rd,C,Dikembe Mutombo,35,PHI,105,630,0.167,0,,,80,36.3,11.5,10.8,1,0.4,2.4,0.501,,0.764,9.6,0.158
3rd,G,Steve Nash,27,DAL,96,630,0.152,1,,,82,34.6,17.9,3.1,7.7,0.6,0,0.483,0.455,0.887,9.9,0.167
3rd,C,Jermaine O'Neal,23,IND,78,630,0.124,0,,,72,37.6,19,10.5,1.6,0.6,2.3,0.479,0.071,0.688,6.4,0.113
ORV,F,Peja Stojaković,24,SAC,55,630,0.087,0,,,71,37.3,21.2,5.3,2.5,1.1,0.2,0.484,0.416,0.876,9.9,0.179
ORV,C,Vlade Divac,33,SAC,51,630,0.081,0,,,80,30.3,11.1,8.4,3.7,1,1.2,0.472,0.231,0.615,7.3,0.145
ORV,G,Jerry Stackhouse,27,DET,46,630,0.073,1,,,76,35.3,21.4,4.1,5.3,1,0.5,0.397,0.287,0.858,5.8,0.104
ORV,F,Karl Malone,38,UTA,41,630,0.065,1,,,80,38,22.4,8.6,4.3,1.9,0.7,0.454,0.36,0.797,9.8,0.155
ORV,G,Andre Miller,25,CLE,32,630,0.051,0,,,81,37.3,16.5,4.7,10.9,1.6,0.4,0.454,0.253,0.817,10.3,0.163
ORV,F,Elton Brand,22,LAC,29,630,0.046,1,,,80,37.8,18.2,11.6,2.4,1,2,0.527,,0.742,13.6,0.216
ORV,G,Michael Jordan,38,WAS,29,630,0.046,0,,,60,34.9,22.9,5.7,5.2,1.4,0.4,0.416,0.189,0.79,3.3,0.075
ORV,F,Antoine Walker,25,BOS,28,630,0.044,0,,,81,42,22.1,8.8,5,1.5,0.5,0.394,0.344,0.741,6.7,0.094
ORV,C,Alonzo Mourning,31,MIA,25,630,0.04,0,,,75,32.7,15.7,8.4,1.2,0.4,2.5,0.516,0.333,0.657,7.4,0.145
ORV,F,Baron Davis,22,CHH,24,630,0.038,0,,,82,40.5,18.1,4.3,8.5,2.1,0.6,0.417,0.356,0.58,8.2,0.118
ORV,F,Rasheed Wallace,27,POR,15,630,0.024,0,,,79,37.5,19.3,8.2,1.9,1.3,1.3,0.469,0.36,0.734,9.7,0.158
ORV,G,Ray Allen,26,MIL,13,630,0.021,0,,,69,36.6,21.8,4.5,3.9,1.3,0.3,0.462,0.434,0.873,8.9,0.169
ORV,G,John Stockton,39,UTA,11,630,0.017,1,,,82,31.3,13.4,3.2,8.2,1.9,0.3,0.517,0.321,0.857,10.7,0.2
ORV,F,Shareef Abdur-Rahim,25,ATL,5,630,0.008,0,,,77,38.7,21.2,9,3.1,1.3,1.1,0.461,0.3,0.801,7.2,0.116
ORV,G,Michael Finley,28,DAL,5,630,0.008,0,,,69,39.9,20.6,5.2,3.3,0.9,0.4,0.463,0.339,0.837,6.3,0.11
ORV,G,Steve Francis,24,HOU,5,630,0.008,0,,,57,41.1,21.6,7,6.4,1.2,0.4,0.417,0.324,0.773,4.4,0.091
ORV,G,Mike Bibby,23,SAC,4,630,0.006,0,,,80,33.2,13.7,2.8,5,1.1,0.2,0.453,0.37,0.803,6.3,0.113
ORV,F,Pau Gasol,21,MEM,4,630,0.006,0,,,82,36.7,17.6,8.9,2.7,0.5,2.1,0.518,0.2,0.709,7.6,0.121
ORV,C,Raef LaFrentz,25,TOT,4,630,0.006,0,,,78,31.5,13.5,7.4,1.1,0.7,2.7,0.458,0.388,0.695,6.4,0.125
ORV,F,Shawn Marion,23,PHO,4,630,0.006,0,,,81,38.4,19.1,9.9,2,1.8,1.1,0.469,0.393,0.845,9.8,0.151
ORV,C,David Robinson,36,SAS,4,630,0.006,0,,,78,29.5,12.2,8.3,1.2,1.1,1.8,0.507,,0.681,10.1,0.211
ORV,F,Vince Carter,25,TOR,3,630,0.005,0,,,60,39.8,24.7,5.2,4,1.6,0.7,0.428,0.387,0.798,7,0.14
ORV,C,Antonio Davis,33,TOR,3,630,0.005,0,,,77,38.7,14.5,9.6,2,0.7,1.1,0.426,0,0.818,6.5,0.105
ORV,F,Clifford Robinson,35,DET,3,630,0.005,0,,,80,35.7,14.6,4.8,2.5,1.1,1.2,0.425,0.378,0.694,4.3,0.073
