,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Giannis Antetokounmpo,24,MIL,500,500,1,100,0,0,72,32.8,27.7,12.5,5.9,1.3,1.5,0.578,0.256,0.729,14.4,0.292
1st,G,James Harden,29,HOU,500,500,1,100,0,0,78,36.8,36.1,6.6,7.5,2,0.7,0.442,0.368,0.879,15.2,0.254
1st,G,Stephen Curry,30,GSW,482,500,0.964,91,9,0,69,33.8,27.3,5.3,5.2,1.3,0.4,0.472,0.437,0.916,9.7,0.199
1st,F,Paul George,28,OKC,433,500,0.866,71,25,3,77,36.9,28,8.2,4.1,2.2,0.4,0.438,0.386,0.839,11.9,0.201
1st,C,Nikola Jokić,23,DEN,411,500,0.822,59,38,2,80,31.3,20.1,10.8,7.3,1.4,0.7,0.511,0.307,0.821,11.8,0.226
2nd,C,Joel Embiid,24,PHI,375,500,0.75,40,57,4,64,33.7,27.5,13.6,3.7,0.7,1.9,0.484,0.3,0.804,8.7,0.194
2nd,F,Kevin Durant,30,GSW,358,500,0.716,29,71,0,78,34.6,26,6.4,5.9,0.7,1.1,0.521,0.353,0.885,11.5,0.204
2nd,G,Damian Lillard,28,POR,306,500,0.612,8,87,5,80,35.5,25.8,4.6,6.9,1.1,0.4,0.444,0.369,0.912,12.1,0.205
2nd,F,Kawhi Leonard,27,TOR,242,500,0.484,0,73,23,60,34,26.6,7.3,3.3,1.8,0.4,0.496,0.371,0.854,9.5,0.224
2nd,G,Kyrie Irving,26,BOS,195,500,0.39,0,52,39,67,33,23.8,5,6.9,1.5,0.5,0.487,0.401,0.873,9,0.195
3rd,G,Russell Westbrook,30,OKC,178,500,0.356,1,43,44,73,36,22.9,11.1,10.7,1.9,0.5,0.428,0.29,0.656,6.8,0.124
3rd,F,Blake Griffin,29,DET,115,500,0.23,0,13,76,75,35,24.5,7.5,5.4,0.7,0.4,0.462,0.362,0.753,8,0.147
3rd,F,LeBron James,34,LAL,111,500,0.222,0,13,72,55,35.2,27.4,8.5,8.3,1.3,0.6,0.51,0.339,0.665,7.2,0.179
3rd,C,Rudy Gobert,26,UTA,89,500,0.178,1,5,69,81,31.8,15.9,12.9,2,0.8,2.3,0.669,,0.636,14.4,0.268
3rd,G,Kemba Walker,28,CHO,51,500,0.102,0,4,39,82,34.9,25.6,4.4,5.9,1.2,0.4,0.434,0.356,0.844,7.4,0.123
ORV,G,Bradley Beal,25,WAS,34,500,0.068,0,1,31,82,36.9,25.6,5,5.5,1.5,0.7,0.475,0.351,0.808,7.6,0.12
ORV,G,Klay Thompson,28,GSW,27,500,0.054,0,3,18,78,34,21.5,3.8,2.4,1.1,0.6,0.467,0.402,0.816,5.3,0.095
ORV,C,Karl-Anthony Towns,23,MIN,20,500,0.04,0,0,20,77,33.1,24.4,12.4,3.4,0.9,1.6,0.518,0.4,0.836,10.4,0.197
ORV,F,LaMarcus Aldridge,33,SAS,17,500,0.034,0,2,11,81,33.2,21.3,9.2,2.4,0.5,1.3,0.519,0.238,0.847,9.3,0.167
ORV,F,Danilo Gallinari,30,LAC,7,500,0.014,0,1,4,68,30.3,19.8,6.1,2.6,0.7,0.3,0.463,0.433,0.904,8.2,0.191
ORV,G,Ben Simmons,22,PHI,7,500,0.014,0,0,7,79,34.2,16.9,8.8,7.7,1.4,0.8,0.563,0,0.6,8.2,0.146
ORV,G,Mike Conley,31,MEM,4,500,0.008,0,0,4,70,33.5,21.1,3.4,6.4,1.3,0.3,0.438,0.364,0.845,8,0.164
ORV,G,Donovan Mitchell,22,UTA,4,500,0.008,0,0,4,77,33.7,23.8,4.1,4.2,1.4,0.4,0.432,0.362,0.806,5,0.092
ORV,F,Pascal Siakam,24,TOR,4,500,0.008,0,0,4,80,31.9,16.9,6.9,3.1,0.9,0.7,0.549,0.369,0.785,9.3,0.175
ORV,C,Nikola Vučević,28,ORL,4,500,0.008,0,0,4,80,31.4,20.8,12,3.8,1,1.1,0.518,0.364,0.789,10.1,0.193
ORV,F,Luka Dončić,19,DAL,3,500,0.006,0,1,0,72,32.2,21.2,7.8,6,1.1,0.3,0.427,0.327,0.713,4.9,0.101
ORV,C,Andre Drummond,25,DET,3,500,0.006,0,1,0,79,33.5,17.3,15.6,1.4,1.7,1.7,0.533,0.132,0.59,10,0.181
ORV,G,Dwyane Wade,37,MIA,3,500,0.006,0,1,0,72,26.2,15,4,4.2,0.8,0.5,0.433,0.33,0.708,2.4,0.061
ORV,G,DeMar DeRozan,29,SAS,3,500,0.006,0,0,3,77,34.9,21.2,6,6.2,1.1,0.5,0.481,0.156,0.83,6.3,0.112
ORV,G,D'Angelo Russell,22,BRK,3,500,0.006,0,0,0,81,30.2,21.1,3.9,7,1.2,0.2,0.434,0.369,0.78,5,0.097
ORV,F,Tobias Harris,26,TOT,2,500,0.004,0,0,2,82,34.7,20,7.9,2.8,0.6,0.5,0.487,0.397,0.866,7.1,0.12
ORV,F,Marvin Bagley III,19,SAC,1,500,0.002,0,0,1,62,25.3,14.9,7.6,1,0.5,1,0.504,0.313,0.691,3.6,0.11
ORV,G,Devin Booker,22,PHO,1,500,0.002,0,0,1,64,35,26.6,4.1,6.8,0.9,0.2,0.467,0.326,0.866,3.5,0.076
ORV,C,Anthony Davis,25,NOP,1,500,0.002,0,0,1,56,33,25.9,12,3.9,1.6,2.4,0.517,0.331,0.794,9.5,0.247
ORV,G,Eric Gordon,30,HOU,1,500,0.002,0,0,1,68,31.7,16.2,2.2,1.9,0.6,0.4,0.409,0.36,0.783,2.6,0.059
ORV,G,Jrue Holiday,28,NOP,1,500,0.002,0,0,1,67,35.9,21.2,5,7.7,1.6,0.8,0.472,0.325,0.768,5.4,0.108
ORV,G,Kyle Lowry,32,TOR,1,500,0.002,0,0,1,65,34,14.2,4.8,8.7,1.4,0.5,0.411,0.347,0.83,6.6,0.144
ORV,F,Domantas Sabonis,22,IND,1,500,0.002,0,0,1,74,24.8,14.1,9.3,2.9,0.6,0.4,0.59,0.529,0.715,7.6,0.197
ORV,C,Myles Turner,22,IND,1,500,0.002,0,0,1,74,28.6,13.3,7.2,1.6,0.8,2.7,0.487,0.388,0.736,6.3,0.144
ORV,G,Lou Williams,32,LAC,1,500,0.002,0,0,1,75,26.6,20,3,5.4,0.8,0.1,0.425,0.361,0.876,5.1,0.123
