,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,LeBron James,28,MIA,595,595,1,119,0,0,76,37.9,26.8,8,7.3,1.7,0.9,0.565,0.406,0.753,19.3,0.322
1st,F,Kevin Durant,24,OKC,555,595,0.933,102,,,81,38.5,28.1,7.9,4.6,1.4,1.3,0.51,0.416,0.905,18.9,0.291
1st,G,Chris Paul,27,LAC,537,595,0.903,97,,,70,33.4,16.9,3.7,9.7,2.4,0.1,0.481,0.328,0.885,13.9,0.287
1st,G,Kobe Bryant,34,LAL,521,595,0.876,91,,,78,38.6,27.3,5.6,6,1.4,0.3,0.463,0.324,0.839,10.9,0.174
1st,C,Tim Duncan,36,SAS,392,595,0.659,45,,,69,30.1,17.8,9.9,2.7,0.7,2.7,0.502,0.286,0.817,8.3,0.191
2nd,F,Carmelo Anthony,28,NYK,397,595,0.667,24,,,67,37,28.7,6.9,2.6,0.8,0.5,0.449,0.379,0.83,9.5,0.184
2nd,G,Russell Westbrook,24,OKC,306,595,0.514,20,,,82,34.9,23.2,5.2,7.4,1.8,0.3,0.438,0.323,0.8,11.6,0.195
2nd,C,Marc Gasol,28,MEM,295,595,0.496,38,,,80,35,14.1,7.8,4,1,1.7,0.494,0.071,0.848,11.5,0.197
2nd,G,Tony Parker,30,SAS,273,595,0.459,16,,,66,32.9,20.3,3,7.6,0.8,0.1,0.522,0.353,0.845,9.3,0.206
2nd,F,Blake Griffin,23,LAC,132,595,0.222,0,,,80,32.5,18,8.3,3.7,1.2,0.6,0.538,0.179,0.66,10.6,0.196
3rd,G,James Harden,23,HOU,253,595,0.425,5,,,78,38.3,25.9,4.9,5.8,1.8,0.5,0.438,0.368,0.851,12.8,0.206
3rd,C,Dwight Howard,27,LAL,203,595,0.341,17,,,76,35.8,17.1,12.4,1.4,1.1,2.4,0.578,0.167,0.492,7.6,0.134
3rd,G,Dwyane Wade,31,MIA,145,595,0.244,3,,,69,34.7,21.2,5,5.1,1.9,0.8,0.521,0.258,0.725,9.6,0.192
3rd,F,David Lee,29,GSW,79,595,0.133,0,,,79,36.8,18.5,11.2,3.5,0.8,0.3,0.519,0,0.797,9.1,0.15
3rd,F,Paul George,22,IND,73,595,0.123,0,,,79,37.6,17.4,7.6,4.1,1.8,0.6,0.419,0.362,0.807,9,0.145
ORV,C,Brook Lopez,24,BRK,132,595,0.222,7,,,74,30.4,19.4,6.9,0.9,0.4,2.1,0.521,0,0.758,9,0.191
ORV,G,Stephen Curry,24,GSW,72,595,0.121,0,,,78,38.2,22.9,4,6.9,1.6,0.2,0.451,0.453,0.9,11.2,0.18
ORV,F,LaMarcus Aldridge,27,POR,62,595,0.104,0,,,74,37.7,21.1,9.1,2.6,0.8,1.2,0.484,0.143,0.81,7.2,0.124
ORV,F,Chris Bosh,28,MIA,59,595,0.099,4,,,74,33.2,16.6,6.8,1.7,0.9,1.4,0.535,0.284,0.798,9,0.175
ORV,C,Joakim Noah,27,CHI,56,595,0.094,3,,,66,36.8,11.9,11.1,4,1.2,2.1,0.481,0,0.751,7.3,0.145
ORV,F,Zach Randolph,31,MEM,45,595,0.076,0,,,76,34.3,15.4,11.2,1.4,0.8,0.4,0.46,0.087,0.75,7.9,0.145
ORV,C,Al Horford,26,ATL,31,595,0.052,2,,,74,37.2,17.4,10.2,3.2,1.1,1.1,0.543,0.5,0.644,8.8,0.153
ORV,F,Paul Pierce,35,BOS,24,595,0.04,0,,,77,33.4,18.6,6.3,4.8,1.1,0.4,0.436,0.38,0.787,7.2,0.135
ORV,C,Al Jefferson,28,UTA,20,595,0.034,1,,,78,33.1,17.8,9.2,2.1,1,1.1,0.494,0.118,0.77,7.7,0.143
ORV,C,Tyson Chandler,30,NYK,19,595,0.032,1,,,66,32.8,10.4,10.7,0.9,0.6,1.1,0.638,,0.694,9.3,0.207
ORV,C,Roy Hibbert,26,IND,9,595,0.015,0,,,79,28.7,11.9,8.3,1.4,0.5,2.6,0.448,0.25,0.741,6.1,0.129
ORV,F,Luol Deng,27,CHI,8,595,0.013,0,,,75,38.7,16.5,6.3,3,1.1,0.4,0.426,0.322,0.816,6.3,0.105
ORV,F,Kevin Garnett,36,BOS,8,595,0.013,0,,,68,29.7,14.8,7.8,2.3,1.1,0.9,0.496,0.125,0.786,5.6,0.133
ORV,G,Ty Lawson,25,DEN,8,595,0.013,0,,,73,34.4,16.7,2.7,6.9,1.5,0.1,0.461,0.366,0.756,7.4,0.141
ORV,F,Josh Smith,27,ATL,7,595,0.012,0,,,76,35.3,17.5,8.4,4.2,1.2,1.8,0.465,0.303,0.517,4.2,0.075
ORV,G,Deron Williams,28,BRK,6,595,0.01,0,,,78,36.4,18.9,3,7.7,1,0.4,0.44,0.378,0.859,10.9,0.184
ORV,F,Pau Gasol,32,LAL,4,595,0.007,0,,,49,33.8,13.7,8.6,4.1,0.5,1.2,0.466,0.286,0.702,3.7,0.107
ORV,F,Serge Ibaka,23,OKC,4,595,0.007,0,,,80,31.1,13.2,7.7,0.5,0.4,3,0.573,0.351,0.749,9.4,0.181
ORV,C,Ömer Aşık,26,HOU,3,595,0.005,0,,,82,30,10.1,11.7,0.9,0.6,1.1,0.541,0,0.562,5.5,0.108
ORV,F,Kenneth Faried,23,DEN,3,595,0.005,0,,,80,28.1,11.5,9.2,1,1,1,0.552,,0.613,7.8,0.167
ORV,G,Raymond Felton,28,NYK,3,595,0.005,0,,,68,34,13.9,2.9,5.5,1.4,0.2,0.427,0.36,0.789,4.2,0.087
ORV,G,Kyrie Irving,20,CLE,3,595,0.005,0,,,59,34.7,22.5,3.7,5.9,1.5,0.4,0.452,0.391,0.855,5.3,0.125
ORV,F,Carlos Boozer,31,CHI,2,595,0.003,0,0,2,79,32.2,16.2,9.8,2.3,0.8,0.4,0.477,0,0.731,5.7,0.108
ORV,G,Mike Conley,25,MEM,2,595,0.003,0,0,2,80,34.5,14.6,2.8,6.1,2.2,0.3,0.44,0.362,0.83,9.9,0.172
ORV,F,David West,32,IND,2,595,0.003,0,0,2,73,33.4,17.1,7.7,2.9,1,0.9,0.498,0.211,0.768,9.1,0.179
ORV,F,Rudy Gay,26,TOT,1,595,0.002,0,0,1,75,35.8,18.2,6.1,2.7,1.5,0.7,0.416,0.323,0.814,4,0.072
ORV,F,J.J. Hickson,24,POR,1,595,0.002,0,0,1,80,29,12.7,10.4,1.1,0.6,0.6,0.562,0,0.679,6.9,0.142
ORV,F,Andre Iguodala,29,DEN,1,595,0.002,0,0,1,80,34.7,13,5.3,5.4,1.7,0.7,0.451,0.317,0.574,5.6,0.097
ORV,F,Dirk Nowitzki,34,DAL,1,595,0.002,0,0,1,53,31.3,17.3,6.8,2.5,0.7,0.7,0.471,0.414,0.86,5,0.145
ORV,F,Nikola Peković,27,MIN,1,595,0.002,0,0,1,62,31.6,16.3,8.8,0.9,0.7,0.8,0.52,,0.744,6.7,0.163
ORV,G,Rajon Rondo,26,BOS,1,595,0.002,0,0,1,38,37.4,13.7,5.6,11.1,1.8,0.2,0.484,0.24,0.645,3.2,0.108
ORV,C,Nikola Vučević,22,ORL,1,595,0.002,0,0,1,77,33.2,13.1,11.9,1.9,0.8,1,0.519,0,0.683,5.7,0.106
