,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1T,G,Shai Gilgeous-Alexander,25,OKC,495,495,1,99,0,0,75,34,30.1,5.5,6.2,2,0.9,0.535,0.353,0.874,14.6,0.275
1T,C,Nikola Jokić,28,DEN,495,495,1,99,0,0,79,34.6,26.4,12.4,9,1.4,0.9,0.583,0.359,0.817,17,0.299
1T,G,Luka Dončić,24,DAL,493,495,0.996,98,1,0,70,37.5,33.9,9.2,9.8,1.4,0.5,0.487,0.382,0.786,12,0.22
1T,F,Giannis Antetokounmpo,29,MIL,473,495,0.956,88,11,0,73,35.2,30.4,11.5,6.5,1.2,1.1,0.611,0.274,0.657,13.2,0.246
1T,F,Jayson Tatum,25,BOS,427,495,0.863,65,34,0,74,35.7,26.9,8.1,4.9,1,0.6,0.471,0.376,0.833,10.4,0.189
2T,G,Jalen Brunson,27,NYK,368,495,0.743,37,61,0,77,35.4,28.7,3.6,6.7,0.9,0.2,0.479,0.401,0.847,11.2,0.198
2T,G,Anthony Edwards,22,MIN,285,495,0.576,3,87,9,79,35.1,25.9,5.4,5.1,1.3,0.5,0.461,0.357,0.836,7.5,0.13
2T,F,Kevin Durant,35,PHO,274,495,0.554,2,85,9,75,37.2,27.1,6.6,5,0.9,1.2,0.523,0.413,0.856,8.3,0.142
2T,F,Kawhi Leonard,32,LAC,242,495,0.489,1,72,21,68,34.3,23.7,6.1,3.6,1.6,0.9,0.525,0.417,0.885,8.9,0.184
2T,C,Anthony Davis,30,LAL,230,495,0.465,1,65,30,76,35.5,24.7,12.6,3.5,1.2,2.3,0.556,0.271,0.816,11.8,0.21
3T,F,LeBron James,39,LAL,164,495,0.331,1,32,63,71,35.3,25.7,7.3,8.3,1.3,0.5,0.54,0.41,0.75,8.5,0.164
3T,G,Stephen Curry,35,GSW,117,495,0.236,0,13,78,74,32.7,26.4,4.5,5.1,0.7,0.4,0.45,0.408,0.923,7.2,0.142
3T,F,Domantas Sabonis,27,SAC,104,495,0.21,1,16,51,82,35.7,19.4,13.7,8.2,0.9,0.6,0.594,0.379,0.704,12.6,0.206
3T,G,Tyrese Haliburton,23,IND,75,495,0.152,0,2,69,69,32.2,20.1,3.9,10.9,1.2,0.7,0.477,0.364,0.855,9,0.195
3T,G,Devin Booker,27,PHO,70,495,0.141,0,7,49,68,36,27.1,4.5,6.9,0.9,0.4,0.492,0.364,0.886,9.2,0.181
ORV,F,Jaylen Brown,27,BOS,50,495,0.101,0,0,50,70,33.5,23,5.5,3.6,1.2,0.5,0.499,0.354,0.703,5.9,0.121
ORV,G,Tyrese Maxey,23,PHI,16,495,0.032,0,1,13,70,37.5,25.9,3.7,6.2,1,0.5,0.45,0.373,0.868,8.1,0.147
ORV,F,Paul George,33,LAC,16,495,0.032,0,0,16,74,33.8,22.6,5.2,3.5,1.5,0.5,0.471,0.413,0.907,7.3,0.14
ORV,C,Rudy Gobert,31,MIN,12,495,0.024,0,1,9,76,34.1,14,12.9,1.3,0.7,2.1,0.661,0,0.638,11.6,0.216
ORV,C,Victor Wembanyama,20,SAS,11,495,0.022,0,2,5,71,29.7,21.4,10.6,3.9,1.2,3.6,0.465,0.325,0.796,3.7,0.085
ORV,F,Zion Williamson,23,NOP,11,495,0.022,0,1,8,70,31.5,22.9,5.8,5,1.1,0.7,0.57,0.333,0.702,7.5,0.164
ORV,F,Paolo Banchero,21,ORL,10,495,0.02,0,2,4,80,35,22.6,6.9,5.4,0.9,0.6,0.455,0.339,0.725,5.3,0.09
ORV,G,De'Aaron Fox,26,SAC,9,495,0.018,0,1,6,74,35.9,26.6,4.6,5.6,2,0.4,0.465,0.369,0.738,6.5,0.117
ORV,C,Bam Adebayo,26,MIA,7,495,0.014,0,1,4,71,34,19.3,10.4,3.9,1.1,0.9,0.521,0.357,0.755,7.2,0.144
ORV,F,DeMar DeRozan,34,CHI,1,495,0.002,0,0,1,79,37.8,24,4.3,5.3,1.1,0.6,0.48,0.333,0.853,9.2,0.147
