,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Karl Malone,35,UTA,580,590,0.983,113,,,49,37.4,23.8,9.4,4.1,1.3,0.6,0.493,0,0.788,9.6,0.252
1st,F,Tim Duncan,22,SAS,576,590,0.976,112,,,50,39.3,21.7,11.4,2.4,0.9,2.5,0.495,0.143,0.69,8.7,0.213
1st,C,Alonzo Mourning,28,MIA,542,590,0.919,95,,,46,38.1,20.1,11,1.6,0.7,3.9,0.511,0,0.652,7.9,0.216
1st,G,Allen Iverson,23,PHI,532,590,0.902,93,,,48,41.5,26.8,4.9,4.6,2.3,0.1,0.412,0.291,0.751,7.2,0.173
1st,G,Jason Kidd,25,PHO,516,590,0.875,86,,,50,41.2,16.9,6.8,10.8,2.3,0.4,0.444,0.366,0.757,8.1,0.188
2nd,G,Gary Payton,30,SEA,440,590,0.746,51,,,50,40.2,21.7,4.9,8.7,2.2,0.2,0.434,0.295,0.721,7.2,0.172
2nd,C,Shaquille O'Neal,26,LAL,382,590,0.647,23,,,49,34.8,26.3,10.7,2.3,0.7,1.7,0.576,0,0.54,9,0.255
2nd,F,Chris Webber,25,SAC,278,590,0.471,3,,,42,40.9,20,13,4.1,1.4,2.1,0.486,0.118,0.454,3.6,0.102
2nd,F,Grant Hill,26,DET,263,590,0.446,4,,,50,37,21.1,7.1,6,1.6,0.5,0.479,0,0.752,7.3,0.189
2nd,G,Tim Hardaway,32,MIA,168,590,0.285,1,,,48,36.9,17.4,3.2,7.3,1.2,0.1,0.4,0.36,0.812,5.4,0.146
3rd,F,Kevin Garnett,22,MIN,132,590,0.224,4,,,47,37.9,20.8,10.4,4.3,1.7,1.8,0.46,0.286,0.704,5.4,0.146
3rd,F,Antonio McDyess,24,DEN,80,590,0.136,0,,,50,38.7,21.2,10.7,1.6,1.5,2.3,0.471,0.111,0.68,4.2,0.105
3rd,G,Kobe Bryant,20,LAL,75,590,0.127,1,,,50,37.9,19.9,5.3,3.8,1.4,1,0.465,0.267,0.839,5.2,0.13
3rd,G,John Stockton,36,UTA,75,590,0.127,1,,,50,28.2,11.1,2.9,7.5,1.6,0.3,0.488,0.32,0.811,6.4,0.217
3rd,C,Hakeem Olajuwon,36,HOU,67,590,0.114,0,,,50,35.7,18.9,9.6,1.8,1.6,2.5,0.514,0.308,0.717,6.5,0.175
ORV,G,Steve Smith,29,ATL,63,590,0.107,0,,,36,36.5,18.7,4.2,3.3,1,0.3,0.402,0.338,0.849,4.4,0.162
ORV,G,Reggie Miller,33,IND,57,590,0.097,1,,,50,35.7,18.4,2.7,2.2,0.7,0.2,0.438,0.385,0.915,6.4,0.172
ORV,G,Stephon Marbury,21,TOT,54,590,0.092,0,,,49,38.7,21.3,2.9,8.9,1.2,0.2,0.428,0.335,0.799,5.3,0.134
ORV,G,Anfernee Hardaway,27,ORL,41,590,0.069,2,,,50,38.9,15.8,5.7,5.3,2.2,0.5,0.42,0.286,0.706,5,0.122
ORV,F,Shareef Abdur-Rahim,22,VAN,36,590,0.061,0,,,50,40.4,23,7.5,3.4,1.4,1.1,0.432,0.306,0.841,4.6,0.108
ORV,C,Dikembe Mutombo,32,ATL,33,590,0.056,0,,,50,36.6,10.8,12.2,1.1,0.3,2.9,0.512,,0.684,7.9,0.206
ORV,F,Shawn Kemp,29,CLE,30,590,0.051,0,,,42,35.1,20.5,9.2,2.4,1.1,1.1,0.482,0.5,0.789,6.3,0.205
ORV,C,David Robinson,33,SAS,22,590,0.037,0,,,49,31.7,15.8,10,2.1,1.4,2.4,0.509,0,0.658,8.4,0.261
ORV,G,Rod Strickland,32,WAS,21,590,0.036,0,,,44,37.1,15.7,4.8,9.9,1.7,0.1,0.416,0.286,0.746,4.1,0.12
ORV,G,Ray Allen,23,MIL,16,590,0.027,0,,,50,34.4,17.1,4.2,3.6,1.1,0.1,0.45,0.356,0.903,5.2,0.146
ORV,G,Michael Finley,25,DAL,16,590,0.027,0,,,50,41,20.2,5.3,4.4,1.3,0.3,0.444,0.331,0.823,5.4,0.126
ORV,F,Charles Barkley,35,HOU,14,590,0.024,0,,,42,36.3,16.1,12.3,4.6,1,0.3,0.478,0.16,0.719,6.8,0.215
ORV,G,Darrell Armstrong,30,ORL,12,590,0.02,0,,,50,30,13.8,3.6,6.7,2.2,0.1,0.441,0.365,0.904,6.4,0.205
ORV,C,Vlade Divac,30,SAC,11,590,0.019,0,,,50,35.2,14.3,10,4.3,0.9,1,0.47,0.256,0.702,5.2,0.142
ORV,G,Vince Carter,22,TOR,10,590,0.017,0,,,50,35.2,18.3,5.7,3,1.1,1.5,0.45,0.288,0.761,5,0.136
ORV,F,Brian Grant,26,POR,10,590,0.017,0,,,48,31.8,11.5,9.8,1.4,0.4,0.7,0.479,,0.814,5.9,0.185
ORV,G,Damon Stoudamire,25,POR,10,590,0.017,0,,,50,33.5,12.6,3.3,6.2,1,0.1,0.396,0.31,0.73,3.6,0.102
ORV,G,Eddie Jones,27,TOT,9,590,0.015,0,,,50,37.6,15.6,3.9,3.7,2.5,1.2,0.437,0.338,0.782,6,0.153
ORV,G,Mark Jackson,33,IND,7,590,0.012,0,,,49,28.2,7.6,3.8,7.9,0.9,0.1,0.419,0.311,0.823,3.8,0.134
ORV,G,Mitch Richmond,33,WAS,7,590,0.012,0,,,50,38.2,19.7,3.4,2.4,1.3,0.2,0.412,0.317,0.857,3.3,0.082
ORV,F,Glenn Robinson,26,MIL,5,590,0.008,0,,,47,33.6,18.4,5.9,2.1,1,0.9,0.459,0.392,0.87,4,0.122
ORV,F,Keith Van Horn,23,NJN,5,590,0.008,0,,,42,37.5,21.8,8.5,1.5,1,1.3,0.428,0.302,0.859,3.7,0.113
ORV,C,Arvydas Sabonis,34,POR,4,590,0.007,0,,,50,27,12.1,7.9,2.4,0.7,1.3,0.485,0.292,0.771,5.8,0.207
ORV,G,Avery Johnson,33,SAS,2,590,0.003,0,0,2,50,33.4,9.7,2.4,7.4,1,0.2,0.473,0.083,0.568,3.9,0.111
ORV,F,Bryon Russell,28,UTA,2,590,0.003,0,0,2,50,35.4,12.4,5.3,1.5,1.5,0.3,0.464,0.354,0.795,5.6,0.151
ORV,F,Rasheed Wallace,24,POR,2,590,0.003,0,0,2,49,28.9,12.8,4.9,1.2,1,1.1,0.508,0.419,0.732,5,0.169
ORV,G,Jason Williams,23,SAC,2,590,0.003,0,0,2,50,36.1,12.8,3.1,6,1.9,0,0.374,0.31,0.752,2.1,0.055
ORV,F,Tom Gugliotta,29,PHO,1,590,0.002,0,0,1,43,36.3,17,8.9,2.8,1.4,0.5,0.483,0.286,0.794,5.4,0.165
ORV,F,Scottie Pippen,33,HOU,1,590,0.002,0,0,1,50,40.2,14.5,6.5,5.9,2,0.7,0.432,0.34,0.721,4.9,0.116
ORV,G,Isaiah Rider,27,POR,1,590,0.002,0,0,1,47,29.5,13.9,4.2,2.2,0.5,0.2,0.412,0.378,0.755,2.5,0.086
ORV,C,Rik Smits,32,IND,1,590,0.002,0,0,1,49,25.9,14.9,5.6,1.1,0.4,1.1,0.49,0,0.818,3.4,0.13
