,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,34,CHI,580,580,1,116,0,0,82,38.8,28.7,5.8,3.5,1.7,0.5,0.465,0.238,0.784,15.8,0.238
1st,F,Karl Malone,34,UTA,580,580,1,116,0,0,81,37.4,27,10.3,3.9,1.2,0.9,0.53,0.333,0.761,16.4,0.259
1st,G,Gary Payton,29,SEA,561,580,0.967,108,,,82,38.4,19.2,4.6,8.3,2.3,0.2,0.453,0.338,0.744,12.5,0.19
1st,C,Shaquille O'Neal,25,LAL,544,580,0.938,103,,,60,36.3,28.3,11.4,2.4,0.7,2.4,0.584,,0.527,10.2,0.224
1st,F,Tim Duncan,21,SAS,370,580,0.638,45,,,82,39.1,21.1,11.9,2.7,0.7,2.5,0.549,0,0.662,12.8,0.192
2nd,G,Tim Hardaway,31,MIA,345,580,0.595,2,,,81,37.4,18.9,3.7,8.3,1.7,0.2,0.431,0.351,0.781,11.7,0.185
2nd,C,David Robinson,32,SAS,332,580,0.572,13,,,73,33.7,21.6,10.6,2.7,0.9,2.6,0.511,0.25,0.735,13.8,0.269
2nd,F,Grant Hill,25,DET,290,580,0.5,22,,,81,40.7,21.1,7.7,6.8,1.8,0.7,0.452,0.143,0.74,10.2,0.149
2nd,F,Vin Baker,26,SEA,269,580,0.464,10,,,82,35.9,19.2,8,1.9,1.1,1,0.542,0.143,0.591,10.4,0.169
2nd,G,Rod Strickland,31,WAS,173,580,0.298,4,,,76,39.7,17.8,5.3,10.5,1.7,0.3,0.434,0.25,0.726,8.1,0.129
3rd,F,Scottie Pippen,32,CHI,201,580,0.347,23,,,44,37.5,19.1,5.2,5.8,1.8,1,0.447,0.318,0.777,6.6,0.193
3rd,F,Glen Rice,30,CHH,179,580,0.309,14,,,82,40.2,22.3,4.3,2.2,0.9,0.3,0.457,0.433,0.849,9.3,0.136
3rd,G,Mitch Richmond,32,SAC,139,580,0.24,0,,,70,36.7,23.2,3.3,4,1.3,0.2,0.445,0.389,0.864,7.9,0.148
3rd,G,Reggie Miller,32,IND,124,580,0.214,0,,,81,34.5,19.5,2.9,2.1,1,0.1,0.477,0.429,0.868,12,0.206
3rd,C,Dikembe Mutombo,31,ATL,80,580,0.138,0,,,82,35.6,13.4,11.4,1,0.4,3.4,0.537,,0.67,10.8,0.177
ORV,G,John Stockton,35,UTA,64,580,0.11,2,,,64,29,12,2.6,8.5,1.4,0.2,0.528,0.429,0.827,8,0.206
ORV,G,Jason Kidd,24,PHO,63,580,0.109,0,,,82,38,11.6,6.2,9.1,2,0.3,0.416,0.313,0.799,8,0.123
ORV,F,Antoine Walker,21,BOS,62,580,0.107,1,,,82,39.9,22.4,10.2,3.3,1.7,0.7,0.423,0.312,0.645,4.7,0.07
ORV,G,Steve Smith,28,ATL,62,580,0.107,0,,,73,39.1,20.1,4.2,4,1,0.4,0.444,0.351,0.855,10.2,0.171
ORV,F,Dennis Rodman,36,CHI,41,580,0.071,0,,,80,35.7,4.7,15,2.9,0.6,0.2,0.431,0.174,0.55,7.8,0.131
ORV,C,Alonzo Mourning,27,MIA,37,580,0.064,0,,,58,33.4,19.2,9.6,0.9,0.7,2.2,0.551,,0.665,7.5,0.185
ORV,F,Kevin Garnett,21,MIN,36,580,0.062,1,,,82,39.3,18.5,9.6,4.2,1.7,1.8,0.491,0.188,0.738,9.6,0.143
ORV,F,Shawn Kemp,28,CLE,19,580,0.033,0,,,80,34.6,18,9.3,2.5,1.4,1.1,0.445,0.25,0.727,6.8,0.118
ORV,G,Michael Finley,24,DAL,17,580,0.029,0,,,82,41.4,21.5,5.3,4.9,1.6,0.4,0.449,0.357,0.784,7.5,0.106
ORV,C,Hakeem Olajuwon,35,HOU,16,580,0.028,0,,,47,34.7,16.4,9.8,3,1.8,2,0.483,0,0.755,4.5,0.131
ORV,G,Eddie Jones,26,LAL,15,580,0.026,0,,,80,36.4,16.9,3.8,3.1,2,0.7,0.484,0.389,0.765,10.1,0.166
ORV,C,Jayson Williams,29,NJN,13,580,0.022,0,,,65,36,12.9,13.6,1,0.7,0.8,0.498,0,0.666,8.4,0.172
ORV,G,Allen Iverson,22,PHI,11,580,0.019,0,,,80,39.4,22,3.7,6.2,2.2,0.3,0.461,0.298,0.729,9,0.138
ORV,C,Rik Smits,31,IND,11,580,0.019,0,,,73,28.6,16.7,6.9,1.4,0.5,1.2,0.495,0,0.783,6.1,0.141
ORV,F,Shareef Abdur-Rahim,21,VAN,10,580,0.017,0,,,82,36,22.3,7.1,2.6,1.1,0.9,0.485,0.412,0.784,6.9,0.113
ORV,G,Stephon Marbury,20,MIN,10,580,0.017,0,,,82,38,17.7,2.8,8.6,1.3,0.1,0.415,0.313,0.731,5.3,0.082
ORV,C,Arvydas Sabonis,33,POR,10,580,0.017,0,,,73,32,16,10,3,0.9,1.1,0.493,0.261,0.798,9.7,0.2
ORV,F,Keith Van Horn,22,NJN,8,580,0.014,0,,,62,37.5,19.7,6.6,1.7,1,0.4,0.426,0.308,0.846,4.8,0.098
ORV,F,Chris Webber,24,WAS,8,580,0.014,0,,,71,39.6,21.9,9.5,3.8,1.6,1.7,0.482,0.317,0.589,8.3,0.142
ORV,G,Allan Houston,26,NYK,6,580,0.01,0,,,82,34.7,18.4,3.3,2.6,0.8,0.3,0.447,0.385,0.851,6.1,0.102
ORV,F,Detlef Schrempf,35,SEA,5,580,0.009,0,,,78,35.2,15.8,7.1,4.4,0.8,0.2,0.487,0.415,0.844,10.4,0.182
ORV,G,Damon Stoudamire,24,TOT,5,580,0.009,0,,,71,40,17.3,4.2,8.2,1.6,0.1,0.411,0.299,0.829,4.7,0.079
ORV,G,Mookie Blaylock,30,ATL,4,580,0.007,0,,,70,38.6,13.2,4.9,6.7,2.6,0.3,0.392,0.269,0.709,5.6,0.099
ORV,G,Nick Anderson,30,ORL,3,580,0.005,0,,,58,29.3,15.3,5.1,2.1,1.2,0.4,0.455,0.36,0.638,5.3,0.149
ORV,F,Anthony Mason,31,CHH,3,580,0.005,0,,,81,38.9,12.8,10.2,4.2,0.8,0.2,0.509,0,0.649,9.3,0.141
ORV,F,Bo Outlaw,26,ORL,3,580,0.005,0,,,82,36,9.5,7.8,2.6,1.3,2.2,0.554,0.25,0.575,7.6,0.124
ORV,F,Antonio McDyess,23,PHO,2,580,0.003,0,0,2,81,30.1,15.1,7.6,1.3,1.2,1.7,0.536,0,0.702,9.4,0.185
ORV,G,Ray Allen,22,MIL,1,580,0.002,0,0,1,82,40.1,19.5,4.9,4.3,1.4,0.1,0.428,0.364,0.875,7,0.102
ORV,F,Charles Barkley,34,HOU,1,580,0.002,0,0,1,68,33,15.2,11.7,3.2,1,0.4,0.485,0.214,0.746,8.6,0.183
ORV,G,Kobe Bryant,19,LAL,1,580,0.002,0,0,1,79,26,15.4,3.1,2.5,0.9,0.5,0.428,0.341,0.794,6.3,0.147
ORV,G,Sam Cassell,28,NJN,1,580,0.002,0,0,1,75,34.7,19.6,3,8,1.6,0.3,0.441,0.188,0.86,8.3,0.152
