,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Karl Malone,31,UTA,519,525,0.989,102,,,82,38.1,26.7,10.6,3.5,1.6,1,0.536,0.268,0.742,13.8,0.212
1st,C,David Robinson,29,SAS,479,525,0.912,86,,,81,38,27.6,10.8,2.9,1.7,3.2,0.53,0.3,0.774,17.5,0.273
1st,F,Scottie Pippen,29,CHI,451,525,0.859,73,,,79,38.2,21.4,8.1,5.2,2.9,1.1,0.48,0.345,0.716,11.8,0.188
1st,G,John Stockton,32,UTA,447,525,0.851,73,,,82,35,14.7,3.1,12.3,2.4,0.3,0.542,0.449,0.804,13.9,0.233
1st,G,Anfernee Hardaway,23,ORL,394,525,0.75,55,,,77,37.7,20.9,4.4,7.2,1.7,0.3,0.512,0.349,0.769,10.7,0.177
2nd,F,Charles Barkley,31,PHO,363,525,0.691,31,,,68,35,23,11.1,4.1,1.6,0.7,0.486,0.338,0.748,10.6,0.214
2nd,G,Gary Payton,26,SEA,342,525,0.651,40,,,82,36.8,20.6,3.4,7.1,2.5,0.2,0.509,0.302,0.716,11.7,0.187
2nd,C,Shaquille O'Neal,22,ORL,311,525,0.592,15,,,79,37,29.3,11.4,2.7,0.9,2.4,0.583,0,0.533,14,0.23
2nd,G,Mitch Richmond,29,SAC,253,525,0.482,25,,,82,38.7,22.8,4.4,3.8,1.1,0.4,0.446,0.368,0.843,8,0.12
2nd,F,Shawn Kemp,25,SEA,161,525,0.307,0,,,82,32.7,18.7,10.9,1.8,1.2,1.5,0.547,0.286,0.749,10.6,0.19
3rd,G,Reggie Miller,29,IND,158,525,0.301,2,,,81,32.9,19.6,2.6,3,1.2,0.2,0.462,0.415,0.897,11.4,0.204
3rd,F,Dennis Rodman,33,SAS,113,525,0.215,1,,,49,32,7.1,16.8,2,0.6,0.5,0.571,0,0.676,5.8,0.178
3rd,C,Hakeem Olajuwon,32,HOU,102,525,0.194,3,,,72,39.6,27.8,10.8,3.5,1.8,3.4,0.517,0.188,0.756,10.7,0.181
3rd,F,Detlef Schrempf,32,SEA,95,525,0.181,1,,,82,35.2,19.2,6.2,3.8,1.1,0.4,0.523,0.514,0.839,12.9,0.215
3rd,G,Clyde Drexler,32,TOT,73,525,0.139,4,,,76,35.9,21.8,6.3,4.8,1.8,0.6,0.461,0.36,0.824,11.7,0.206
ORV,F,Jamal Mashburn,22,DAL,64,525,0.122,2,,,80,37.3,24.1,4.1,3.7,1,0.1,0.436,0.328,0.739,6.3,0.102
ORV,C,Patrick Ewing,32,NYK,51,525,0.097,1,,,79,37,23.9,11,2.7,0.9,2,0.503,0.286,0.75,9.6,0.157
ORV,G,Michael Jordan,31,CHI,44,525,0.084,7,,,17,39.3,26.9,6.9,5.3,1.8,0.8,0.411,0.5,0.801,2.3,0.167
ORV,G,Jim Jackson,24,DAL,35,525,0.067,2,,,51,38.9,25.7,5.1,3.7,0.5,0.2,0.472,0.318,0.805,4.9,0.118
ORV,G,Dana Barros,27,PHI,32,525,0.061,0,,,82,40.5,20.6,3.3,7.5,1.8,0,0.49,0.464,0.899,12.7,0.183
ORV,F,Larry Johnson,25,CHH,26,525,0.05,0,,,81,39.9,18.8,7.2,4.6,1,0.3,0.48,0.386,0.774,8.5,0.126
ORV,F,Cedric Ceballos,25,LAL,20,525,0.038,0,,,58,35,21.7,8,1.8,1,0.3,0.509,0.397,0.716,5.2,0.123
ORV,F,Glen Rice,27,MIA,18,525,0.034,0,,,82,36.8,22.3,4.6,2.3,1.4,0.2,0.475,0.41,0.855,10,0.159
ORV,F,Horace Grant,29,ORL,17,525,0.032,0,,,74,36.4,12.8,9.7,2.3,1,1.2,0.567,0,0.692,9.5,0.169
ORV,F,Vin Baker,23,MIL,16,525,0.03,0,,,82,41,17.7,10.3,3.6,1,1.4,0.483,0.292,0.593,5.8,0.083
ORV,G,Nick Van Exel,23,LAL,13,525,0.025,0,,,80,36.8,16.9,2.8,8.3,1.2,0.1,0.42,0.358,0.783,6.4,0.104
ORV,G,Joe Dumars,31,DET,11,525,0.021,1,,,67,38,18.1,2.4,5.5,1.1,0.1,0.43,0.305,0.805,1.7,0.032
ORV,G,Jason Kidd,21,DAL,10,525,0.019,0,,,79,33.8,11.7,5.4,7.7,1.9,0.3,0.385,0.272,0.698,3.7,0.066
ORV,G,Tim Hardaway,28,GSW,9,525,0.017,0,,,62,37.4,20.1,3.1,9.3,1.4,0.2,0.427,0.378,0.76,5.1,0.105
