,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,LeBron James,21,CLE,610,630,0.968,116,,,79,42.5,31.4,7,6.6,1.6,0.8,0.48,0.335,0.738,16.3,0.232
1st,G,Kobe Bryant,27,LAL,597,630,0.948,110,,,80,41,35.4,5.3,4.5,1.8,0.4,0.45,0.347,0.85,15.3,0.224
1st,F,Dirk Nowitzki,27,DAL,584,630,0.927,105,,,81,38.1,26.6,9,2.8,0.7,1,0.48,0.406,0.901,17.7,0.275
1st,G,Steve Nash,31,PHO,583,630,0.925,106,,,79,35.4,18.8,4.2,10.5,0.8,0.2,0.512,0.439,0.921,12.4,0.212
1st,C,Shaquille O'Neal,33,MIA,402,630,0.638,45,,,59,30.6,20,9.2,1.9,0.4,1.8,0.6,,0.469,6.2,0.164
2nd,G,Chauncey Billups,29,DET,378,630,0.6,21,,,81,36.1,18.5,3.1,8.6,0.9,0.1,0.418,0.433,0.894,15.5,0.254
2nd,G,Dwyane Wade,24,MIA,373,630,0.592,13,,,75,38.6,27.2,5.7,6.7,1.9,0.8,0.495,0.171,0.783,14.4,0.239
2nd,C,Ben Wallace,31,DET,363,630,0.576,44,,,82,35.2,7.3,11.3,1.9,1.8,2.2,0.51,0,0.416,10.1,0.168
2nd,F,Elton Brand,26,LAC,309,630,0.49,15,,,79,39.2,24.7,10,2.6,1,2.5,0.527,0.333,0.775,14.8,0.229
2nd,F,Tim Duncan,29,SAS,277,630,0.44,17,,,80,34.8,18.6,11,3.2,0.9,2,0.484,0.4,0.629,10.8,0.187
3rd,F,Shawn Marion,27,PHO,270,630,0.429,4,,,81,40.3,21.8,11.8,1.8,2,1.7,0.525,0.331,0.809,14.6,0.214
3rd,C,Yao Ming,25,HOU,261,630,0.414,30,,,57,34.2,22.3,10.2,1.5,0.5,1.6,0.519,0,0.853,8.6,0.211
3rd,G,Allen Iverson,30,PHI,104,630,0.165,1,,,72,43.1,33,3.2,7.4,1.9,0.1,0.447,0.323,0.814,10.6,0.165
3rd,F,Carmelo Anthony,21,DEN,97,630,0.154,0,,,80,36.8,26.5,4.9,2.7,1.1,0.5,0.481,0.243,0.808,9.4,0.153
3rd,G,Gilbert Arenas,24,WAS,79,630,0.125,0,,,80,42.3,29.3,3.5,6.1,2,0.3,0.447,0.369,0.82,13.6,0.193
ORV,F,Kevin Garnett,29,MIN,94,630,0.149,0,,,76,38.9,21.8,12.7,4.1,1.4,1.4,0.526,0.267,0.81,14.9,0.242
