,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Stephen Curry,27,GSW,645,645,1,129,0,0,79,34.2,30.1,5.4,6.7,2.1,0.2,0.504,0.454,0.908,17.9,0.318
1st,F,LeBron James,31,CLE,637,645,0.988,125,4,0,76,35.6,25.3,7.4,6.8,1.4,0.6,0.52,0.309,0.731,13.6,0.242
1st,G,Russell Westbrook,27,OKC,627,645,0.972,120,9,0,80,34.4,23.5,7.8,10.4,2,0.3,0.454,0.296,0.812,14,0.245
1st,F,Kawhi Leonard,24,SAS,575,645,0.891,94,35,0,72,33.1,21.2,6.8,2.6,1.8,1,0.506,0.443,0.874,13.7,0.277
1st,C,DeAndre Jordan,27,LAC,317,645,0.491,39,36,14,77,33.7,12.7,13.8,1.2,0.7,2.3,0.703,0,0.43,11.5,0.213
2nd,F,Kevin Durant,27,OKC,452,645,0.701,36,90,2,72,35.8,28.2,8.2,5,1,1.2,0.505,0.387,0.898,14.5,0.27
2nd,F,Draymond Green,25,GSW,431,645,0.668,40,74,9,81,34.7,14,9.5,7.4,1.5,1.4,0.49,0.388,0.696,11.1,0.19
2nd,G,Chris Paul,30,LAC,353,645,0.547,8,101,10,74,32.7,19.5,4.2,10,2.1,0.2,0.462,0.371,0.896,12.7,0.253
2nd,C,DeMarcus Cousins,25,SAC,277,645,0.429,32,28,33,65,34.6,26.9,11.5,3.3,1.6,1.4,0.451,0.333,0.718,5.7,0.122
2nd,G,Damian Lillard,25,POR,217,645,0.336,0,48,73,75,35.7,25.1,4,6.8,0.9,0.4,0.419,0.375,0.892,9.2,0.165
3rd,C,Andre Drummond,22,DET,173,645,0.268,13,26,30,81,32.9,16.2,14.8,0.8,1.5,1.4,0.521,0.333,0.355,7.4,0.133
3rd,G,Klay Thompson,25,GSW,164,645,0.254,0,37,53,80,33.3,22.1,3.8,2.1,0.8,0.6,0.47,0.425,0.873,8,0.144
3rd,F,Paul George,25,IND,157,645,0.243,0,28,73,81,34.8,23.1,7,4.1,1.9,0.4,0.418,0.371,0.86,9.2,0.157
3rd,G,Kyle Lowry,29,TOR,155,645,0.24,0,35,50,77,37,21.2,4.7,6.4,2.1,0.4,0.427,0.388,0.811,11.6,0.196
3rd,F,LaMarcus Aldridge,30,SAS,103,645,0.16,3,11,55,74,30.6,18,8.5,1.5,0.5,1.1,0.513,0,0.858,10.1,0.215
ORV,G,James Harden,26,HOU,106,645,0.164,0,,,82,38.1,29,6.1,7.5,1.7,0.6,0.439,0.359,0.86,13.3,0.204
ORV,F,Paul Millsap,30,ATL,84,645,0.13,0,,,81,32.7,17.1,9,3.3,1.8,1.7,0.47,0.319,0.757,10.1,0.183
ORV,C,Al Horford,29,ATL,76,645,0.118,2,,,82,32.1,15.2,7.3,3.2,0.8,1.5,0.505,0.344,0.798,9.4,0.172
ORV,C,Anthony Davis,22,NOP,76,645,0.118,1,,,61,35.5,24.3,10.3,1.9,1.3,2,0.493,0.324,0.758,7.2,0.16
ORV,C,Karl-Anthony Towns,20,MIN,44,645,0.068,0,,,82,32,18.3,10.5,2,0.7,1.7,0.542,0.341,0.811,8.3,0.151
ORV,G,DeMar DeRozan,26,TOR,26,645,0.04,0,,,78,35.9,23.5,4.5,4,1,0.3,0.446,0.338,0.85,9.9,0.169
ORV,C,Hassan Whiteside,26,MIA,24,645,0.037,1,,,73,29.1,14.2,11.8,0.4,0.6,3.7,0.606,,0.65,10.3,0.233
ORV,G,Isaiah Thomas,26,BOS,20,645,0.031,0,,,82,32.2,22.2,3,6.2,1.1,0.1,0.428,0.359,0.871,9.7,0.177
ORV,F,Pau Gasol,35,CHI,16,645,0.025,2,,,72,31.8,16.5,11,4.1,0.6,2,0.469,0.348,0.792,7.1,0.149
ORV,G,Jimmy Butler,26,CHI,12,645,0.019,0,,,67,36.9,20.9,5.3,4.8,1.6,0.6,0.454,0.312,0.832,9.1,0.177
ORV,F,Dirk Nowitzki,37,DAL,8,645,0.012,0,,,75,31.5,18.3,6.5,1.8,0.7,0.7,0.448,0.368,0.893,6.8,0.138
ORV,G,John Wall,25,WAS,7,645,0.011,0,,,77,36.2,19.9,4.9,10.2,1.9,0.8,0.424,0.351,0.791,5.7,0.098
ORV,G,Kemba Walker,25,CHO,6,645,0.009,0,,,81,35.6,20.9,4.4,5.2,1.6,0.5,0.427,0.371,0.847,9.9,0.165
ORV,F,Tim Duncan,39,SAS,3,645,0.005,0,,,61,25.2,8.6,7.3,2.7,0.8,1.3,0.488,0,0.702,5.2,0.163
ORV,F,Gordon Hayward,25,UTA,3,645,0.005,0,,,80,36.2,19.7,5,3.7,1.2,0.3,0.433,0.349,0.824,8.9,0.147
ORV,C,Dwight Howard,30,HOU,3,645,0.005,0,,,71,32.1,13.7,11.8,1.4,1,1.6,0.62,0,0.489,6.6,0.138
ORV,F,Carmelo Anthony,31,NYK,2,645,0.003,0,0,2,72,35.1,21.8,7.7,4.2,0.9,0.5,0.434,0.339,0.829,6.4,0.121
ORV,C,Marc Gasol,31,MEM,2,645,0.003,0,0,2,52,34.4,16.6,7,3.8,1,1.3,0.464,0.667,0.829,3.7,0.098
ORV,C,Andrew Bogut,31,GSW,1,645,0.002,0,0,1,70,20.7,5.4,7,2.3,0.5,1.6,0.627,1,0.48,5.4,0.18
ORV,F,Blake Griffin,26,LAC,1,645,0.002,0,0,1,35,33.4,21.4,8.4,4.9,0.8,0.5,0.499,0.333,0.727,3.8,0.156
ORV,C,Brook Lopez,27,BRK,1,645,0.002,0,0,1,73,33.7,20.6,7.8,2,0.8,1.7,0.511,0.143,0.787,6.2,0.121
ORV,G,Tony Parker,33,SAS,1,645,0.002,0,0,1,72,27.5,11.9,2.4,5.3,0.8,0.2,0.493,0.415,0.76,5.8,0.142
