,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,24,CHI,160,160,1,80,0,,82,40.4,35,5.5,5.9,3.2,1.6,0.535,0.132,0.841,21.2,0.308
1st,F,Larry Bird,31,BOS,159,160,0.994,79,1,,76,39,29.9,9.3,6.1,1.6,0.8,0.527,0.414,0.916,15,0.243
1st,C,Hakeem Olajuwon,25,HOU,157,160,0.981,77,3,,79,35.8,22.8,12.1,2.1,2.1,2.7,0.514,0,0.695,10.7,0.182
1st,G,Magic Johnson,28,LAL,155,160,0.969,75,5,,72,36.6,19.6,6.2,11.9,1.6,0.2,0.492,0.196,0.853,10.9,0.199
1st,F,Charles Barkley,24,PHI,113,160,0.706,40,33,,80,39.6,28.3,11.9,3.2,1.3,1.3,0.587,0.28,0.751,16.7,0.253
2nd,F,Karl Malone,24,UTA,92,160,0.575,20,52,,82,39,27.7,12,2.4,1.4,0.6,0.52,0,0.7,10.1,0.152
2nd,F,Dominique Wilkins,28,ATL,87,160,0.544,20,47,,78,37.8,30.7,6.4,2.9,1.3,0.6,0.464,0.295,0.826,9.8,0.16
2nd,G,Clyde Drexler,25,POR,60,160,0.375,0,60,,81,37.8,27,6.6,5.8,2.5,0.6,0.506,0.212,0.811,13.2,0.207
2nd,G,John Stockton,25,UTA,52,160,0.325,4,44,,82,34.7,14.7,2.9,13.8,3,0.2,0.574,0.358,0.84,14.1,0.238
2nd,C,Patrick Ewing,25,NYK,41,160,0.256,3,35,,82,31,20.2,8.2,1.5,1.3,3,0.555,0,0.716,8.1,0.154
ORV,G,Fat Lever,27,DEN,29,160,0.181,1,27,,82,37.3,18.9,8.1,7.8,2.7,0.3,0.473,0.211,0.785,10.4,0.163
ORV,F,Kevin McHale,30,BOS,20,160,0.125,1,18,,64,37.3,22.6,8.4,2.7,0.4,1.4,0.604,,0.797,10.2,0.205
ORV,C,Moses Malone,32,WSB,19,160,0.119,0,19,,79,34.1,20.3,11.2,1.4,0.7,0.9,0.487,0.286,0.788,9.2,0.163
ORV,C,Brad Daugherty,22,CLE,15,160,0.094,0,15,,79,37.4,18.7,8.4,4.2,0.6,0.7,0.51,0,0.716,6.6,0.107
ORV,G,Isiah Thomas,26,DET,14,160,0.088,0,14,,81,36.1,19.5,3.4,8.4,1.7,0.2,0.463,0.309,0.774,7.6,0.124
ORV,G,Dale Ellis,27,SEA,3,160,0.019,0,3,,75,37.2,25.8,4.5,2.6,1,0.1,0.503,0.413,0.767,9,0.155
ORV,F,Buck Williams,27,NJN,3,160,0.019,0,3,,70,37.7,18.3,11.9,1.6,1,0.6,0.56,1,0.668,7.6,0.138
ORV,F,Mark Aguirre,28,DAL,2,160,0.012,0,2,,77,33.9,25.1,5.6,3.6,0.9,0.7,0.475,0.302,0.77,8.8,0.163
ORV,G,Rolando Blackman,28,DAL,2,160,0.012,0,2,,71,36.3,18.7,3.5,3.7,0.9,0.3,0.473,0,0.873,6.8,0.126
ORV,G,Mark Jackson,22,NYK,2,160,0.012,0,2,,82,39.6,13.6,4.8,10.6,2.5,0.1,0.432,0.254,0.774,7.6,0.113
ORV,G,Byron Scott,26,LAL,2,160,0.012,0,2,,81,37.6,21.7,4.1,4.1,1.9,0.3,0.527,0.346,0.858,10.7,0.168
ORV,C,Kevin Duckworth,23,POR,1,160,0.006,0,1,,78,28.5,15.8,7.4,0.8,0.4,0.4,0.496,,0.77,5.2,0.112
ORV,C,Mark Eaton,31,UTA,1,160,0.006,0,1,,82,33.3,7,8.7,0.7,0.5,3.7,0.418,,0.623,4.1,0.072
ORV,F,Alex English,34,DEN,1,160,0.006,0,1,,80,35.2,25,4.7,4.7,0.9,0.3,0.495,0,0.828,7.6,0.129
ORV,F,Charles Oakley,24,CHI,1,160,0.006,0,1,,82,34.3,12.4,13,3,0.8,0.3,0.483,0.25,0.727,6.7,0.114
ORV,C,Robert Parish,34,BOS,1,160,0.006,0,1,,74,31.2,14.3,8.5,1.6,0.7,1.1,0.589,0,0.734,6.4,0.134
ORV,C,Jack Sikma,32,MIL,1,160,0.006,0,1,,82,35.6,16.5,8.6,3.4,1.1,1,0.486,0.214,0.922,9.4,0.154
ORV,F,James Worthy,26,LAL,1,160,0.006,0,1,,75,35.4,19.7,5,3.9,1,0.7,0.531,0.125,0.796,7.9,0.143
