,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1T,F,Giannis Antetokounmpo,28,MIL,500,500,1,100,0,0,63,32.1,31.1,11.8,5.7,0.8,0.8,0.553,0.275,0.645,8.6,0.204
1T,F,Jayson Tatum,24,BOS,484,500,0.968,92,8,0,74,36.9,30.1,8.8,4.6,1.1,0.7,0.466,0.35,0.854,10.5,0.185
1T,C,Joel Embiid,28,PHI,474,500,0.948,87,13,0,66,34.6,33.1,10.2,4.2,1,1.7,0.548,0.33,0.857,12.3,0.259
1T,G,Shai Gilgeous-Alexander,24,OKC,407,500,0.814,63,29,5,68,35.5,31.4,4.8,5.5,1.6,1,0.51,0.345,0.905,11.4,0.226
1T,G,Luka Dončić,23,DAL,403,500,0.806,60,33,4,66,36.2,32.4,8.6,8,1.4,0.5,0.496,0.342,0.742,10.2,0.204
2T,C,Nikola Jokić,27,DEN,364,500,0.728,32,68,0,69,33.7,24.5,11.8,9.8,1.3,0.7,0.632,0.383,0.822,14.9,0.308
2T,G,Donovan Mitchell,26,CLE,349,500,0.698,45,36,16,68,35.8,28.3,4.3,4.4,1.5,0.4,0.484,0.386,0.867,8.9,0.176
2T,G,Stephen Curry,34,GSW,188,500,0.376,17,20,43,56,34.7,29.4,6.1,6.3,0.9,0.4,0.493,0.427,0.915,7.8,0.192
2T,F,Jimmy Butler,33,MIA,182,500,0.364,1,52,21,64,33.4,22.9,5.9,5.3,1.8,0.3,0.539,0.35,0.85,12.3,0.277
2T,F,Jaylen Brown,26,BOS,169,500,0.338,1,45,29,67,35.9,26.6,6.9,3.5,1.1,0.4,0.491,0.335,0.765,5,0.1
3T,C,Domantas Sabonis,26,SAC,147,500,0.294,0,26,69,79,34.6,19.1,12.3,7.3,0.8,0.5,0.615,0.373,0.742,12.6,0.221
3T,G,De'Aaron Fox,25,SAC,144,500,0.288,1,33,40,73,33.4,25,4.2,6.1,1.1,0.3,0.512,0.324,0.78,7.4,0.146
3T,G,Damian Lillard,32,POR,137,500,0.274,0,36,29,58,36.3,32.2,4.8,7.3,0.9,0.3,0.463,0.371,0.914,9,0.205
3T,F,Julius Randle,28,NYK,125,500,0.25,0,30,35,77,35.5,25.1,10,4.1,0.6,0.3,0.459,0.343,0.757,8.1,0.142
3T,F,LeBron James,38,LAL,81,500,0.162,0,16,33,55,35.5,28.9,8.3,6.8,0.9,0.6,0.5,0.321,0.768,5.6,0.138
ORV,C,Anthony Davis,29,LAL,65,500,0.13,0,13,26,56,34,25.9,12.5,2.6,1.1,2,0.563,0.257,0.784,9,0.226
ORV,F,Lauri Markkanen,25,UTA,49,500,0.098,0,6,31,66,34.4,25.6,8.6,1.9,0.6,0.6,0.499,0.391,0.875,8.2,0.173
ORV,G,Ja Morant,23,MEM,44,500,0.088,0,10,14,61,31.9,26.2,5.9,8.1,1.1,0.3,0.466,0.307,0.748,6,0.148
ORV,G,Jrue Holiday,32,MIL,39,500,0.078,1,5,19,67,32.6,19.3,5.1,7.4,1.2,0.4,0.479,0.384,0.859,6.7,0.148
ORV,F,Kevin Durant,34,TOT,35,500,0.07,0,7,14,47,35.6,29.1,6.7,5,0.7,1.4,0.56,0.404,0.919,6.8,0.194
ORV,G,Jalen Brunson,26,NYK,23,500,0.046,0,5,8,68,35,24,3.5,6.2,0.9,0.2,0.491,0.416,0.829,8.7,0.175
ORV,F,Kawhi Leonard,31,LAC,15,500,0.03,0,4,3,52,33.6,23.8,6.5,3.9,1.4,0.5,0.512,0.416,0.871,7.1,0.194
ORV,F,Pascal Siakam,28,TOR,15,500,0.03,0,1,12,71,37.4,24.2,7.8,5.8,0.9,0.5,0.48,0.324,0.774,7.8,0.141
ORV,F,Anthony Edwards,21,MIN,14,500,0.028,0,2,8,79,36,24.6,5.8,4.4,1.6,0.7,0.459,0.369,0.756,3.8,0.064
ORV,F,Jaren Jackson Jr.,23,MEM,11,500,0.022,0,1,8,63,28.4,18.6,6.8,1,1,3,0.506,0.355,0.788,6.6,0.177
ORV,G,Devin Booker,26,PHO,10,500,0.02,0,1,7,53,34.6,27.8,4.5,5.5,1,0.3,0.494,0.351,0.855,6,0.157
ORV,C,Bam Adebayo,25,MIA,9,500,0.018,0,0,9,75,34.6,20.4,9.2,3.2,1.2,0.8,0.54,0.083,0.806,7.4,0.137
ORV,G,James Harden,33,PHI,6,500,0.012,0,0,6,58,36.8,21,6.1,10.7,1.2,0.5,0.441,0.385,0.867,8.4,0.188
ORV,F,Mikal Bridges,26,TOT,2,500,0.004,0,0,2,83,35.7,20.1,4.4,3.3,1.1,0.7,0.468,0.382,0.895,7.5,0.121
ORV,F,DeMar DeRozan,33,CHI,2,500,0.004,0,0,2,74,36.2,24.5,4.6,5.1,1.1,0.5,0.504,0.324,0.872,8.5,0.153
ORV,C,Kristaps Porziņģis,27,WAS,2,500,0.004,0,0,2,65,32.6,23.2,8.4,2.7,0.9,1.5,0.498,0.385,0.851,7.7,0.174
ORV,F,Paul George,32,LAC,1,500,0.002,0,0,1,56,34.6,23.8,6.1,5.1,1.5,0.4,0.457,0.371,0.871,4.6,0.114
ORV,G,Tyrese Haliburton,22,IND,1,500,0.002,0,0,1,56,33.6,20.7,3.7,10.4,1.6,0.4,0.49,0.4,0.871,7.6,0.195
ORV,F,Zach LaVine,27,CHI,1,500,0.002,0,0,1,77,35.9,24.8,4.5,4.2,0.9,0.2,0.485,0.375,0.848,7.1,0.123
ORV,C,Brook Lopez,34,MIL,1,500,0.002,0,0,1,78,30.4,15.9,6.7,1.3,0.5,2.5,0.531,0.374,0.784,8,0.161
ORV,G,Trae Young,24,ATL,1,500,0.002,0,0,1,73,34.8,26.2,3,10.2,1.1,0.1,0.429,0.335,0.886,6.7,0.126
