,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Magic Johnson,27,LAL,156,156,1,78,0,,80,36.3,23.9,6.3,12.2,1.7,0.5,0.522,0.205,0.848,15.9,0.263
1st,G,Michael Jordan,23,CHI,154,156,0.987,76,2,,82,40,37.1,5.2,4.6,2.9,1.5,0.482,0.182,0.857,16.9,0.247
1st,F,Larry Bird,30,BOS,151,156,0.968,73,5,,74,40.6,28.1,9.2,7.6,1.8,0.9,0.525,0.4,0.91,15.2,0.243
1st,C,Hakeem Olajuwon,24,HOU,130,156,0.833,56,18,,75,36.8,23.4,11.4,2.9,1.9,3.4,0.508,0.2,0.702,10.9,0.189
1st,F,Kevin McHale,29,BOS,125,156,0.801,48,29,,77,39.7,26.1,9.9,2.6,0.5,2.2,0.604,0,0.836,14.8,0.232
2nd,F,Dominique Wilkins,27,ATL,93,156,0.596,20,53,,79,37.6,29,6.3,3.3,1.5,0.6,0.463,0.292,0.818,12.2,0.197
2nd,F,Charles Barkley,23,PHI,89,156,0.571,17,55,,68,40.3,23,14.6,4.9,1.8,1.5,0.594,0.202,0.761,12,0.21
2nd,C,Moses Malone,31,WSB,80,156,0.513,16,48,,73,34.1,24.1,11.3,1.6,0.8,1.3,0.454,0,0.824,9.4,0.182
2nd,G,Isiah Thomas,25,DET,63,156,0.404,1,61,,81,37.2,20.6,3.9,10,1.9,0.2,0.463,0.194,0.768,7.6,0.121
2nd,G,Fat Lever,26,DEN,42,156,0.269,1,40,,82,37.2,18.9,8.9,8,2.5,0.4,0.469,0.239,0.782,9.7,0.153
ORV,G,Rolando Blackman,27,DAL,25,156,0.16,0,25,,80,34.5,21,3.5,3.3,0.8,0.3,0.495,0.333,0.884,8,0.14
ORV,C,Robert Parish,33,BOS,10,156,0.064,1,8,,80,37.4,17.5,10.6,2.2,0.8,1.8,0.556,0,0.735,9.2,0.147
ORV,C,Kareem Abdul-Jabbar,39,LAL,7,156,0.045,1,5,,78,31.3,17.5,6.7,2.6,0.6,1.2,0.564,0.333,0.714,7.5,0.148
ORV,G,Sleepy Floyd,26,GSW,7,156,0.045,0,7,,82,37.4,18.8,3.3,10.3,1.8,0.2,0.488,0.384,0.86,10,0.157
ORV,G,Clyde Drexler,24,POR,4,156,0.026,0,4,,82,38,21.7,6.3,6.9,2.5,0.9,0.502,0.234,0.76,10.3,0.158
ORV,G,Dale Ellis,26,SEA,4,156,0.026,0,4,,82,37.5,24.9,5.5,2.9,1.3,0.4,0.516,0.358,0.787,9.3,0.145
ORV,G,Doc Rivers,25,ATL,4,156,0.026,0,4,,82,31.6,12.8,3.6,10,2.1,0.4,0.451,0.19,0.828,10.3,0.191
ORV,F,Kiki Vandeweghe,28,POR,4,156,0.026,0,4,,79,38.3,26.9,3.2,2.8,0.7,0.2,0.523,0.481,0.886,10.8,0.171
ORV,G,Jeff Malone,25,WSB,3,156,0.019,0,3,,80,34.5,22,2.7,3.7,0.9,0.2,0.457,0.154,0.885,5.6,0.097
ORV,F,Karl Malone,23,UTA,3,156,0.019,0,3,,82,34.8,21.7,10.4,1.9,1.3,0.7,0.512,0,0.598,6.9,0.116
ORV,F,Buck Williams,26,NJN,3,156,0.019,0,3,,82,36.3,18,12.5,1.6,1,1.1,0.557,0,0.731,7.9,0.127
ORV,G,Maurice Cheeks,30,PHI,2,156,0.013,0,2,,68,38.6,15.6,3.2,7.9,2.6,0.2,0.527,0.235,0.777,7.9,0.145
ORV,F,Alex English,33,DEN,2,156,0.013,0,2,,82,37.6,28.6,4.2,5.1,0.9,0.3,0.503,0.267,0.844,8.1,0.126
ORV,G,Dennis Johnson,32,BOS,2,156,0.013,0,2,,79,37.1,13.4,3.3,7.5,1.1,0.5,0.444,0.113,0.833,5.2,0.085
ORV,F,Mark Aguirre,27,DAL,1,156,0.006,0,1,,80,33.3,25.7,5.3,3.2,1.1,0.4,0.495,0.353,0.77,8.9,0.16
ORV,G,Walter Davis,32,PHO,1,156,0.006,0,1,,79,33.5,23.6,3.1,4.6,1.2,0.1,0.514,0.259,0.862,5.8,0.105
ORV,C,James Donaldson,29,DAL,1,156,0.006,0,1,,82,36.9,10.8,11.9,0.8,0.6,1.7,0.586,,0.812,10.4,0.166
ORV,C,Bill Laimbeer,29,DET,1,156,0.006,0,1,,82,34.8,15.4,11.6,1.8,0.9,0.8,0.501,0.286,0.894,10.5,0.176
ORV,F,Larry Nance,27,PHO,1,156,0.006,0,1,,69,37.2,22.5,8.7,3.4,1.2,2.1,0.551,0.2,0.773,10.2,0.19
ORV,F,Kevin Willis,24,ATL,1,156,0.006,0,1,,81,32.4,16.1,10.5,0.8,0.8,0.8,0.536,0.25,0.709,8.6,0.156
ORV,F,James Worthy,25,LAL,1,156,0.006,0,1,,82,34.4,19.4,5.7,2.8,1.3,1,0.539,0,0.751,9.3,0.158
