,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Michael Jordan,28,CHI,478,480,0.996,95,,,80,38.8,30.1,6.4,6.1,2.3,0.9,0.519,0.27,0.832,17.7,0.274
1st,F,Karl Malone,28,UTA,466,480,0.971,91,,,81,37.7,28,11.2,3,1.3,0.6,0.526,0.176,0.778,15.1,0.237
1st,G,Clyde Drexler,29,POR,408,480,0.85,65,,,76,36.2,25,6.6,6.7,1.8,0.9,0.47,0.337,0.794,12.8,0.223
1st,C,David Robinson,26,SAS,397,480,0.827,62,,,68,37.7,23.2,12.2,2.7,2.3,4.5,0.551,0.125,0.701,13.9,0.26
1st,F,Chris Mullin,28,GSW,379,480,0.79,53,,,81,41.3,25.6,5.6,3.5,2.1,0.8,0.524,0.366,0.833,10.8,0.155
2nd,F,Scottie Pippen,26,CHI,341,480,0.71,37,,,82,38.6,21,7.7,7,1.9,1.1,0.506,0.2,0.76,12.7,0.192
2nd,C,Patrick Ewing,29,NYK,309,480,0.644,31,,,82,38.4,24,11.2,1.9,1.1,3,0.522,0.167,0.738,13,0.198
2nd,G,Tim Hardaway,25,GSW,288,480,0.6,15,,,81,41.1,23.4,3.8,10,2,0.2,0.461,0.338,0.766,9.2,0.132
2nd,G,John Stockton,29,UTA,269,480,0.56,14,,,82,36.6,15.8,3.3,13.7,3,0.3,0.482,0.407,0.842,13.4,0.215
2nd,F,Charles Barkley,28,PHI,196,480,0.408,6,,,75,38.4,23.1,11.1,4.1,1.8,0.6,0.552,0.234,0.695,12.3,0.205
3rd,F,Dennis Rodman,30,DET,179,480,0.373,5,,,82,40.3,9.8,18.7,2.3,0.8,0.9,0.539,0.317,0.6,12.6,0.183
3rd,G,Mark Price,27,CLE,81,480,0.169,0,,,72,29.7,17.3,2.4,7.4,1.3,0.2,0.488,0.387,0.947,9.1,0.205
3rd,G,Kevin Johnson,25,PHO,78,480,0.162,2,,,78,37.2,19.7,3.7,10.7,1.5,0.3,0.479,0.217,0.807,10,0.165
3rd,C,Brad Daugherty,26,CLE,70,480,0.146,3,,,73,36.2,21.5,10.4,3.6,0.9,1.1,0.57,0,0.777,11.7,0.213
3rd,F,Kevin Willis,29,ATL,38,480,0.079,0,,,81,36.6,18.3,15.5,2.1,0.9,0.7,0.483,0.162,0.804,8.8,0.143
ORV,G,Jeff Hornacek,28,PHO,50,480,0.104,0,,,81,38,20.1,5,5.1,2,0.4,0.512,0.439,0.886,11.6,0.181
ORV,C,Hakeem Olajuwon,29,HOU,37,480,0.077,0,,,70,37.7,21.6,12.1,2.2,1.8,4.3,0.502,0,0.766,9.8,0.178
ORV,G,Joe Dumars,28,DET,28,480,0.058,1,,,82,38.9,19.9,2.3,4.6,0.9,0.1,0.448,0.408,0.867,8.2,0.123
ORV,F,Larry Johnson,22,CHH,26,480,0.054,0,,,82,37.2,19.2,11,3.6,1,0.6,0.49,0.227,0.829,8.9,0.14
ORV,F,Danny Manning,25,LAC,26,480,0.054,0,,,82,35.4,19.3,6.9,3.5,1.6,1.5,0.542,0,0.725,9.8,0.162
ORV,F,Larry Bird,35,BOS,21,480,0.044,0,,,45,36.9,20.2,9.6,6.8,0.9,0.7,0.466,0.406,0.926,5.5,0.159
