,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,G,Stephen Curry,26,GSW,645,645,1,129,0,0,80,32.7,23.8,4.3,7.7,2,0.2,0.487,0.443,0.914,15.7,0.288
1st,F,LeBron James,30,CLE,645,645,1,129,0,0,69,36.1,25.3,6,7.4,1.6,0.7,0.488,0.354,0.71,10.4,0.199
1st,G,James Harden,25,HOU,637,645,0.988,125,,,81,36.8,27.4,5.7,7,1.9,0.7,0.44,0.375,0.868,16.4,0.265
1st,F,Anthony Davis,21,NOP,625,645,0.969,119,,,68,36.1,24.4,10.2,2.2,1.5,2.9,0.535,0.083,0.805,14,0.274
1st,C,Marc Gasol,30,MEM,453,645,0.702,65,,,81,33.2,17.4,7.8,3.8,0.9,1.6,0.494,0.176,0.795,10.2,0.182
2nd,G,Russell Westbrook,26,OKC,397,645,0.616,10,,,67,34.4,28.1,7.3,8.6,2.1,0.2,0.426,0.299,0.835,10.6,0.222
2nd,F,LaMarcus Aldridge,29,POR,390,645,0.605,13,,,71,35.4,23.4,10.2,1.7,0.7,1,0.466,0.352,0.845,8.6,0.165
2nd,G,Chris Paul,29,LAC,335,645,0.519,1,,,82,34.8,19.1,4.6,10.2,1.9,0.2,0.485,0.398,0.9,16.1,0.27
2nd,F,Pau Gasol,34,CHI,242,645,0.375,15,,,78,34.4,18.5,11.8,2.7,0.3,1.9,0.494,0.462,0.803,10.4,0.187
2nd,C,DeMarcus Cousins,24,SAC,220,645,0.341,18,,,59,34.1,24.1,12.7,3.6,1.5,1.7,0.467,0.25,0.782,6,0.144
3rd,F,Blake Griffin,25,LAC,189,645,0.293,2,,,67,35.2,21.9,7.6,5.3,0.9,0.5,0.502,0.4,0.728,9,0.183
3rd,C,DeAndre Jordan,26,LAC,175,645,0.271,12,,,82,34.4,11.5,15,0.7,1,2.2,0.71,0.25,0.397,12.8,0.217
3rd,F,Tim Duncan,38,SAS,167,645,0.259,6,,,77,28.9,13.9,9.1,3,0.8,2,0.512,0.286,0.74,9.6,0.207
3rd,G,Klay Thompson,24,GSW,122,645,0.189,0,,,77,31.9,21.7,3.2,2.9,1.1,0.8,0.463,0.439,0.879,8.8,0.172
3rd,G,Kyrie Irving,22,CLE,112,645,0.174,0,,,75,36.4,21.7,3.2,5.2,1.5,0.3,0.468,0.415,0.863,10.4,0.183
ORV,F,Kawhi Leonard,23,SAS,155,645,0.24,0,,,64,31.8,16.5,7.2,2.5,2.3,0.8,0.479,0.349,0.802,8.6,0.204
ORV,F,Paul Millsap,29,ATL,70,645,0.109,0,,,73,32.7,16.7,7.8,3.1,1.8,0.9,0.476,0.356,0.757,8.3,0.166
ORV,C,Al Horford,28,ATL,64,645,0.099,1,,,76,30.5,15.2,7.2,3.2,0.9,1.3,0.538,0.306,0.759,8.7,0.179
ORV,G,John Wall,24,WAS,50,645,0.078,0,,,79,35.9,17.6,4.6,10,1.7,0.6,0.445,0.3,0.785,7.8,0.132
ORV,G,Jimmy Butler,25,CHI,32,645,0.05,0,,,65,38.7,20,5.8,3.3,1.8,0.6,0.462,0.378,0.834,11.2,0.214
ORV,G,Damian Lillard,24,POR,22,645,0.034,0,,,82,35.7,21,4.6,6.2,1.2,0.3,0.434,0.343,0.864,10.6,0.174
ORV,F,Draymond Green,24,GSW,9,645,0.014,0,,,79,31.5,11.7,8.2,3.7,1.6,1.3,0.443,0.337,0.66,8.5,0.163
ORV,F,Zach Randolph,33,MEM,7,645,0.011,0,,,71,32.5,16.1,10.5,2.2,1,0.2,0.487,0.35,0.765,7.2,0.149
ORV,G,Jeff Teague,26,ATL,7,645,0.011,0,,,73,30.5,15.9,2.5,7,1.7,0.4,0.46,0.343,0.862,7.7,0.166
ORV,C,Andrew Bogut,30,GSW,6,645,0.009,0,,,67,23.6,6.3,8.1,2.7,0.6,1.7,0.563,,0.524,5.2,0.159
ORV,C,Nikola Vučević,24,ORL,6,645,0.009,0,,,74,34.2,19.3,10.9,2,0.7,0.7,0.523,0.333,0.752,7,0.133
ORV,G,DeMar DeRozan,25,TOR,3,645,0.005,0,,,60,35,20.1,4.6,3.5,1.2,0.2,0.413,0.284,0.832,4,0.09
