,,,,,Voting,,,,,,,Per Game,,,,,,Shooting,,,Advanced,
# Tm,Pos,Player,Age,Tm,Pts Won,Pts Max,Share,1st Tm,2nd Tm,3rd Tm,G,MP,PTS,TRB,AST,STL,BLK,FG%,3P%,FT%,WS,WS/48
1st,F,Charles Barkley,29,PHO,490,490,1,98,0,0,76,37.6,25.6,12.2,5.1,1.6,1,0.52,0.305,0.765,14.4,0.242
1st,G,Michael Jordan,29,CHI,490,490,1,98,0,0,78,39.3,32.6,6.7,5.5,2.8,0.8,0.495,0.352,0.837,17.2,0.27
1st,C,Hakeem Olajuwon,30,HOU,455,490,0.929,83,,,82,39.5,26.1,13,3.5,1.8,4.2,0.529,0,0.779,15.8,0.234
1st,F,Karl Malone,29,UTA,377,490,0.769,45,,,82,37.8,27,11.2,3.8,1.5,1,0.552,0.2,0.74,15.4,0.238
1st,G,Mark Price,28,CLE,344,490,0.702,44,,,75,31.7,18.2,2.7,8,1.2,0.1,0.484,0.416,0.948,9.8,0.197
2nd,F,Dominique Wilkins,33,ATL,372,490,0.759,47,,,71,37.3,29.9,6.8,3.2,1,0.4,0.468,0.38,0.828,10.5,0.191
2nd,G,John Stockton,30,UTA,294,490,0.6,26,,,82,34.9,15.1,2.9,12,2.4,0.3,0.486,0.385,0.798,10.6,0.177
2nd,C,Patrick Ewing,30,NYK,292,490,0.596,15,,,81,37.1,24.2,12.1,1.9,0.9,2,0.503,0.143,0.719,10.6,0.17
2nd,G,Joe Dumars,29,DET,290,490,0.592,24,,,77,40.2,23.5,1.9,4,1,0.1,0.466,0.375,0.864,9.1,0.141
2nd,F,Larry Johnson,23,CHH,155,490,0.316,3,,,82,40.5,22.1,10.5,4.3,0.6,0.3,0.526,0.254,0.767,9.6,0.139
3rd,F,Scottie Pippen,27,CHI,136,490,0.278,1,,,81,38.6,18.6,7.7,6.3,2.1,0.9,0.473,0.237,0.663,8.6,0.132
3rd,G,Tim Hardaway,26,GSW,99,490,0.202,3,,,66,39.5,21.5,4,10.6,1.8,0.2,0.447,0.33,0.744,7.5,0.138
3rd,G,Dražen Petrović,28,NJN,86,490,0.176,0,,,70,38,22.3,2.7,3.5,1.3,0.2,0.518,0.449,0.87,8.4,0.152
3rd,C,David Robinson,27,SAS,72,490,0.147,0,,,82,39.2,23.4,11.7,3.7,1.5,3.2,0.501,0.176,0.732,13.2,0.197
3rd,F,Derrick Coleman,25,NJN,60,490,0.122,1,,,76,36.3,20.7,11.2,3.6,1.2,1.7,0.46,0.232,0.808,9.5,0.165
ORV,C,Shaquille O'Neal,20,ORL,58,490,0.118,0,,,81,37.9,23.4,13.9,1.9,0.7,3.5,0.562,0,0.592,10.4,0.163
ORV,F,Danny Manning,26,LAC,55,490,0.112,0,,,79,34.9,22.8,6.6,2.6,1.4,1.3,0.509,0.267,0.802,7.9,0.137
ORV,G,Dan Majerle,27,PHO,49,490,0.1,1,,,82,39,16.9,4.7,3.8,1.7,0.4,0.464,0.381,0.778,9.8,0.147
ORV,F,Shawn Kemp,23,SEA,45,490,0.092,1,,,78,33.1,17.8,10.7,2,1.5,1.9,0.492,0,0.712,9.1,0.169
ORV,F,Detlef Schrempf,30,IND,28,490,0.057,0,,,82,37.8,19.1,9.5,6,1,0.3,0.476,0.154,0.804,10.4,0.161
ORV,F,Reggie Lewis,27,BOS,26,490,0.053,0,,,80,39.3,20.8,4.3,3.7,1.5,1,0.47,0.233,0.867,8.3,0.127
ORV,G,Kevin Johnson,26,PHO,14,490,0.029,0,,,49,33.5,16.1,2.1,7.8,1.7,0.4,0.499,0.125,0.819,5.1,0.148
ORV,F,Dennis Rodman,31,DET,14,490,0.029,0,,,62,38.9,7.5,18.3,1.6,0.8,0.7,0.427,0.205,0.534,5.5,0.11
ORV,G,Reggie Miller,27,IND,11,490,0.022,0,,,82,36,21.2,3.1,3.2,1.5,0.3,0.479,0.399,0.88,11.3,0.183
ORV,F,Larry Nance,33,CLE,9,490,0.018,0,,,77,35.8,16.5,8.7,2.9,0.7,2.6,0.549,0,0.818,10.7,0.187
ORV,G,John Starks,27,NYK,8,490,0.016,0,,,80,31,17.5,2.6,5.1,1.1,0.2,0.428,0.321,0.795,7.5,0.145
ORV,G,Clyde Drexler,30,POR,7,490,0.014,0,,,49,34.1,19.9,6.3,5.7,1.9,0.8,0.429,0.233,0.839,6,0.171
ORV,F,Sean Elliott,24,SAS,7,490,0.014,0,,,70,37.2,17.2,4.6,3.8,1,0.4,0.491,0.356,0.795,6.1,0.113
ORV,G,Isiah Thomas,31,DET,7,490,0.014,0,,,79,37,17.6,2.9,8.5,1.6,0.2,0.418,0.308,0.737,3.7,0.061
ORV,G,Jeff Hornacek,29,PHI,6,490,0.012,0,,,79,36.2,19.1,4.3,6.9,1.7,0.3,0.47,0.39,0.865,6.3,0.106
ORV,F,Chris Mullin,29,GSW,6,490,0.012,0,,,46,41.3,25.9,5,3.6,1.5,0.9,0.51,0.451,0.81,4.9,0.122
ORV,F,Clifford Robinson,26,POR,5,490,0.01,0,,,82,31.4,19.1,6.6,2.2,1.2,2,0.473,0.247,0.69,6.8,0.127
ORV,G,Kenny Anderson,22,NJN,4,490,0.008,0,,,55,36.5,16.9,4.1,8.2,1.7,0.2,0.435,0.28,0.776,4.4,0.106
ORV,G,Mookie Blaylock,25,ATL,4,490,0.008,0,,,80,35.3,13.4,3.5,8.4,2.5,0.3,0.429,0.375,0.728,7,0.119
ORV,C,Brad Daugherty,27,CLE,4,490,0.008,0,,,71,37.9,20.2,10.2,4.4,0.7,0.8,0.571,0.5,0.795,12.7,0.226
ORV,G,Mark Jackson,27,LAC,3,490,0.006,0,,,82,38,14.4,4.7,8.8,1.7,0.1,0.486,0.268,0.803,7.9,0.122
ORV,G,Scott Skiles,28,ORL,3,490,0.006,0,,,78,39.6,15.4,3.7,9.4,1.1,0,0.467,0.34,0.892,8,0.125
ORV,G,Doug West,25,MIN,3,490,0.006,0,,,80,38.8,19.3,3.1,2.9,1.1,0.3,0.517,0.087,0.841,4.3,0.066
ORV,G,Ricky Pierce,33,SEA,2,490,0.004,0,0,2,77,28.8,18.2,2.5,2.9,1.3,0.1,0.489,0.372,0.889,7.7,0.167
ORV,F,Kevin Willis,30,ATL,2,490,0.004,0,0,2,80,36,17.9,12.9,2.1,0.9,0.5,0.506,0.241,0.653,6,0.099
ORV,G,Muggsy Bogues,28,CHH,1,490,0.002,0,0,1,81,35,10,3.7,8.8,2,0.1,0.453,0.231,0.833,5.9,0.1
ORV,F,Horace Grant,27,CHI,1,490,0.002,0,0,1,77,35.6,13.2,9.5,2.6,1.2,1.2,0.508,0.2,0.619,9.1,0.159
ORV,G,Derek Harper,31,DAL,1,490,0.002,0,0,1,62,34,18.2,2,5.4,1.3,0.3,0.419,0.393,0.756,2.7,0.062
ORV,C,Alonzo Mourning,22,CHH,1,490,0.002,0,0,1,78,33.9,21,10.3,1,0.3,3.5,0.511,0,0.781,8.2,0.148
ORV,G,Gary Payton,24,SEA,1,490,0.002,0,0,1,82,31.1,13.5,3.4,4.9,2.2,0.3,0.494,0.206,0.77,7.8,0.147
ORV,F,Charles Smith,27,NYK,1,490,0.002,0,0,1,81,26.8,12.4,5.3,1.8,0.6,1.2,0.469,0,0.782,6.6,0.146
ORV,G,Steve Smith,23,MIA,1,490,0.002,0,0,1,48,33.5,16,4.1,5.6,1,0.3,0.451,0.402,0.787,3.5,0.104
ORV,G,Rod Strickland,26,POR,1,490,0.002,0,0,1,78,31.7,13.7,4.3,7.2,1.7,0.3,0.485,0.133,0.717,7.4,0.143
ORV,F,Otis Thorpe,30,HOU,1,490,0.002,0,0,1,72,32.7,12.8,8.2,2.5,0.6,0.3,0.558,0,0.598,6,0.122
